species,centroid_lon,centroid_lat
Ficedula erithacus,98.070329342936,32.8953307406577
Ficedula hyperythra,98.6266536191536,29.5589500307112
Ficedula mugimaki,105.409556849436,37.2132647121877
Ficedula narcissina,,
Ficedula owstoni,116.513970126,25.8077404992959
Ficedula parva,96.4312564664961,37.730423944669
Ficedula strophiata,88.5581841305189,31.5582032448636
Ficedula superciliaris,103.619780413441,27.2614179166144
Ficedula tricolor,97.5104815262523,31.7411247612821
Heteroxenicus stellatus,94.3919563319863,30.3222992692073
Larvivora akahige,115.224052871288,29.1745181636951
Larvivora brunnea,95.6250281343972,30.8291744782063
Larvivora cyane,104.100780002891,33.2458525488027
Monticola gularis,113.338267928402,34.8345132487141
Monticola rufiventris,100.509554063132,29.2477410104179
Monticola solitarius,,
Muscicapa dauurica,113.857012378096,37.959501554768
Muscicapa ferruginea,101.363082715076,30.4825326551108
Muscicapa muttui,106.661905775289,29.2458675180867
Myiomela leucura,113.961413829356,22.5746993883716
Niltava davidi,107.420816442843,27.9711859357751
Niltava grandis,91.8659774985578,30.1121524046297
Niltava macgrigoriae,,
Niltava sundara,97.5711773919322,30.6771152508498
Oenanthe deserti,92.5549343763774,36.3076354786003
Oenanthe oenanthe,120.388804978606,27.9529358031499
Phoenicurus erythronotus,,
Phoenicurus frontalis,100.484345771197,32.091656401361
Phoenicurus leucocephalus,97.5885573688777,32.7717906591773
Phoenicurus ochruros,97.9312577572526,34.7750290140592
Phoenicurus schisticeps,104.54876519955,33.9638684428899
Saxicola ferreus,116.131935315057,39.5706255886914
Tarsiger chrysaeus,97.4371230874551,32.0558883359689
Tarsiger indicus,94.8797728479051,30.2644683038288
Aethopyga christinae,108.618115371316,27.552267698526
Aethopyga gouldiae,105.089424246549,29.8151539095426
Oriolus oriolus,86.6170262806194,37.0301081755345
Panurus biarmicus,98.5436086959465,41.0162307005215
Moupinia poecilotis,,
Paradoxornis guttaticollis,107.922732585063,29.8442836213686
Paradoxornis heudei,120.014448404695,38.3795119256702
Paradoxornis gularis,110.911452043283,30.7162538982822
Suthora alphonsiana,,
Suthora przewalskii,101.870177838313,34.0165916982847
Suthora webbiana,108.174015927893,30.0881537925244
Suthora fulvifrons,96.3863559871865,31.9549938841054
Cephalopyrus flammiceps,97.7731071678229,30.1889422546343
