species,province,longitude,latitude,grid_id,pub_year,dist_to_grid
Limosa limosa,Ningxia,106.46,38.87,2323,2011,0.301246639198606
Numenius madagascariensis,Shaanxi,107.52,33.19,1339,2007,0.197959173069975
Numenius minutus,Gansu,101.01,38.81,2313,2025,0.150095870253265
Numenius phaeopus,Yunnan,102.67,24.97,243,2013,0.22667625216103
Phalaropus fulicarius,Beijing,116.31,40.13,2634,2011,0.12731431397231
Phalaropus fulicarius,Hainan,110.37,20.02,16,2023,0.208414653434244
Phalaropus fulicarius,Henan,112.51,32.95,1348,2014,0.100732603951937
Phalaropus fulicarius,Sichuan,100.77,30.05,805,2012,0.0425962743436351
Phalaropus lobatus,Guizhou,104.94,25.09,248,2024,0.0881354282547329
Phalaropus lobatus,Henan,112.51,32.95,1348,2015,0.100732603951937
Phalaropus lobatus,Jiangxi,113,25,264,2009,0.153018188619307
Phalaropus lobatus,Shaanxi,109.39,34.79,1654,2016,0.119315786270347
Phalaropus lobatus,Sichuan,104.07,30.58,883,2012,0.142393349997946
Tringa brevipes,Sichuan,102.76,30.05,809,2014,0.133821878795596
Tringa guttifer,Liaoning,124.03,39.82,2722,2006,0.0842641323665115
Tringa stagnatilis,Guizhou,109.22,27.82,507,2025,0.142711596234151
Stercorarius longicaudus,Jiangsu,120.64,32.67,1442,2019,0.126023579788488
Stercorarius parasiticus,Hunan,110.77,29.93,824,2019,0.0206073195132412
Stercorarius parasiticus,Inner Mongolia,123.08,46.22,3486,2019,0.223458791091283
Stercorarius parasiticus,Sichuan,104.18,31.02,955,2017,0.253259132247596
Stercorarius parasiticus,Tibet,86,28.08,705,2025,0.0982163456702961
Stercorarius parasiticus,Yunnan,100.52,25.03,239,2017,0.040500457962567
Stercorarius pomarinus,Inner Mongolia,110.01,41.53,2781,2007,0.153355134385537
Turnix suscitator,Anhui,117.09,30.26,980,2025,0.105489412533964
Turnix suscitator,Zhejiang,121.02,28.86,844,2023,0.148847391386691
Anastomus oscitans,Hebei,114.16,38.24,2258,2023,0.154483271419202
Anastomus oscitans,Hunan,113.24,28.23,567,2025,0.224247950696966
Anastomus oscitans,Qinghai,96.57,32.58,1240,2024,0.267332588762389
Anastomus oscitans,Shaanxi,107.53,33.23,1339,2021,0.196109088357276
Anastomus oscitans,Sichuan,103.09,28.41,547,2018,0.197791069642227
Ciconia boyciana,Gansu,105.02,33.35,1334,2024,0.151341422464723
Ciconia boyciana,Ningxia,105.72,37.25,2014,2018,0.168607610667352
Ciconia boyciana,Tianjin,117.48,38.75,2414,2001,0.165122121768371
Ciconia episcopus,Yunnan,99.62,27.89,489,2011,0.30064166975709
Ciconia nigra,Tibet,98.87,29.55,730,2021,0.155957806225824
Leptoptilos javanicus,Yunnan,103.38,23.42,93,2014,0.172437972024676
Chalcophaps indica,Anhui,117.91,31.64,1203,2023,0.0504592696455726
Chalcophaps indica,Hunan,111.59,25.95,341,2018,0.121179550440234
Chalcophaps indica,Jiangxi,114.38,24.49,226,2011,0.188051030869631
Chalcophaps indica,Zhejiang,120.14,27.52,639,2019,0.301621368317043
Columba oenas,Gansu,98.44,39.91,2527,2022,0.211822426922775
Columba oenas,Inner Mongolia,101.15,42.05,2849,2017,0.172745754665113
Geopelia striata,Yunnan,101.26,21.92,27,2021,0.100795668060804
Macropygia unchall,Jiangsu,120.73,31.65,1285,2024,0.171626882341398
Macropygia unchall,Tibet,93.8,29.38,792,2017,0.28507975470769
Macropygia unchall,Zhejiang,119.19,27.91,637,2016,0.184420322824608
