species,bio1_native,bio12_native
Crex crex,0.40013010544628,16.8007556597166
Ficedula elisae,0.778661298621914,35.6367512781948
Heterophasia desgodinsi,0.348303888391648,-76.0162298642042
Hieraaetus pennatus,1.05943770517373,5.32739285866054
Neophron percnopterus,0.544398233543705,-4.98610720112765
Oenanthe deserti,0.776427548754405,3.90183883441755
Otus semitorques,0.739069367780208,70.7682016545842
Pardaliparus venustulus,0.322813038009625,63.0966637931284
Phylloscopus ogilviegranti,0.231375003619117,14.82680539176
Phylloscopus tephrocephalus,0.861874593739176,-36.2964842354267
Phylloscopus yunnanensis,0.0606283247452843,24.7377495418014
Turdus feae,0.950434322326659,84.0718133935002
Turdus pilaris,1.15081665429562,23.8861095519676
Accipiter gularis,0.486623770373477,102.570376271237
Ardenna pacifica,0.257135353754295,-78.7669693449084
Bombycilla japonica,0.870830324456839,67.9776188650239
Butastur indicus,0.901984754779734,122.536236087571
Cecropis daurica,0.547620807623821,64.5852153365305
Cephalopyrus flammiceps,0.532778597816418,13.43520315059
Emberiza leucocephalos,1.01271847357108,65.6290244547246
Emberiza siemsseni,0.995593777897743,28.4955881056443
Emberiza stewarti,1.22998012163647,47.3436305925432
Monticola gularis,0.197112910491538,119.801514209186
Muscicapa ferruginea,0.86474664182397,-37.1904330129567
Onychoprion anaethetus,0.574144381758316,-49.0506238805062
Perdix hodgsoniae,0.575417735462282,18.3311720501779
Phoenicurus ochruros,1.16847850101142,14.3370403717833
Phylloscopus coronatus,0.439472229838426,97.0917142882373
Phylloscopus soror,1.05008436153006,80.5992989894781
Porphyrio porphyrio,0.450815845545879,37.8471023657344
Rubigula flaviventris,0.267603120796672,70.5547096036237
Sittiparus varius,0.511103678081938,121.667354450331
Thalasseus bergii,0.200105229130148,6.38866969753644
Bubo nipalensis,0.698942076328461,-146.178916258458
Certhia himalayana,0.442469319743436,-63.4727745888364
Cyornis poliogenys,0.467351703791035,-525.925586694305
Emberiza pallasi,1.26346933236832,28.4722897304384
Emberiza pusilla,1.1683891795686,30.3549926579498
Emberiza yessoensis,0.630673978475565,30.0706961452371
Falco severus,0.362451281798396,-89.0401927728017
Hirundapus caudacutus,0.842723443712942,-37.7689672009942
Histrionicus histrionicus,1.34789738497457,30.3717007636825
Lalage melaschistos,0.566213135718787,-66.5604379831575
Larus ichthyaetus,0.428958413720435,-14.9982027316285
Leptoptilos javanicus,0.319168449221365,-150.881578244663
Nycticorax nycticorax,0.59803266468051,-8.92778875806653
Paradoxornis guttaticollis,0.562768762822746,-64.2352789795164
Parayuhina diademata,0.579944209047564,36.8066549479877
Pericrocotus ethologus,0.948908693296628,-50.0087929493767
Phylloscopus cantator,0.564815135282043,-91.3210777262145
Phylloscopus magnirostris,0.489911540813976,-71.6806505538998
Pteruthius xanthochlorus,0.632411442686265,-62.1687363515786
Sasia ochracea,0.378529557159034,-145.294085542145
Spodiopsar sericeus,0.861065589615654,133.339626480209
Turdus cardis,0.770734160663642,10.1157050442232
Accipiter soloensis,1.06757982321898,77.4731865629148
Aix galericulata,1.17746477524065,64.4638691684154
Artamus fuscus,0.525422837582712,16.26548678576
Circus spilonotus,1.64954249454466,-25.50654187848
Dendrocopos hyperythrus,0.673224254035917,-5.57888445735989
Dicrurus annectens,0.704762178175425,-76.3376946027249
Egretta garzetta,0.660237478761658,-24.6518312641905
Enicurus leschenaulti,0.640732908710692,-35.2281685601154
