province,year,effort_record,n_visits,n_observers,n_birding_days,effort_pc1,log_effort_record_z,log_effort_visits_z,log_effort_observers_z,log_effort_days_z,effort_pc1_z
Anhui,2009,74,9,8,6,-1.1380649534996,-0.224364062030686,-0.893289792557711,-0.525014755284983,-1.10949930059124,-0.632556590126978
Beijing,2009,496,173,72,127,-0.183729225565183,0.719964622900681,0.497081981565492,0.817330567129714,0.754125793776029,-0.129153643514248
Chongqing,2009,10,5,2,5,-1.18659985873607,-1.18291979657781,-1.14193146479936,-1.22953057065565,-1.20835243256279,-0.658158287301714
Fujian,2009,98,8,6,8,-1.1138569441437,-0.0857276347838269,-0.944573466638645,-0.68617715186566,-0.948337388278911,-0.619787097290568
Gansu,2009,76,18,8,18,-0.695999104097344,-0.21122241747456,-0.580870806180053,-0.525014755284983,-0.469166722551472,-0.399371092956481
Guangdong,2009,604,50,16,43,-0.702248763967052,0.818156746023225,-0.10026557169756,-0.11716919486846,0.0693452216734874,-0.402667728617966
Guangxi,2009,218,9,6,9,-1.0515121368102,0.310735152049134,-0.893289792557711,-0.68617715186566,-0.88077221781982,-0.586900809164673
Guizhou,2009,26,2,2,2,-1.18303166186888,-0.734529364404148,-1.47931719109363,-1.22953057065565,-1.65285108668733,-0.656276097665028
Hainan,2009,19,22,9,21,-0.887672136316782,-0.884387694750187,-0.487875679567207,-0.45744938180228,-0.375153432451052,-0.50047677975111
Hebei,2009,28,86,14,49,-0.404945805518259,-0.698846068313322,0.159696255271227,-0.197433556210622,0.151321695331569,-0.245843268484069
Heilongjiang,2009,5,9,3,9,-1.10706194947111,-1.48559593606752,-0.893289792557711,-1.0450464064683,-0.88077221781982,-0.616202802749062
Henan,2009,98,9,4,9,-1.05965938138947,-0.0857276347838269,-0.893289792557711,-0.90194937158129,-0.88077221781982,-0.591198402567003
Hong Kong,2009,24,2,1,2,-1.21454649549493,-0.772960142927678,-1.47931719109363,-1.48954639624731,-1.65285108668733,-0.672899870248395
Hubei,2009,290,5,3,5,-1.14571855157565,0.452677201114455,-1.14193146479936,-1.0450464064683,-1.20835243256279,-0.636593789731788
Hunan,2009,97,37,8,33,-0.81031308015047,-0.0907972587580159,-0.243485079885787,-0.525014755284983,-0.0959943992513657,-0.459670619317832
Inner Mongolia,2009,17,14,4,14,-0.944061925407746,-0.936999855170533,-0.695931794396994,-0.90194937158129,-0.620757173535941,-0.530221852848921
Jiangsu,2009,246,21,14,17,-0.780231324223081,0.370815691511897,-0.509512340035053,-0.197433556210622,-0.503838734154372,-0.443802781480608
Jiangxi,2009,68,33,8,15,-0.717310435911587,-0.266000974665538,-0.297623569858277,-0.525014755284983,-0.57937016859759,-0.410612616162106
Jilin,2009,60,3,3,3,-1.15722901671087,-0.327537646221548,-1.33928946296008,-1.0450464064683,-1.46836747684667,-0.642665449731874
Liaoning,2009,31,60,10,53,-0.709534302796856,-0.649689656442091,-0.0131147914544373,-0.396329066900856,0.200674964254047,-0.406510780499219
Qinghai,2009,24,24,6,22,-0.702996738971503,-0.772960142927678,-0.447290122155344,-0.68617715186566,-0.346647583779436,-0.403062278261464
Shaanxi,2009,95,31,13,27,-0.764252260598375,-0.1010935755451,-0.327132284077283,-0.241677162086651,-0.220501992342162,-0.435373978620843
Shandong,2009,28,7,5,7,-1.15546484449859,-0.698846068313322,-1.00190373666581,-0.785030580876641,-1.02386882272213,-0.641734865804228
Shanghai,2009,280,39,22,37,-0.708201246213592,0.43521550336528,-0.218518339969181,0.0766768572057419,-0.0246680684269326,-0.405807605932477
Shanxi,2009,3,1,1,1,-1.23605962494811,-1.68806642683391,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.684247839773786
Sichuan,2009,205,55,19,48,-0.510385078534326,0.280176923915384,-0.0547422573216276,-0.0129493920232701,0.138366183913266,-0.301461474081251
Tianjin,2009,11,2,2,2,-1.21706330927042,-1.13947034593692,-1.47931719109363,-1.22953057065565,-1.65285108668733,-0.674227465384542
Tibet,2009,23,38,8,26,-0.775778504689249,-0.793344755806312,-0.230841649180448,-0.525014755284983,-0.243823689870492,-0.441453961868753
Yunnan,2009,250,84,15,70,-0.0840464159904208,0.378837609767918,0.148376100544091,-0.156046426910279,0.376189532730348,-0.0765719171911822
Zhejiang,2009,296,114,16,102,-0.292483532529108,0.462868446113165,0.295509717129426,-0.11716919486846,0.614775700040218,-0.186520497735415
Anhui,2010,74,5,4,4,-1.16494777127229,-0.224364062030686,-1.14193146479936,-0.90194937158129,-1.32527087194436,-0.646737018758017
Beijing,2010,448,220,68,157,0.0222380709200787,0.669246699367636,0.613466245760637,0.78119267257641,0.889155927489698,-0.0205078693683343
Chongqing,2010,10,19,7,17,-0.968249001864711,-1.18291979657781,-0.555904066263446,-0.600546416689289,-0.503838734154372,-0.542980303781841
Fujian,2010,81,22,9,18,-0.83526366743545,-0.17980616771067,-0.487875679567207,-0.45744938180228,-0.469166722551472,-0.472831814892227
Gansu,2010,65,4,3,4,-1.09473184886305,-0.288198125550212,-1.23067551885198,-1.0450464064683,-1.32527087194436,-0.609698792895461
Guangdong,2010,442,41,19,40,-0.653863258372333,0.662528835640267,-0.194769985455176,-0.0129493920232701,0.0240598703592195,-0.377144838321857
Guangxi,2010,97,33,14,32,-0.880758440278483,-0.0907972587580159,-0.297623569858277,-0.197433556210622,-0.115138388167173,-0.496829871377264
Guizhou,2010,23,6,2,6,-1.20367492538236,-0.793344755806312,-1.06689943620442,-1.22953057065565,-1.10949930059124,-0.66716522124723
Hainan,2010,28,23,7,17,-0.940705511198756,-0.698846068313322,-0.467160012210831,-0.600546416689289,-0.503838734154372,-0.528451376533929
Hebei,2010,26,241,20,88,-0.0665971385248397,-0.734529364404148,0.657650509184237,0.0183386635050077,0.521090009438103,-0.0673675906263067
Heilongjiang,2010,6,3,3,3,-1.1548459698317,-1.40862022799187,-1.33928946296008,-1.0450464064683,-1.46836747684667,-0.641408415351021
Henan,2010,168,19,9,17,-0.954704941718717,0.181316155273516,-0.555904066263446,-0.45744938180228,-0.503838734154372,-0.535835941911044
Hong Kong,2010,67,1,1,1,-1.22017497442308,-0.273290938769212,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.675868838918897
Hubei,2010,409,13,8,13,-1.01020034870303,0.623872564373052,-0.729513709910159,-0.525014755284983,-0.665000646466702,-0.565109237022653
Hunan,2010,70,69,14,47,-0.561230667551549,-0.251732756202569,0.0538716867864743,-0.197433556210622,0.125143529810829,-0.328282034796221
Inner Mongolia,2010,13,9,5,7,-0.938923278967453,-1.06249463786127,-0.893289792557711,-0.785030580876641,-1.02386882272213,-0.527511266119402
Jiangsu,2010,165,52,17,49,-0.644713476566123,0.172372268316322,-0.0815423128300258,-0.0805147655059728,0.151321695331569,-0.372318416144329
Jiangxi,2010,65,27,15,23,-0.71174463328389,-0.288198125550212,-0.392127983615893,-0.156046426910279,-0.319355124313711,-0.407676708639171
Jilin,2010,24,5,2,3,-0.97471859778177,-0.772960142927678,-1.14193146479936,-1.22953057065565,-1.46836747684667,-0.546392953599626
Liaoning,2010,26,48,5,42,-0.831277784860644,-0.734529364404148,-0.119737956860239,-0.785030580876641,0.0546025952927596,-0.470729300049413
Qinghai,2010,19,68,13,37,-0.65719659369319,-0.884387694750187,0.0468680448877761,-0.241677162086651,-0.0246680684269326,-0.378903140744631
Shaanxi,2010,85,37,18,26,-0.779607601552955,-0.156022926538344,-0.243485079885787,-0.0458426497186698,-0.243823689870492,-0.443473773752175
Shandong,2010,50,13,5,13,-0.987554197519837,-0.416946038133433,-0.729513709910159,-0.785030580876641,-0.665000646466702,-0.553163609397738
Shanghai,2010,183,54,21,51,-0.687711828444831,0.223779714829289,-0.0635126696326861,0.048170922878154,0.176472997536038,-0.394999634505589
Shanxi,2010,4,2,2,2,-1.21478890640276,-1.5766388750114,-1.47931719109363,-1.22953057065565,-1.65285108668733,-0.673027739678115
Sichuan,2010,122,182,33,93,-0.0263138450326755,0.0226643230557151,0.521628933000545,0.32733079491055,0.556141137814674,-0.0461185395328172
Tianjin,2010,37,1,1,1,-1.23605962494811,-0.563875599541817,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.684247839773786
Tibet,2010,31,33,13,32,-0.69468812182592,-0.649689656442091,-0.297623569858277,-0.241677162086651,-0.115138388167173,-0.398679562377593
Xinjiang,2010,66,23,5,21,-0.880332803251483,-0.280688906263035,-0.467160012210831,-0.785030580876641,-0.375153432451052,-0.496605351926397
Yunnan,2010,228,80,17,62,-0.1843160891539,0.333031430214016,0.12491398227132,-0.0805147655059728,0.299528096225596,-0.129463208430631
Zhejiang,2010,393,225,17,164,0.0943591283905999,0.603995167050882,0.624355843436974,-0.0805147655059728,0.916955524984216,0.0175352969732086
Anhui,2011,58,12,10,11,-0.72750049861076,-0.344184310107046,-0.765585373635431,-0.396329066900856,-0.76385377843825,-0.415987776536783
Beijing,2011,250,183,75,137,-0.0506018425940554,0.378837609767918,0.52428149931559,0.84315732983935,0.802364768753523,-0.0589302253807159
Chongqing,2011,20,7,6,7,-1.15346319970473,-0.860024147094881,-1.00190373666581,-0.68617715186566,-1.02386882272213,-0.640679017366612
Fujian,2011,102,14,8,9,-0.954875540167445,-0.0659486662152217,-0.695931794396994,-0.525014755284983,-0.88077221781982,-0.535925930957104
Gansu,2011,92,28,5,28,-0.873721773319237,-0.116947404642602,-0.375047469183756,-0.785030580876641,-0.197998770998951,-0.493118097021625
Guangdong,2011,601,16,11,16,-0.980180741086425,0.815674452564906,-0.635009296152542,-0.340530591097631,-0.540493053375906,-0.549274181823509
Guangxi,2011,64,29,15,25,-0.806178940593254,-0.295821993827081,-0.358546068102729,-0.156046426910279,-0.268025656588502,-0.457489900338239
Guizhou,2011,20,1,1,1,-1.17480265962534,-0.860024147094881,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.651935377878662
Hainan,2011,29,1,1,1,-1.18841531858596,-0.681917203983802,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.65911592496647
Hebei,2011,15,166,23,66,-0.227403147425365,-0.995815246572698,0.477095519909834,0.103969398681379,0.33900369586215,-0.152191218563581
Heilongjiang,2011,20,5,4,4,-1.1400752842047,-0.860024147094881,-1.14193146479936,-0.90194937158129,-1.32527087194436,-0.633617020299495
Henan,2011,111,27,11,23,-0.788958131935555,-0.0241178674694479,-0.392127983615893,-0.340530591097631,-0.319355124313711,-0.448406088879033
Hubei,2011,398,24,10,22,-0.853443481874589,0.610292270327819,-0.447290122155344,-0.396329066900856,-0.346647583779436,-0.482421492706494
Hunan,2011,127,12,7,11,-1.04432462057558,0.0425615238191205,-0.765585373635431,-0.600546416689289,-0.76385377843825,-0.58310946326257
Inner Mongolia,2011,18,10,7,10,-1.03910572698828,-0.910001189672423,-0.846898066329319,-0.600546416689289,-0.819652086575592,-0.58035654693239
Jiangsu,2011,214,87,21,84,1.43608611062053,0.301530215414772,0.165259112553477,0.048170922878154,0.491600859775484,0.725283416040558
Jiangxi,2011,79,12,8,12,-0.897446274044664,-0.192136514488976,-0.765585373635431,-0.525014755284983,-0.712524310713042,-0.505632543691191
Jilin,2011,15,10,5,10,-0.972168082784776,-0.995815246572698,-0.846898066329319,-0.785030580876641,-0.819652086575592,-0.545047581392252
Liaoning,2011,13,73,8,62,-0.533042063764157,-1.06249463786127,0.0809200181044846,-0.525014755284983,0.299528096225596,-0.313412816561894
Ningxia,2011,9,4,2,4,-1.15800315568922,-1.23051328488079,-1.23067551885198,-1.22953057065565,-1.32527087194436,-0.643073800620751
Qinghai,2011,17,26,8,23,-0.796860815875385,-0.936999855170533,-0.409829742183662,-0.525014755284983,-0.319355124313711,-0.45257467888883
Shaanxi,2011,116,56,24,49,-0.600339465414796,-0.00230856411681994,-0.0461270817250702,0.130147642863739,0.151321695331569,-0.348911550706153
Shandong,2011,43,25,3,25,-0.898825317660351,-0.490668616316597,-0.428199647341165,-1.0450464064683,-0.268025656588502,-0.506359975976626
Shanghai,2011,136,48,30,43,-0.741180283118339,0.0764929363855656,-0.119737956860239,0.268093823303856,0.0693452216734874,-0.423203731707033
Shanxi,2011,11,5,4,5,-1.17340156641463,-1.13947034593692,-1.14193146479936,-0.90194937158129,-1.20835243256279,-0.651196314643256
Sichuan,2011,87,143,32,87,0.0463574385998656,-0.144543026185991,0.404969438538417,0.308186748469812,0.513843875798028,-0.00778513416620532
Taiwan,2011,5,1,1,1,-1.23378682961595,-1.48559593606752,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.683048962026923
Tianjin,2011,34,1,1,1,-1.23379084845468,-0.60494149590815,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.683051081925821
Tibet,2011,30,29,11,29,-0.848731810265241,-0.665543485539593,-0.358546068102729,-0.340530591097631,-0.176258519411401,-0.479936131106597
Xinjiang,2011,77,73,13,48,-0.478817255919469,-0.204779054883205,0.0809200181044846,-0.241677162086651,0.138366183913266,-0.28480975031433
Yunnan,2011,149,88,17,77,0.0018287465072359,0.12176152809992,0.170759111346044,-0.0805147655059728,0.436488041819916,-0.0312735923178855
Zhejiang,2011,334,173,18,129,0.0194362989525415,0.522989825820687,0.497081981565492,-0.0458426497186698,0.764068256562887,-0.0219857772186962
Anhui,2012,91,14,7,14,-1.00174039258209,-0.122345875301317,-0.695931794396994,-0.600546416689289,-0.620757173535941,-0.560646691280272
Beijing,2012,204,331,103,197,0.322951637634345,0.277746974242446,0.811557845739484,1.04429900020227,1.03387396436579,0.138115653925754
Chongqing,2012,93,2,1,2,-1.18954546623056,-0.111606672744708,-1.47931719109363,-1.48954639624731,-1.65285108668733,-0.659712067013494
Fujian,2012,188,37,18,34,-0.619211029878576,0.237168014699102,-0.243485079885787,-0.0458426497186698,-0.0774053874398524,-0.358866120026136
Gansu,2012,117,26,12,22,-0.950058254493736,0.00194128002355975,-0.409829742183662,-0.289200969134761,-0.346647583779436,-0.533384858950852
Guangdong,2012,387,32,18,31,-0.874382923171351,0.596332300478676,-0.312154341874337,-0.0458426497186698,-0.13487151447305,-0.493466847229717
Guangxi,2012,53,28,16,24,-0.833905396662537,-0.388403774273542,-0.375047469183756,-0.11716919486846,-0.29317695879297,-0.472115340082191
Guizhou,2012,28,23,7,21,-0.714594466660859,-0.698846068313322,-0.467160012210831,-0.600546416689289,-0.375153432451052,-0.409179968422211
Hainan,2012,31,25,9,23,-0.830523578263524,-0.649689656442091,-0.428199647341165,-0.45744938180228,-0.319355124313711,-0.470331463300529
Hebei,2012,17,128,19,67,-0.316599754466004,-0.936999855170533,0.351427084236514,-0.0129493920232701,0.348504254873174,-0.199241573588329
Heilongjiang,2012,32,14,6,13,-1.025406246525,-0.634323715680818,-0.695931794396994,-0.68617715186566,-0.665000646466702,-0.573130202334346
Henan,2012,88,39,15,36,-0.740005659414876,-0.138900551773383,-0.218518339969181,-0.156046426910279,-0.0417697753491267,-0.422584128965381
Hong Kong,2012,14,3,3,3,-1.02215530888578,-1.02804279411441,-1.33928946296008,-1.0450464064683,-1.46836747684667,-0.571415363898632
Hubei,2012,278,25,13,23,-0.502395845225518,0.431648676254389,-0.428199647341165,-0.241677162086651,-0.319355124313711,-0.297247230109127
Hunan,2012,90,36,15,30,-0.695546849848414,-0.127803346807553,-0.256465708189781,-0.156046426910279,-0.155231192860022,-0.399132533176243
Inner Mongolia,2012,19,12,8,10,-0.94512995930287,-0.884387694750187,-0.765585373635431,-0.525014755284983,-0.819652086575592,-0.530785230488624
Jiangsu,2012,227,105,29,89,-0.204423081275757,0.330846071485781,0.255843413464239,0.247066433568388,0.528255178997018,-0.140069453995355
Jiangxi,2012,89,40,20,36,-0.463710225737083,-0.133321123086811,-0.20649934131124,0.0183386635050077,-0.0417697753491267,-0.276840936734605
Jilin,2012,7,4,2,4,-1.19221255702414,-1.3419408367033,-1.23067551885198,-1.22953057065565,-1.32527087194436,-0.661118931835874
Liaoning,2012,17,112,9,107,-0.265178013402977,-0.936999855170533,0.286970117142708,-0.45744938180228,0.645173618378587,-0.172117098193164
Ningxia,2012,6,3,3,2,-1.19417051848209,-1.40862022799187,-1.33928946296008,-1.0450464064683,-1.65285108668733,-0.66215173773262
Qinghai,2012,19,65,14,55,-0.516951527083489,-0.884387694750187,0.0252313844199287,-0.197433556210622,0.223996661782378,-0.304925212733878
Shaanxi,2012,94,45,27,42,-0.679692134924483,-0.106322457588701,-0.150489953272941,0.20282282769236,0.0546025952927596,-0.39076932306392
Shandong,2012,40,17,6,15,-1.07982062844314,-0.525931757841276,-0.60718774034438,-0.68617715186566,-0.57937016859759,-0.601833267088079
Shanghai,2012,129,116,49,93,-0.337633646028275,0.0503035963035254,0.303902075274534,0.574647632642749,0.556141137814674,-0.210336749721049
Shanxi,2012,6,19,12,15,-1.07111197324061,-1.40862022799187,-0.555904066263446,-0.289200969134761,-0.57937016859759,-0.597239534964609
Sichuan,2012,119,170,46,104,0.183389263057781,0.0103339762774098,0.488616642729912,0.534968301770994,0.627108310968566,0.0644978394170424
Tianjin,2012,22,11,4,11,-1.10287192394627,-0.81459705556253,-0.804545738505096,-0.90194937158129,-0.76385377843825,-0.613992604457364
Tibet,2012,36,15,5,15,-0.981434610265606,-0.57719248665893,-0.664518010371548,-0.785030580876641,-0.57937016859759,-0.549935585793821
Xinjiang,2012,111,62,17,50,-0.555913649278411,-0.0241178674694479,0.00258801270554077,-0.0805147655059728,0.164020645032513,-0.32547735863505
Yunnan,2012,167,168,28,142,0.492177145651549,0.178352623296937,0.482890168277749,0.225326116654512,0.825188387807114,0.227380486923551
Zhejiang,2012,333,182,26,140,0.0330427447435097,0.521496988617955,0.521628933000545,0.179501060085685,0.816156182098553,-0.01480850751831
Anhui,2013,146,36,10,34,-0.761961519681996,0.111673232008369,-0.256465708189781,-0.396329066900856,-0.0774053874398524,-0.434165634750361
Beijing,2013,227,386,107,218,1.44369244005155,0.330846071485781,0.886170808691497,1.06850103964371,1.09851759900186,0.729295681888311
Chongqing,2013,37,7,5,7,-1.16014206129026,-0.563875599541817,-1.00190373666581,-0.785030580876641,-1.02386882272213,-0.644202052818142
Fujian,2013,335,79,25,69,0.0993093284685874,0.524478213427544,0.118867386325085,0.155299020644249,0.367093266684688,0.0201464800533759
Gansu,2013,97,30,13,25,-0.728836367555565,-0.0907972587580159,-0.342585795164364,-0.241677162086651,-0.268025656588502,-0.416692434597274
Guangdong,2013,494,96,28,86,-0.315948573807988,0.717951097299895,0.212655472191544,0.225326116654512,0.506514927409468,-0.198898082034542
Guangxi,2013,80,46,17,43,-0.544777702495713,-0.185933283507156,-0.14002192155932,-0.0805147655059728,0.0693452216734874,-0.319603253475154
Guizhou,2013,17,3,3,3,-1.16170308615011,-0.936999855170533,-1.33928946296008,-1.0450464064683,-1.46836747684667,-0.645025478465094
Hainan,2013,16,31,6,30,-0.871230727569967,-0.965542119030424,-0.327132284077283,-0.68617715186566,-0.155231192860022,-0.491804094272254
Hebei,2013,33,162,31,85,-0.133505516263408,-0.619416528899818,0.465295070105759,0.288453562868731,0.499101249417299,-0.102661118386788
Heilongjiang,2013,28,17,8,12,-0.963604995210653,-0.698846068313322,-0.60718774034438,-0.525014755284983,-0.712524310713042,-0.54053063479711
Henan,2013,68,18,11,16,-0.849388878345278,-0.266000974665538,-0.580870806180053,-0.340530591097631,-0.540493053375906,-0.480282728219054
Hong Kong,2013,25,3,3,3,-1.1866760907124,-0.753375135780197,-1.33928946296008,-1.0450464064683,-1.46836747684667,-0.65819849893834
Hubei,2013,192,39,12,36,-0.552747055049231,0.247626065470566,-0.218518339969181,-0.289200969134761,-0.0417697753491267,-0.323807010539473
Hunan,2013,47,26,8,25,-0.911613572354802,-0.447219165675706,-0.409829742183662,-0.525014755284983,-0.268025656588502,-0.51310565771816
Inner Mongolia,2013,32,44,19,37,-0.627897576471956,-0.634323715680818,-0.161188069942012,-0.0129493920232701,-0.0246680684269326,-0.36344819007025
Jiangsu,2013,265,111,41,95,0.653902998575756,0.407821779561433,0.282643468972637,0.462838653284018,0.569642183935369,0.312689323764141
Jiangxi,2013,114,48,24,38,0.202960044481005,-0.0109183234788073,-0.119737956860239,0.130147642863739,-0.00801061230462334,0.0748212389792578
Jilin,2013,5,5,4,4,-1.00350913237158,-1.48559593606752,-1.14193146479936,-0.90194937158129,-1.32527087194436,-0.561579684561104
Liaoning,2013,7,153,9,123,-0.203650117603556,-1.3419408367033,0.437649139309132,-0.45744938180228,0.733766115389058,-0.139661723069203
Ningxia,2013,5,6,2,6,-1.15364949272103,-1.48559593606752,-1.06689943620442,-1.22953057065565,-1.10949930059124,-0.640777285146591
Qinghai,2013,38,103,21,64,-0.427070500041435,-0.550904645013811,0.246571805247366,0.048170922878154,0.319569602438347,-0.257513832720389
Shaanxi,2013,124,79,29,62,-0.449496332054655,0.0307185891560449,0.118867386325085,0.247066433568388,0.299528096225596,-0.269343244095495
Shandong,2013,38,18,9,14,-0.97106197475712,-0.550904645013811,-0.580870806180053,-0.45744938180228,-0.620757173535941,-0.544464120012682
Shanghai,2013,138,116,46,90,-0.329300831999413,0.0837300728063119,0.303902075274534,0.534968301770994,0.535341173791465,-0.205941270213241
Shanxi,2013,20,21,15,17,-0.948635696162478,-0.860024147094881,-0.509512340035053,-0.156046426910279,-0.503838734154372,-0.532634473070158
Sichuan,2013,78,293,50,147,0.485212264869222,-0.198417775578369,0.752391493889009,0.587346620502208,0.847227532899953,0.223706579087973
Taiwan,2013,45,2,1,2,-1.2236277368958,-0.468471465431923,-1.47931719109363,-1.48954639624731,-1.65285108668733,-0.677690138019249
Tianjin,2013,39,16,6,15,-1.01102330378854,-0.538262104619581,-0.635009296152542,-0.68617715186566,-0.57937016859759,-0.565543337940023
Tibet,2013,49,40,14,31,-0.480393963637443,-0.426834552797071,-0.20649934131124,-0.197433556210622,-0.13487151447305,-0.285641448518581
Xinjiang,2013,31,44,8,32,-0.737393994049052,-0.649689656442091,-0.161188069942012,-0.525014755284983,-0.115138388167173,-0.42120650052474
Yunnan,2013,145,226,47,147,0.808163341882287,0.108264661282749,0.62650483021332,0.54846938846039,0.847227532899953,0.394060175858379
Zhejiang,2013,451,214,28,154,0.118096387250515,0.672572041328392,0.600068756478164,0.225326116654512,0.876862720291367,0.0300564734363951
Anhui,2014,60,30,15,27,-0.713850028940693,-0.327537646221548,-0.342585795164364,-0.156046426910279,-0.220501992342162,-0.40878728466226
Beijing,2014,101,545,114,257,0.819957732804926,-0.0708204480028271,1.053705556458,1.10877387165077,1.20361494782572,0.400281603989138
Chongqing,2014,4,11,5,11,-1.05569789663611,-1.5766388750114,-0.804545738505096,-0.785030580876641,-0.76385377843825,-0.589108757341084
Fujian,2014,34,81,26,58,-0.436450834070165,-0.60494149590815,0.130886384983026,0.179501060085685,0.257462133040668,-0.262461868984833
Gansu,2014,21,36,14,26,-0.694210975179475,-0.836794206447203,-0.256465708189781,-0.197433556210622,-0.243823689870492,-0.398427872096326
Guangdong,2014,20,170,35,129,-0.0316984904980835,-0.860024147094881,0.488616642729912,0.363985224273037,0.764068256562887,-0.0489588883895222
Guangxi,2014,86,144,30,107,-0.171399405412497,-0.150249987416331,0.408337927512877,0.268093823303856,0.645173618378587,-0.122649781598168
Guizhou,2014,39,35,16,30,-0.681643853705568,-0.538262104619581,-0.269802014050114,-0.11716919486846,-0.155231192860022,-0.391798836008473
Hainan,2014,15,28,10,16,-0.888981409371608,-0.995815246572698,-0.375047469183756,-0.396329066900856,-0.540493053375906,-0.50116740873463
Hebei,2014,8,148,26,83,-0.166453488871982,-1.28312544530114,0.421583498968214,0.179501060085685,0.484011706066257,-0.120040858042948
Heilongjiang,2014,1,1,1,1,-1.21790941300063,-2.03419201696452,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.674673776990049
Henan,2014,13,47,22,36,-0.699471689743708,-1.06249463786127,-0.129774285916565,0.0766768572057419,-0.0417697753491267,-0.401202848590872
Hong Kong,2014,9,2,2,2,-1.16119409080843,-1.23051328488079,-1.47931719109363,-1.22953057065565,-1.65285108668733,-0.644756988302446
Hubei,2014,36,20,14,20,-0.899755251181246,-0.57719248665893,-0.532155711749442,-0.197433556210622,-0.404985602182823,-0.506850506992986
Hunan,2014,11,25,11,24,-0.455577373680842,-1.13947034593692,-0.428199647341165,-0.340530591097631,-0.29317695879297,-0.272550935250182
Inner Mongolia,2014,27,58,25,44,-0.492469809896421,-0.71636904773066,-0.0293411178097525,0.155299020644249,0.083756524872478,-0.292011341640752
Jiangsu,2014,85,171,56,116,0.0169118358292274,-0.156022926538344,0.491454812370062,0.658673165651999,0.696503086103796,-0.023317407312481
Jiangxi,2014,44,77,31,57,-0.304612001161302,-0.479446713217417,0.106544077113817,0.288453562868731,0.246499883125589,-0.192918148654931
Jilin,2014,4,16,10,14,-0.832497383851368,-1.5766388750114,-0.635009296152542,-0.396329066900856,-0.620757173535941,-0.471372626823886
Liaoning,2014,6,152,11,138,-0.112843489741877,-1.40862022799187,0.434478152757423,-0.340530591097631,0.806994940521757,-0.091762097497733
Ningxia,2014,6,8,2,8,-1.12861906596136,-1.40862022799187,-0.944573466638645,-1.22953057065565,-0.948337388278911,-0.627573975014773
Qinghai,2014,21,136,29,80,-0.218029720073401,-0.836794206447203,0.380713794021025,0.247066433568388,0.460690008537927,-0.147246825504912
Shaanxi,2014,59,69,36,56,-0.396705139462741,-0.335791613853196,0.0538716867864743,0.381555581749979,0.235346975856947,-0.241496396148714
Shandong,2014,3,22,17,21,-0.816222639494491,-1.68806642683391,-0.487875679567207,-0.0805147655059728,-0.375153432451052,-0.462787855212795
Shanghai,2014,56,136,46,107,-0.194865131151078,-0.361405108775431,0.380713794021025,0.534968301770994,0.645173618378587,-0.135027726943225
Shanxi,2014,7,19,18,15,-0.984238853918805,-1.3419408367033,-0.555904066263446,-0.0458426497186698,-0.57937016859759,-0.551414797434672
Sichuan,2014,3,350,63,150,0.895147660632135,-1.68806642683391,0.838645799729517,0.732953552647741,0.860096379542939,0.439943570020463
Taiwan,2014,4,1,1,1,-1.23379011166758,-1.5766388750114,-1.67667518925434,-1.48954639624731,-1.91286613097121,-0.68305069327769
Tianjin,2014,10,77,11,70,-0.608398060691819,-1.18291979657781,0.106544077113817,-0.340530591097631,0.376189532730348,-0.35316238245149
Tibet,2014,12,32,18,31,-0.720527930133821,-1.0995007259108,-0.312154341874337,-0.0458426497186698,-0.13487151447305,-0.412309813516005
Xinjiang,2014,21,57,11,45,-0.576743817238168,-0.836794206447203,-0.0376617428894902,-0.340530591097631,0.0978510703451037,-0.336465072520682
Yunnan,2014,104,322,49,162,0.930053766095912,-0.0563454150111586,0.798180813216015,0.574647632642749,0.909134988987078,0.458356205983777
Zhejiang,2014,27,198,40,140,0.0722064477262436,-0.71636904773066,0.562427228490178,0.447385425266934,0.816156182098553,0.00584997031573887
Anhui,2015,216,15,14,13,-0.88846392163208,0.306153893563657,-0.664518010371548,-0.197433556210622,-0.665000646466702,-0.50089443891354
Beijing,2015,404,591,148,254,2.95579332617782,0.617745448576565,1.09307719698728,1.27487394753206,1.1961145581839,1.52691440176924
Chongqing,2015,2,33,20,32,-0.776390171261555,-1.83172152619813,-0.297623569858277,0.0183386635050077,-0.115138388167173,-0.441776610121177
Fujian,2015,378,137,39,91,-0.115327150150951,0.584612901957508,0.384253771182042,0.43155059775574,0.542349724469644,-0.0930722045509598
Gansu,2015,217,41,9,27,-0.613917540935273,0.308449776561615,-0.194769985455176,-0.45744938180228,-0.220501992342162,-0.356073855360861
Guangdong,2015,534,185,49,145,0.129360665802706,0.756755364002696,0.529543655584884,0.574647632642749,0.838502554717982,0.0359982723742938
Guangxi,2015,332,141,40,105,1.9072065094495,0.519999675135053,0.39816170918581,0.447385425266934,0.633186802014555,0.973794909467707
