species,record_count_new_record,first_year,provinces_recorded,new_record_order
Halcyon coromanda,1,2008,Shandong,Coraciiformes
Halcyon pileata,1,2018,Tibet,Coraciiformes
Halcyon smyrnensis,5,2009,Jiangsu | Shandong | Shanghai | Tibet,Coraciiformes
Haliaeetus leucoryphus,1,2010,Yunnan,Accipitriformes
Haliaeetus pelagicus,1,2024,Jiangsu,Accipitriformes
Haliastur indus,1,2025,Hunan,Accipitriformes
Harpactes wardi,1,2020,Tibet,Trogoniformes
Helopsaltes certhiola,1,2024,Tibet,Passeriformes
Helopsaltes ochotensis,1,2013,Anhui,Passeriformes
Helopsaltes pleskei,2,2005,Guangxi | Shanghai,Passeriformes
Helopsaltes pryeri,1,2006,Shanghai,Passeriformes
Hemiprocne coronata,1,2018,Inner Mongolia,Caprimulgiformes
Hemitesia pallidipes,1,2024,Hunan,Passeriformes
Hemixos castanonotus,2,2010,Anhui | Shandong,Passeriformes
Heterophasia desgodinsi,2,2012,Hubei | Shaanxi,Passeriformes
Heteroxenicus stellatus,1,2018,Sichuan,Passeriformes
Hieraaetus pennatus,7,2012,Gansu | Hainan | Henan | Hunan | Qinghai | Shaanxi | Tibet,Accipitriformes
Hierococcyx nisicolor,1,2016,Shaanxi,Cuculiformes
Hirundapus caudacutus,1,2014,Hunan,Caprimulgiformes
Hirundo rustica,1,2022,Hainan,Passeriformes
Hirundo smithii,1,2025,Guangdong,Passeriformes
Histrionicus histrionicus,3,2014,Beijing | Inner Mongolia | Jiangsu,Anseriformes
Hydrocoloeus minutus,1,2017,Zhejiang,Charadriiformes
Hydrophasianus chirurgus,4,2015,Gansu | Liaoning | Tianjin | Yunnan,Charadriiformes
Hydroprogne caspia,3,2005,Hubei | Ningxia | Yunnan,Charadriiformes
Hypothymis azurea,1,2020,Jiangsu,Passeriformes
Hypsipetes leucocephalus,1,2021,Gansu,Passeriformes
Ianthocincla lunulata,1,2018,Ningxia,Passeriformes
Ibidorhyncha struthersii,1,2023,Anhui,Charadriiformes
Ictinaetus malaiensis,2,2010,Anhui | Shandong,Accipitriformes
Iduna caligata,1,2022,Zhejiang,Passeriformes
Indicator xanthonotus,1,2022,Sichuan,Piciformes
Ixobrychus cinnamomeus,1,2019,Qinghai,Pelecaniformes
Ixobrychus eurhythmus,1,2015,Shaanxi,Pelecaniformes
Ixobrychus minutus,1,2020,Gansu,Pelecaniformes
Ixos mcclellandii,2,2016,Gansu | Ningxia,Passeriformes
Ketupa flavipes,1,2024,Shanxi,Strigiformes
Lalage melaschistos,1,2014,Liaoning,Passeriformes
Lanius borealis,1,2022,Tibet,Passeriformes
Lanius collurioides,1,2017,Sichuan,Passeriformes
Lanius isabellinus,1,2022,Zhejiang,Passeriformes
Lanius schach,3,2001,Beijing | Jiangxi | Tianjin,Passeriformes
Lanius sphenocercus,1,2019,Yunnan,Passeriformes
Lanius tephronotus,2,2004,Hubei | Xinjiang,Passeriformes
Larus argentatus,1,2025,Tibet,NA
Larus brunnicephalus,1,2024,Fujian,NA
Larus cachinnans,1,2006,Fujian,Charadriiformes
Larus canus,1,2025,Tibet,Charadriiformes
Larus crassirostris,1,2006,Hainan,Charadriiformes
Larus fuscus,3,2018,Hubei | Inner Mongolia | Tibet,Charadriiformes
Larus genei,2,2022,Fujian | Jiangxi,NA
Larus glaucescens,2,2018,Inner Mongolia | Shanghai,Charadriiformes
Larus hyperboreus,3,2015,Gansu | Shanxi | Tibet,Charadriiformes
Larus ichthyaetus,2,2014,Anhui | Liaoning,NA
Larus relictus,1,2019,Ningxia,NA
Larvivora akahige,2,2010,Hubei | Zhejiang,Passeriformes
Larvivora brunnea,1,2020,Jiangsu,Passeriformes
Larvivora cyane,2,2007,Hainan | Hunan,Passeriformes
Leptopoecile elegans,1,2011,Yunnan,Passeriformes
Leptoptilos javanicus,1,2014,Yunnan,Ciconiiformes
Leucogeranus leucogeranus,2,2013,Shaanxi | Yunnan,Gruiformes
