species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Otus spilocephalus,matched,206,150,150,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Oxyura leucocephala,matched,125,60,60,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Panurus biarmicus,matched,503,299,299,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Paradoxornis gularis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Paradoxornis guttaticollis,matched,203,146,146,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Paradoxornis heudei,matched,884,446,446,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Parayuhina diademata,matched,818,490,490,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Pardaliparus venustulus,matched,4252,2237,2237,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Parus major linnaeus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Parus monticolus,matched,2344,1301,1301,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Passer cinnamomeus,matched,3234,2206,2206,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Passer domesticus,matched,1018,724,724,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Passer hispaniolensis,matched,164,132,132,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Passerculus sandwichensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Pastor roseus,matched,195,167,167,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Pavo cristatus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Pelecanus crispus,matched,284,164,164,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Pelecanus onocrotalus,matched,63,44,44,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Pellorneum albiventre,matched,27,13,13,modeled,NA,random_repeated,maxnet::maxnet
Pellorneum tickelli,matched,97,29,29,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
