species,scenario,gcm,total_area_km2,delta_area_km2
Zoothera monticola,current,ensemble_mean,4511087.068912776,0
Circus macrourus,current,ensemble_mean,424690.0999400474,0
Haliastur indus,current,ensemble_mean,546311.2980691469,0
Branta hutchinsii,current,ensemble_mean,1497291.2448081304,0
Carpodacus roborowskii,current,ensemble_mean,3247606.5671474775,0
Haliaeetus pelagicus,current,ensemble_mean,5763551.706254568,0
Phylloscopus sibilatrix,current,ensemble_mean,1296566.3572638303,0
Urile pelagicus,current,ensemble_mean,5336967.855381089,0
Fregata ariel,current,ensemble_mean,893915.0025343834,0
Heteroxenicus stellatus,current,ensemble_mean,417394.1593807141,0
Calliope obscura,current,ensemble_mean,1216129.7307247561,0
Pteruthius rufiventer,current,ensemble_mean,7212845.480987804,0
Calonectris leucomelas,current,ensemble_mean,3094670.246480928,0
Moupinia poecilotis,current,ensemble_mean,2601177.577165291,0
Bubo nipalensis,current,ensemble_mean,5041617.874060971,0
Histrionicus histrionicus,current,ensemble_mean,4866161.784007021,0
Cyanoderma pyrrhops,current,ensemble_mean,473398.8443872757,0
Gorsachius goisagi,current,ensemble_mean,1208327.711196912,0
Onychoprion aleuticus,current,ensemble_mean,572120.1899457974,0
Alaudala heinei,current,ensemble_mean,1504764.2603427398,0
Bulweria bulwerii,current,ensemble_mean,676018.0543977383,0
Helopsaltes ochotensis,current,ensemble_mean,1189688.7764238138,0
Onychoprion fuscatus,current,ensemble_mean,398254.42495821294,0
Tetrax tetrax,current,ensemble_mean,1580454.149462157,0
