algorithm,mean_auc,mean_tss,mean_threshold,available,species
GBM,0.6670408766443268,0.3335915624618747,0.06878132767999175,TRUE,Muscicapa dauurica
GLM,0.7096309463067375,0.4201986573150448,0.16849949277879772,TRUE,Muscicapa dauurica
MaxEnt,NA,NA,NA,TRUE,Muscicapa dauurica
RF,0.6228041048481039,0.1585696141836987,0.019333333333333334,TRUE,Muscicapa dauurica
GAM,0.6390581201031964,0.12724073899013522,0.14874088964202645,TRUE,Streptopelia decaocto
GBM,0.6206702593762063,0.09198941145874213,0.14651908859582152,TRUE,Streptopelia decaocto
GLM,0.6056009541661523,0.11890742477208767,0.14649368177919328,TRUE,Streptopelia decaocto
MaxEnt,NA,NA,NA,TRUE,Streptopelia decaocto
RF,0.6401712312780927,0.003974429601065044,6.666666666666668e-4,TRUE,Streptopelia decaocto
GAM,0.7033349380301611,0.4594533420066126,0.10439948948529346,TRUE,Dendrocitta formosae
GBM,0.6687253737167184,0.4630968654129929,0.045681729779169435,TRUE,Dendrocitta formosae
GLM,0.7375019492309686,0.507353714286038,0.13648802976918037,TRUE,Dendrocitta formosae
MaxEnt,NA,NA,NA,TRUE,Dendrocitta formosae
RF,0.6163143015096805,0.3289725792538247,0.007866666666666675,TRUE,Dendrocitta formosae
GAM,0.815728058606893,0.5771014678744479,0.14820851852414138,TRUE,Pycnonotus aurigaster
GBM,0.7766172686746614,0.542194552054324,0.057416324059845765,TRUE,Pycnonotus aurigaster
GLM,0.837969081963831,0.6561100970357792,0.25014840298002566,TRUE,Pycnonotus aurigaster
MaxEnt,NA,NA,NA,TRUE,Pycnonotus aurigaster
RF,0.7280427564968811,0.4599335176469725,0.018,TRUE,Pycnonotus aurigaster
GAM,0.6428297058923409,0.4039283329079709,0.09190326526905598,TRUE,Picumnus innominatus
GBM,0.593992105868876,0.2783251617616562,0.03778791832680251,TRUE,Picumnus innominatus
GLM,0.7118650260525892,0.4888181360309407,0.16174004241114223,TRUE,Picumnus innominatus
MaxEnt,NA,NA,NA,TRUE,Picumnus innominatus
RF,0.567433874549588,0.22180119644943241,0.006,TRUE,Picumnus innominatus
GAM,0.6747382179788192,0.284273105435079,0.0643731333714695,TRUE,Ficedula albicilla
GBM,0.6501786414755283,0.27353511325477115,0.16438875187739224,TRUE,Ficedula albicilla
GLM,0.7122118268663357,0.4279142912785151,0.23079916118528496,TRUE,Ficedula albicilla
MaxEnt,NA,NA,NA,TRUE,Ficedula albicilla
RF,0.6198524825894632,0.07544788050425918,0.005333333333333333,TRUE,Ficedula albicilla
