"species","species_cn","english_name","order","iucn","n_event_records","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Tephrodornis virgatus","钩嘴林鵙","Large Woodshrike","Passeriformes","LC",1,"Tephrodornis_virgatus",NA,NA,NA,"Tephrodornis_virgatus",TRUE,FALSE,FALSE,"Exact match"
"Timalia pileata","红顶鹛","Chestnut-capped Babbler","Passeriformes","LC",1,"Timalia_pileata",NA,NA,NA,"Timalia_pileata",TRUE,FALSE,FALSE,"Exact match"
"Turdus boulboul","灰翅鸫","Grey-winged Blackbird","Passeriformes","LC",10,"Turdus_boulboul",NA,NA,NA,"Turdus_boulboul",TRUE,FALSE,FALSE,"Exact match"
"Turdus cardis","乌灰鸫","Japanese Thrush","Passeriformes","LC",2,"Turdus_cardis",NA,NA,NA,"Turdus_cardis",TRUE,FALSE,FALSE,"Exact match"
"Turdus feae","褐头鸫","Grey-sided Thrush","Passeriformes","VU",2,"Turdus_feae",NA,NA,NA,"Turdus_feae",TRUE,FALSE,FALSE,"Exact match"
"Turdus migratorius","旅鸫","American Robin","Passeriformes","LC",1,"Turdus_migratorius",NA,NA,NA,"Turdus_migratorius",TRUE,FALSE,FALSE,"Exact match"
"Turdus naumanni","红尾斑鸫","Naumann's Thrush","Passeriformes","LC",1,"Turdus_naumanni",NA,NA,NA,"Turdus_naumanni",TRUE,FALSE,FALSE,"Exact match"
"Turdus pilaris","田鸫","Fieldfare","Passeriformes","LC",2,"Turdus_pilaris",NA,NA,NA,"Turdus_pilaris",TRUE,FALSE,FALSE,"Exact match"
"Turdus rubrocanus","灰头鸫","Chestnut Thrush","Passeriformes","LC",4,"Turdus_rubrocanus",NA,NA,NA,"Turdus_rubrocanus",TRUE,FALSE,FALSE,"Exact match"
"Turdus ruficollis","赤颈鸫","Rufous-throated Thrush","Passeriformes","LC",1,"Turdus_ruficollis",NA,NA,NA,"Turdus_ruficollis",TRUE,FALSE,FALSE,"Exact match"
"Turdus viscivorus","槲鸫","Mistle Thrush","Passeriformes","LC",2,"Turdus_viscivorus",NA,NA,NA,"Turdus_viscivorus",TRUE,FALSE,FALSE,"Exact match"
"Urosphena squameiceps","鳞头树莺","Asian Stubtail","Passeriformes","LC",1,"Urosphena_squameiceps",NA,NA,NA,"Urosphena_squameiceps",TRUE,FALSE,FALSE,"Exact match"
"Yuhina nigrimenta","黑颏凤鹛","Black-chinned Yuhina","Passeriformes","LC",2,"Yuhina_nigrimenta",NA,NA,NA,"Yuhina_nigrimenta",TRUE,FALSE,FALSE,"Exact match"
"Zoothera dixoni","长尾地鸫","Long-tailed Thrush","Passeriformes","LC",2,"Zoothera_dixoni",NA,NA,NA,"Zoothera_dixoni",TRUE,FALSE,FALSE,"Exact match"
"Zoothera mollissima","光背地鸫","Alpine Thrush","Passeriformes","LC",5,"Zoothera_mollissima",NA,NA,NA,"Zoothera_mollissima",TRUE,FALSE,FALSE,"Exact match"
