"species","species_cn","order","order_cn","family","family_cn","genus","genus_cn"
"Calidris pygmaea","勺嘴鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris ruficollis","红颈滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris subminuta","长趾滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris subruficollis","黄胸滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris temminckii","青脚滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Calidris tenuirostris","大滨鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Calidris","滨鹬属"
"Gallinago gallinago","扇尾沙锥","Charadriiformes","鸻形目","Scolopacidae","鹬科","Gallinago","沙锥属"
"Gallinago hardwickii","拉氏沙锥","Charadriiformes","鸻形目","Scolopacidae","鹬科","Gallinago","沙锥属"
"Gallinago megala","大沙锥","Charadriiformes","鸻形目","Scolopacidae","鹬科","Gallinago","沙锥属"
"Gallinago nemoricola","林沙锥","Charadriiformes","鸻形目","Scolopacidae","鹬科","Gallinago","沙锥属"
"Gallinago solitaria","孤沙锥","Charadriiformes","鸻形目","Scolopacidae","鹬科","Gallinago","沙锥属"
"Gallinago stenura","针尾沙锥","Charadriiformes","鸻形目","Scolopacidae","鹬科","Gallinago","沙锥属"
"Limnodromus scolopaceus","长嘴半蹼鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Limnodromus","半蹼鹬属"
"Limnodromus semipalmatus","半蹼鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Limnodromus","半蹼鹬属"
"Limosa lapponica","斑尾塍鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Limosa","塍鹬属"
"Limosa limosa","黑尾塍鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Limosa","塍鹬属"
"Lymnocryptes minimus","姬鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Lymnocryptes","姬鹬属"
"Numenius arquata","白腰杓鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Numenius","杓鹬属"
"Numenius madagascariensis","大杓鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Numenius","杓鹬属"
"Numenius minutus","小杓鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Numenius","杓鹬属"
"Numenius phaeopus","中杓鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Numenius","杓鹬属"
"Phalaropus fulicarius","灰瓣蹼鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Phalaropus","瓣蹼鹬属"
"Phalaropus lobatus","红颈瓣蹼鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Phalaropus","瓣蹼鹬属"
"Scolopax rusticola","丘鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Scolopax","丘鹬属"
"Tringa brevipes","灰尾漂鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa erythropus","鹤鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa flavipes","小黄脚鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa glareola","林鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa guttifer","小青脚鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa incana","漂鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa nebularia","青脚鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa ochropus","白腰草鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa stagnatilis","泽鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Tringa totanus","红脚鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Tringa","鹬属"
"Xenus cinereus","翘嘴鹬","Charadriiformes","鸻形目","Scolopacidae","鹬科","Xenus","翘嘴鹬属"
"Stercorarius longicaudus","长尾贼鸥","Charadriiformes","鸻形目","Stercorariidae","贼鸥科","Stercorarius","大贼鸥属"
"Stercorarius maccormicki","南极贼鸥","Charadriiformes","鸻形目","Stercorariidae","贼鸥科","Stercorarius","大贼鸥属"
"Stercorarius parasiticus","短尾贼鸥","Charadriiformes","鸻形目","Stercorariidae","贼鸥科","Stercorarius","大贼鸥属"
"Stercorarius pomarinus","中贼鸥","Charadriiformes","鸻形目","Stercorariidae","贼鸥科","Stercorarius","大贼鸥属"
"Turnix suscitator","棕三趾鹑","Charadriiformes","鸻形目","Turnicidae","三趾鹑科","Turnix","三趾鹑属"
"Turnix sylvaticus","林三趾鹑","Charadriiformes","鸻形目","Turnicidae","三趾鹑科","Turnix","三趾鹑属"
"Turnix tanki","黄脚三趾鹑","Charadriiformes","鸻形目","Turnicidae","三趾鹑科","Turnix","三趾鹑属"
"Anastomus oscitans","钳嘴鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Anastomus",NA
"Ciconia boyciana","东方白鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Ciconia","鹳属"
"Ciconia ciconia","白鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Ciconia","鹳属"
"Ciconia episcopus","白颈鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Ciconia","鹳属"
"Ciconia nigra","黑鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Ciconia","鹳属"
"Leptoptilos javanicus","秃鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Leptoptilos","秃鹳属"
"Mycteria leucocephala","彩鹳","Ciconiiformes","鹳形目","Ciconiidae","鹳科","Mycteria","鹮鹳属"
"Chalcophaps indica","绿翅金鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Chalcophaps","金鸠属"
"Columba eversmanni","中亚鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba hodgsonii","斑林鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba janthina","黑林鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba leuconota","雪鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba livia","原鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba oenas","欧鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba palumbus","斑尾林鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba pulchricollis","灰林鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba punicea","紫林鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba rupestris","岩鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Columba vitiensis","白喉林鸽","Columbiformes","鸽形目","Columbidae","鸠鸽科","Columba","鸽属"
"Ducula aenea","绿皇鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Ducula","皇鸠属"
"Ducula badia","山皇鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Ducula","皇鸠属"
"Geopelia striata","斑姬地鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Geopelia",NA
"Macropygia ruficeps","小鹃鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Macropygia","鹃鸠属"
"Macropygia tenuirostris","菲律宾鹃鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Macropygia","鹃鸠属"
"Macropygia unchall","斑尾鹃鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Macropygia","鹃鸠属"
"Ptilinopus leclancheri","黑颏果鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Ptilinopus","果鸠属"
"Spilopelia chinensis","珠颈斑鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Spilopelia",NA
"Spilopelia senegalensis","棕斑鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Spilopelia",NA
"Streptopelia decaocto","灰斑鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Streptopelia","斑鸠属"
"Streptopelia orientalis","山斑鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Streptopelia","斑鸠属"
"Streptopelia tranquebarica","火斑鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Streptopelia","斑鸠属"
"Streptopelia turtur","欧斑鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Streptopelia","斑鸠属"
"Treron apicauda","针尾绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron bicinctus","橙胸绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron curvirostra","厚嘴绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron formosae","红顶绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron phayrei","灰头绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron phoenicopterus","黄脚绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron seimundi","白腹针尾绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron sieboldii","红翅绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Treron sphenurus","楔尾绿鸠","Columbiformes","鸽形目","Columbidae","鸠鸽科","Treron","绿鸠属"
"Alcedo atthis","普通翠鸟","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Alcedo","翠鸟属"
"Alcedo hercules","斑头大翠鸟","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Alcedo","翠鸟属"
"Alcedo meninting","蓝耳翠鸟","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Alcedo","翠鸟属"
"Ceryle rudis","斑鱼狗","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Ceryle","鱼狗属"
"Ceyx erithaca","三趾翠鸟","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Ceyx","三趾翠鸟属"
"Halcyon coromanda","赤翡翠","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Halcyon","翡翠属"
"Halcyon pileata","蓝翡翠","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Halcyon","翡翠属"
"Halcyon smyrnensis","白胸翡翠","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Halcyon","翡翠属"
"Megaceryle lugubris","冠鱼狗","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Megaceryle",NA
"Pelargopsis capensis","鹳嘴翡翠","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Pelargopsis","鹳嘴翡翠属"
"Todiramphus chloris","白领翡翠","Coraciiformes","佛法僧目","Alcedinidae","翠鸟科","Todiramphus",NA
"Coracias affinis","棕胸佛法僧","Coraciiformes","佛法僧目","Coraciidae","佛法僧科","Coracias","佛法僧属"
"Coracias garrulus","蓝胸佛法僧","Coraciiformes","佛法僧目","Coraciidae","佛法僧科","Coracias","佛法僧属"
"Eurystomus orientalis","三宝鸟","Coraciiformes","佛法僧目","Coraciidae","佛法僧科","Eurystomus","三宝鸟属"
"Merops apiaster","黄喉蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Merops leschenaulti","栗头蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Merops orientalis","绿喉蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Merops ornatus","彩虹蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Merops persicus","蓝颊蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Merops philippinus","栗喉蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Merops viridis","蓝喉蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Merops","蜂虎属"
"Nyctyornis amictus","赤须夜蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Nyctyornis","夜蜂虎属"
"Nyctyornis athertoni","蓝须夜蜂虎","Coraciiformes","佛法僧目","Meropidae","蜂虎科","Nyctyornis","夜蜂虎属"
"Cacomantis merulinus","八声杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cacomantis",NA
"Cacomantis sonneratii","栗斑杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cacomantis",NA
"Centropus bengalensis","小鸦鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Centropus","鸦鹃属"
"Centropus sinensis","褐翅鸦鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Centropus","鸦鹃属"
"Chrysococcyx maculatus","翠金鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Chrysococcyx",NA
"Chrysococcyx xanthorhynchus","紫金鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Chrysococcyx",NA
"Clamator coromandus","红翅凤头鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Clamator","凤头鹃属"
"Clamator jacobinus","斑翅凤头鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Clamator","凤头鹃属"
"Cuculus canorus","大杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cuculus","杜鹃属"
"Cuculus micropterus","四声杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cuculus","杜鹃属"
"Cuculus optatus","东方中杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cuculus","杜鹃属"
"Cuculus poliocephalus","小杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cuculus","杜鹃属"
"Cuculus saturatus","中杜鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Cuculus","杜鹃属"
"Eudynamys scolopaceus","噪鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Eudynamys","噪鹃属"
"Hierococcyx hyperythrus","北棕腹鹰鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Hierococcyx",NA
"Hierococcyx nisicolor","棕腹鹰鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Hierococcyx",NA
"Hierococcyx sparverioides","大鹰鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Hierococcyx",NA
"Hierococcyx varius","普通鹰鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Hierococcyx",NA
"Phaenicophaeus tristis","绿嘴地鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Phaenicophaeus","地鹃属"
"Surniculus lugubris","乌鹃","Cuculiformes","鹃形目","Cuculidae","杜鹃科","Surniculus","乌鹃属"
"Falco amurensis","红脚隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco cherrug","猎隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco columbarius","灰背隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco naumanni","黄爪隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco peregrinus","游隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco rusticolus","矛隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco severus","猛隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco subbuteo","燕隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco tinnunculus","红隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Falco vespertinus","西红脚隼","Falconiformes","隼形目","Falconidae","隼科","Falco","隼属"
"Microhierax caerulescens","红腿小隼","Falconiformes","隼形目","Falconidae","隼科","Microhierax","小隼属"
"Microhierax melanoleucos","白腿小隼","Falconiformes","隼形目","Falconidae","隼科","Microhierax","小隼属"
"Alectoris chukar","石鸡","Galliformes","鸡形目","Phasianidae","雉科","Alectoris","石鸡属"
"Alectoris magna","大石鸡","Galliformes","鸡形目","Phasianidae","雉科","Alectoris","石鸡属"
"Arborophila ardens","海南山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila atrogularis","白颊山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila brunneopectus","褐胸山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila crudigularis","台湾山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila gingica","白眉山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila mandellii","红胸山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila rufipectus","四川山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila rufogularis","红喉山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Arborophila torqueola","环颈山鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Arborophila","山鹧鸪属"
"Bambusicola fytchii","棕胸竹鸡","Galliformes","鸡形目","Phasianidae","雉科","Bambusicola","竹鸡属"
"Bambusicola sonorivox","台湾竹鸡","Galliformes","鸡形目","Phasianidae","雉科","Bambusicola","竹鸡属"
"Bambusicola thoracicus","灰胸竹鸡","Galliformes","鸡形目","Phasianidae","雉科","Bambusicola","竹鸡属"
"Chrysolophus amherstiae","白腹锦鸡","Galliformes","鸡形目","Phasianidae","雉科","Chrysolophus","锦鸡属"
"Chrysolophus pictus","红腹锦鸡","Galliformes","鸡形目","Phasianidae","雉科","Chrysolophus","锦鸡属"
"Coturnix coturnix","西鹌鹑","Galliformes","鸡形目","Phasianidae","雉科","Coturnix","鹌鹑属"
"Coturnix japonica","鹌鹑","Galliformes","鸡形目","Phasianidae","雉科","Coturnix","鹌鹑属"
"Crossoptilon auritum","蓝马鸡","Galliformes","鸡形目","Phasianidae","雉科","Crossoptilon","马鸡属"
"Crossoptilon crossoptilon","白马鸡","Galliformes","鸡形目","Phasianidae","雉科","Crossoptilon","马鸡属"
"Crossoptilon harmani","藏马鸡","Galliformes","鸡形目","Phasianidae","雉科","Crossoptilon","马鸡属"
"Crossoptilon mantchuricum","褐马鸡","Galliformes","鸡形目","Phasianidae","雉科","Crossoptilon","马鸡属"
"Falcipennis falcipennis","镰翅鸡","Galliformes","鸡形目","Phasianidae","雉科","Falcipennis",NA
"Francolinus pintadeanus","中华鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Francolinus","鹧鸪属"
"Gallus gallus","红原鸡","Galliformes","鸡形目","Phasianidae","雉科","Gallus","原鸡属"
"Ithaginis cruentus","血雉","Galliformes","鸡形目","Phasianidae","雉科","Ithaginis","血雉属"
"Lagopus lagopus","柳雷鸟","Galliformes","鸡形目","Phasianidae","雉科","Lagopus","雷鸟属"
"Lagopus muta","岩雷鸟","Galliformes","鸡形目","Phasianidae","雉科","Lagopus","雷鸟属"
"Lerwa lerwa","雪鹑","Galliformes","鸡形目","Phasianidae","雉科","Lerwa","雪鹑属"
"Lophophorus impejanus","棕尾虹雉","Galliformes","鸡形目","Phasianidae","雉科","Lophophorus","虹雉属"
"Lophophorus lhuysii","绿尾虹雉","Galliformes","鸡形目","Phasianidae","雉科","Lophophorus","虹雉属"
"Lophophorus sclateri","白尾梢虹雉","Galliformes","鸡形目","Phasianidae","雉科","Lophophorus","虹雉属"
"Lophura leucomelanos","黑鹇","Galliformes","鸡形目","Phasianidae","雉科","Lophura","鹇属"
"Lophura nycthemera","白鹇","Galliformes","鸡形目","Phasianidae","雉科","Lophura","鹇属"
"Lophura swinhoii","蓝腹鹇","Galliformes","鸡形目","Phasianidae","雉科","Lophura","鹇属"
"Lyrurus tetrix","黑琴鸡","Galliformes","鸡形目","Phasianidae","雉科","Lyrurus","琴鸡属"
"Pavo muticus","绿孔雀","Galliformes","鸡形目","Phasianidae","雉科","Pavo","孔雀属"
"Perdix dauurica","斑翅山鹑","Galliformes","鸡形目","Phasianidae","雉科","Perdix","山鹑属"
"Perdix hodgsoniae","高原山鹑","Galliformes","鸡形目","Phasianidae","雉科","Perdix","山鹑属"
"Perdix perdix","灰山鹑","Galliformes","鸡形目","Phasianidae","雉科","Perdix","山鹑属"
"Phasianus colchicus","环颈雉","Galliformes","鸡形目","Phasianidae","雉科","Phasianus","雉属"
"Polyplectron bicalcaratum","灰孔雀雉","Galliformes","鸡形目","Phasianidae","雉科","Polyplectron","孔雀雉属"
"Polyplectron katsumatae","海南孔雀雉","Galliformes","鸡形目","Phasianidae","雉科","Polyplectron","孔雀雉属"
"Pucrasia macrolopha","勺鸡","Galliformes","鸡形目","Phasianidae","雉科","Pucrasia","勺鸡属"
"Synoicus chinensis","蓝胸鹑","Galliformes","鸡形目","Phasianidae","雉科","Synoicus",NA
"Syrmaticus ellioti","白颈长尾雉","Galliformes","鸡形目","Phasianidae","雉科","Syrmaticus","长尾雉属"
"Syrmaticus humiae","黑颈长尾雉","Galliformes","鸡形目","Phasianidae","雉科","Syrmaticus","长尾雉属"
"Syrmaticus mikado","黑长尾雉","Galliformes","鸡形目","Phasianidae","雉科","Syrmaticus","长尾雉属"
"Syrmaticus reevesii","白冠长尾雉","Galliformes","鸡形目","Phasianidae","雉科","Syrmaticus","长尾雉属"
"Tetrao urogalloides","黑嘴松鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetrao","松鸡属"
"Tetrao urogallus","松鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetrao","松鸡属"
"Tetraogallus altaicus","阿尔泰雪鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetraogallus","雪鸡属"
"Tetraogallus himalayensis","暗腹雪鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetraogallus","雪鸡属"
"Tetraogallus tibetanus","藏雪鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetraogallus","雪鸡属"
"Tetraophasis obscurus","红喉雉鹑","Galliformes","鸡形目","Phasianidae","雉科","Tetraophasis","雉鹑属"
"Tetraophasis szechenyii","黄喉雉鹑","Galliformes","鸡形目","Phasianidae","雉科","Tetraophasis","雉鹑属"
"Tetrastes bonasia","花尾榛鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetrastes",NA
"Tetrastes sewerzowi","斑尾榛鸡","Galliformes","鸡形目","Phasianidae","雉科","Tetrastes",NA
"Tragopan blythii","灰腹角雉","Galliformes","鸡形目","Phasianidae","雉科","Tragopan","角雉属"
"Tragopan caboti","黄腹角雉","Galliformes","鸡形目","Phasianidae","雉科","Tragopan","角雉属"
"Tragopan melanocephalus","黑头角雉","Galliformes","鸡形目","Phasianidae","雉科","Tragopan","角雉属"
"Tragopan satyra","红胸角雉","Galliformes","鸡形目","Phasianidae","雉科","Tragopan","角雉属"
"Tragopan temminckii","红腹角雉","Galliformes","鸡形目","Phasianidae","雉科","Tragopan","角雉属"
"Tropicoperdix chloropus","绿脚树鹧鸪","Galliformes","鸡形目","Phasianidae","雉科","Tropicoperdix",NA
"Gavia adamsii","黄嘴潜鸟","Gaviiformes","潜鸟目","Gaviidae","潜鸟科","Gavia","潜鸟属"
"Gavia arctica","黑喉潜鸟","Gaviiformes","潜鸟目","Gaviidae","潜鸟科","Gavia","潜鸟属"
"Gavia pacifica","太平洋潜鸟","Gaviiformes","潜鸟目","Gaviidae","潜鸟科","Gavia","潜鸟属"
"Gavia stellata","红喉潜鸟","Gaviiformes","潜鸟目","Gaviidae","潜鸟科","Gavia","潜鸟属"
"Antigone antigone","赤颈鹤","Gruiformes","鹤形目","Gruidae","鹤科","Antigone",NA
"Antigone canadensis","沙丘鹤","Gruiformes","鹤形目","Gruidae","鹤科","Antigone",NA
"Antigone vipio","白枕鹤","Gruiformes","鹤形目","Gruidae","鹤科","Antigone",NA
"Grus grus","灰鹤","Gruiformes","鹤形目","Gruidae","鹤科","Grus","鹤属"
"Grus japonensis","丹顶鹤","Gruiformes","鹤形目","Gruidae","鹤科","Grus","鹤属"
"Grus monacha","白头鹤","Gruiformes","鹤形目","Gruidae","鹤科","Grus","鹤属"
"Grus nigricollis","黑颈鹤","Gruiformes","鹤形目","Gruidae","鹤科","Grus","鹤属"
"Grus virgo","蓑羽鹤","Gruiformes","鹤形目","Gruidae","鹤科","Grus","鹤属"
"Leucogeranus leucogeranus","白鹤","Gruiformes","鹤形目","Gruidae","鹤科","Leucogeranus",NA
"Amaurornis cinerea","白眉苦恶鸟","Gruiformes","鹤形目","Rallidae","秧鸡科","Amaurornis","苦恶鸟属"
"Amaurornis phoenicurus","白胸苦恶鸟","Gruiformes","鹤形目","Rallidae","秧鸡科","Amaurornis","苦恶鸟属"
"Coturnicops exquisitus","花田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Coturnicops",NA
"Crex crex","长脚秧鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Crex","长脚秧鸡属"
"Fulica atra","白骨顶","Gruiformes","鹤形目","Rallidae","秧鸡科","Fulica","骨顶属"
"Gallicrex cinerea","董鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Gallicrex","董鸡属"
"Gallinula chloropus","黑水鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Gallinula","黑水鸡属"
"Lewinia striata","灰胸秧鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Lewinia",NA
"Porphyrio poliocephalus","紫水鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Porphyrio","紫水鸡属"
"Porzana porzana","斑胸田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Porzana","田鸡属"
"Rallina eurizonoides","白喉斑秧鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Rallina","斑秧鸡属"
"Rallina fasciata","红脚斑秧鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Rallina","斑秧鸡属"
"Rallus aquaticus","西秧鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Rallus","秧鸡属"
"Rallus indicus","普通秧鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Rallus","秧鸡属"
"Zapornia akool","红脚田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Zapornia",NA
"Zapornia bicolor","棕背田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Zapornia",NA
"Zapornia fusca","红胸田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Zapornia",NA
"Zapornia parva","姬田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Zapornia",NA
"Zapornia paykullii","斑胁田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Zapornia",NA
"Zapornia pusilla","小田鸡","Gruiformes","鹤形目","Rallidae","秧鸡科","Zapornia",NA
"Chlamydotis macqueenii","波斑鸨","Otidiformes","鸨形目","Otididae","鸨科","Chlamydotis",NA
"Otis tarda","大鸨","Otidiformes","鸨形目","Otididae","鸨科","Otis","大鸨属"
"Tetrax tetrax","小鸨","Otidiformes","鸨形目","Otididae","鸨科","Tetrax",NA
"Acrocephalus agricola","稻田苇莺","Passeriformes","雀形目","Acrocephalidae","苇莺科","Acrocephalus","苇莺属"
"Acrocephalus arundinaceus","大苇莺","Passeriformes","雀形目","Acrocephalidae","苇莺科","Acrocephalus","苇莺属"
