"species","species_cn","english_name","order","iucn","n_event_records"
"Panurus biarmicus","文须雀","Bearded Reedling","Passeriformes","LC",2
"Paradoxornis gularis","灰头鸦雀","Grey-headed Parrotbill","Passeriformes","LC",1
"Paradoxornis guttaticollis","点胸鸦雀","Spot-breasted Parrotbill","Passeriformes","LC",1
"Paradoxornis heudei","震旦鸦雀","Reed Parrotbill","Passeriformes","NT",4
"Parayuhina diademata","白领凤鹛","White-collared Yuhina","Passeriformes","LC",1
"Pardaliparus venustulus","黄腹山雀","Yellow-bellied Tit","Passeriformes","LC",2
"Parus major","欧亚大山雀","Parus major","Passeriformes","LC",1
"Parus monticolus","绿背山雀","Green-backed Tit","Passeriformes","LC",1
"Passer cinnamomeus","山麻雀","Russet Sparrow","Passeriformes","LC",2
"Passer domesticus","家麻雀","House Sparrow","Passeriformes","LC",2
"Passer hispaniolensis","黑胸麻雀","Spanish Sparrow","Passeriformes","LC",2
"Passerculus sandwichensis","稀树草鹀","Savannah Sparrow","Passeriformes","LC",1
"Pastor roseus","粉红椋鸟","Rosy Starling","Passeriformes","LC",1
"Pellorneum albiventre","白腹幽鹛","Spot-Throated Babbler","Passeriformes","LC",1
"Pericrocotus cantonensis","小灰山椒鸟","Brown-rumped Minivet","Passeriformes","LC",1
"Pericrocotus divaricatus","灰山椒鸟","Ashy Minivet","Passeriformes","LC",1
"Pericrocotus ethologus","长尾山椒鸟","Long-tailed Minivet","Passeriformes","LC",3
"Pericrocotus solaris","灰喉山椒鸟","Grey-chinned Minivet","Passeriformes","LC",1
"Periparus rubidiventris","黑冠山雀","Rufous-vented Tit","Passeriformes","LC",1
"Phoenicurus erythronotus","红背红尾鸲","Eversmann's Redstart","Passeriformes","LC",1
"Phoenicurus frontalis","蓝额红尾鸲","Blue-fronted Redstart","Passeriformes","LC",2
"Phoenicurus ochruros","赭红尾鸲","Black Redstart","Passeriformes","LC",3
"Phoenicurus schisticeps","白喉红尾鸲","White-throated Redstart","Passeriformes","LC",1
"Phyllergates cucullatus","栗头织叶莺","Mountain Tailorbird","Passeriformes","LC",1
"Phylloscopus affinis","黄腹柳莺","Tickell's Leaf-warbler","Passeriformes","LC",4
"Phylloscopus borealoides","库页岛柳莺","Sakhalin Leaf-warbler","Passeriformes","LC",5
"Phylloscopus burkii","金眶鹟莺","Green-crowned Warbler","Passeriformes","LC",1
"Phylloscopus cantator","黄胸柳莺","Yellow-vented Warbler","Passeriformes","LC",2
"Phylloscopus castaniceps","栗头鹟莺","Chestnut-crowned Warbler","Passeriformes","LC",5
"Phylloscopus claudiae","冠纹柳莺","Claudia's Leaf-warbler","Passeriformes","LC",1
"Phylloscopus collybita","叽喳柳莺","Common Chiffchaff","Passeriformes","LC",8
"Phylloscopus coronatus","冕柳莺","Eastern Crowned Warbler","Passeriformes","LC",1
"Phylloscopus humei","淡眉柳莺","Hume's Leaf Warbler","Passeriformes","LC",1
"Phylloscopus intermedius","白眶鹟莺","White-spectacled Warbler","Passeriformes","LC",5
"Phylloscopus maculipennis","灰喉柳莺","ashy-throated warbler","Passeriformes","LC",1
"Phylloscopus magnirostris","乌嘴柳莺","Large-billed Leaf-warbler","Passeriformes","LC",1
"Phylloscopus ogilviegranti","白斑尾柳莺","Kloss's Leaf-warbler","Passeriformes","LC",1
"Phylloscopus omeiensis","峨眉鹟莺","Martens's Warbler","Passeriformes","LC",1
"Phylloscopus proregulus","黄腹柳莺","Pallas's Leaf-warbler","Passeriformes","LC",1
"Phylloscopus pulcher","橙斑翅柳莺","Buff-barred Warbler","Passeriformes","LC",1
"Phylloscopus ricketti","黑眉柳莺","Sulphur-breasted Warbler","Passeriformes","LC",3
"Phylloscopus sibilatrix","林柳莺","Wood Warbler","Passeriformes","LC",1
"Phylloscopus soror","淡尾鹟莺","Alström's Warbler","Passeriformes","LC",4
"Phylloscopus subaffinis","棕腹柳莺","Buff-throated Warbler","Passeriformes","LC",1
"Phylloscopus tenellipes","淡脚柳莺","Pale-legged Leaf-warbler","Passeriformes","LC",1
"Phylloscopus tephrocephalus","灰冠鹟莺","Grey-crowned Warbler","Passeriformes","LC",5
"Phylloscopus valentini","比氏鹟莺","Phylloscopus valentine","Passeriformes","LC",1
"Phylloscopus yunnanensis","云南柳莺","Chinese Leaf-warbler","Passeriformes","LC",1
"Pitta brachyura","印度八色鸫","Indian Pitta","Passeriformes","LC",1
"Pitta moluccensis","蓝翅八色鸫","Blue-winged Pitta","Passeriformes","LC",1
"Pitta nympha","仙八色鸫","Fairy Pitta","Passeriformes","VU",2
"Pitta sordida","绿胸八色鸫","Western Hooded Pitta","Passeriformes","LC",1
"Plectrophenax nivalis","雪鹀","Snow Bunting","Passeriformes","LC",2
"Pnoepyga immaculata","尼泊尔鹪鹛","Nepal Cupwing","Passeriformes","LC",1
"Podoces biddulphi","白尾地鸦","Xinjiang Ground-jay","Passeriformes","NT",1
"Pomatorhinus schisticeps","灰头钩嘴鹛","White-browed Scimitar-babbler","Passeriformes","LC",1
"Pomatorhinus superciliaris","细嘴钩嘴鹛","Slender-billed Scimitar-babbler","Passeriformes","LC",1
"Prinia atrogularis","黑喉山鹪莺","Black-throated Prinia","Passeriformes","LC",4
"Prinia flaviventris","黄腹山鹪莺","Yellow-bellied Prinia","Passeriformes","LC",4
"Prinia inornata","纯色山鹪莺","Plain Prinia","Passeriformes","LC",4
"Prinia rufescens","暗冕山鹪莺","rufescent prinia","Passeriformes","LC",1
"Prinia striata","山鹪莺","Rufous-fronted Prinia","Passeriformes","LC",1
"Prunella collaris","领岩鹨","Alpine Accentor","Passeriformes","LC",1
"Prunella himalayana","高原岩鹨","Altai Accentor","Passeriformes","LC",1
"Prunella immaculata","栗背岩鹨","Maroon-backed Accentor","Passeriformes","LC",1
"Prunella montanella","棕眉山岩鹨","Siberian Accentor","Passeriformes","LC",2
"Prunella strophiata","棕胸岩鹨","Rufous-breasted Accentor","Passeriformes","LC",2
"Psarisomus dalhousiae","长尾阔嘴鸟","Long-tailed Broadbill","Passeriformes","LC",1
"Pseudopodoces humilis","地山雀","Ground Tit","Passeriformes","LC",1
"Pterorhinus berthemyi","棕噪鹛","Buffy Laughingthrush","Passeriformes","LC",1
"Pterorhinus gularis","棕臀噪鹛","Rufous-vented Laughingthrush","Passeriformes","LC",1
"Pterorhinus sannio","白颊噪鹛","White-browed Laughingthrush","Passeriformes","LC",1
"Pteruthius rufiventer","棕腹鵙鹛","Black-headed Shrike-babbler","Passeriformes","LC",1
"Pteruthius xanthochlorus","淡绿鵙鹛","Green Shrike-babbler","Passeriformes","LC",3
"Ptyonoprogne rupestris","岩燕","Eurasian Crag Martin","Passeriformes","LC",1
"Pycnonotus aurigaster","白喉红臀鹎","Sooty-headed Bulbul","Passeriformes","LC",1
"Pycnonotus blanfordi","条耳鹎","Streak-eared Bulbul","Passeriformes","LC",1
"Pycnonotus goiavier","白眉黄臀鹎","Yellow-vented Bulbul","Passeriformes","LC",1
"Pycnonotus jocosus","红耳鹎","Red-whiskered Bulbul","Passeriformes","LC",3
"Pycnonotus sinensis","白头鹎","Light-vented Bulbul","Passeriformes","LC",5
"Pycnonotus xanthorrhous","黄臀鹎","Brown-breasted Bulbul","Passeriformes","LC",1
"Pyrrhula erythaca","灰头灰雀","Grey-headed Bullfinch","Passeriformes","LC",1
"Pyrrhula nipalensis","褐灰雀","Brown Bullfinch","Passeriformes","LC",3
"Pyrrhula pyrrhula","红腹灰雀","Eurasian Bullfinch","Passeriformes","LC",1
"Regulus regulus","戴菊","Goldcrest","Passeriformes","LC",2
"Remiz consobrinus","中华攀雀","Chinese Penduline-tit","Passeriformes","LC",4
"Remiz coronatus","白冠攀雀","White-crowned Penduline-tit","Passeriformes","LC",4
"Remiz pendulinus","欧亚攀雀","Eurasian penduline tit","Passeriformes","LC",1
"Rhodospiza obsoleta","巨嘴沙雀","Desert Finch","Passeriformes","LC",1
"Riparia riparia","崖沙燕","Collared Sand Martin","Passeriformes","LC",1
"Rubigula flaviventris","黑冠黄鹎","Black-crested Bulbul","Passeriformes","LC",1
"Saxicola ferreus","灰林䳭","Grey Bushchat","Passeriformes","LC",1
"Saxicola rubetra","草原石䳭","Whinchat","Passeriformes","LC",1
"Sitta cinnamoventris","栗腹䴓","Chestnut-bellied Nuthatch","Passeriformes","LC",1
"Sitta formosa","丽䴓","Beautiful Nuthatch","Passeriformes","VU",1
"Sittiparus varius","杂色山雀","Varied Tit","Passeriformes","LC",1
"Spinus spinus","黄雀","Eurasian Siskin","Passeriformes","LC",1
"Spizixos semitorques","领雀嘴鹎","Collared Finchbill","Passeriformes","LC",3
"Spodiopsar cineraceus","灰椋鸟","White-cheeked Starling","Passeriformes","LC",1
"Spodiopsar sericeus","丝光椋鸟","Red-billed Starling","Passeriformes","LC",9
"Stachyris humei","黑胸楔嘴穗鹛","Blackish-breasted Babbler","Passeriformes","NT",1
"Stachyris nonggangensis","弄岗穗鹛","Nonggang Babbler","Passeriformes","VU",1
"Staphida castaniceps","栗耳凤鹛","Striated Yuhina","Passeriformes","LC",1
"Staphida torqueola","栗颈凤鹛","Indochinese Yuhina","Passeriformes","LC",1
"Sturnia pagodarum","黑冠椋鸟","Brahminy Starling","Passeriformes","LC",1
"Sturnia sinensis","灰背椋鸟","White-shouldered Starling","Passeriformes","LC",1
"Sturnus vulgaris","紫翅椋鸟","Common Starling","Passeriformes","LC",4
"Suthora alphonsiana","灰喉鸦雀","Ashy-throated Parrotbill","Passeriformes","LC",1
"Suthora conspicillata","白眶鸦雀","Spectacled Parrotbill","Passeriformes","LC",1
"Suthora fulvifrons","黄额鸦雀","Fulvous Parrotbill","Passeriformes","LC",1
"Suthora przewalskii","灰冠鸦雀","Rusty-throated Parrotbill","Passeriformes","LC",1
"Suthora webbiana","棕头鸦雀","Vinous-throated Parrotbill","Passeriformes","LC",1
"Sylvia atricapilla","黑顶林莺","Eurasian Blackcap","Passeriformes","LC",1
"Sylviparus modestus","黄眉林雀","Yellow-browed Tit","Passeriformes","LC",1
"Tarsiger chrysaeus","金色林鸲","Golden Bush-robin","Passeriformes","LC",5
"Tarsiger indicus","白眉林鸲","White-browed Bush-robin","Passeriformes","LC",1
"Temnurus temnurus","塔尾树鹊","Ratchet-tailed Treepie","Passeriformes","LC",1
"Tephrodornis virgatus","钩嘴林鵙","Large Woodshrike","Passeriformes","LC",1
"Timalia pileata","红顶鹛","Chestnut-capped Babbler","Passeriformes","LC",1
"Turdus boulboul","灰翅鸫","Grey-winged Blackbird","Passeriformes","LC",10
"Turdus cardis","乌灰鸫","Japanese Thrush","Passeriformes","LC",2
"Turdus feae","褐头鸫","Grey-sided Thrush","Passeriformes","VU",2
"Turdus migratorius","旅鸫","American Robin","Passeriformes","LC",1
"Turdus naumanni","红尾斑鸫","Naumann's Thrush","Passeriformes","LC",1
"Turdus pilaris","田鸫","Fieldfare","Passeriformes","LC",2
"Turdus rubrocanus","灰头鸫","Chestnut Thrush","Passeriformes","LC",4
"Turdus ruficollis","赤颈鸫","Rufous-throated Thrush","Passeriformes","LC",1
"Turdus viscivorus","槲鸫","Mistle Thrush","Passeriformes","LC",2
"Urosphena squameiceps","鳞头树莺","Asian Stubtail","Passeriformes","LC",1
"Yuhina nigrimenta","黑颏凤鹛","Black-chinned Yuhina","Passeriformes","LC",2
"Zoothera dixoni","长尾地鸫","Long-tailed Thrush","Passeriformes","LC",2
"Zoothera mollissima","光背地鸫","Alpine Thrush","Passeriformes","LC",5
"Zoothera monticola","大长嘴地鸫","Long-billed Thrush","Passeriformes","LC",2
"Zosterops erythropleurus","红胁绣眼鸟","Chestnut-flanked White-eye","Passeriformes","LC",1
"Zosterops meyeni","日本绣眼鸟","Lowland White-eye","Passeriformes","LC",1
"Ardea intermedia","中白鹭","Intermediate Egret","Pelecaniformes","LC",2
"Ardea purpurea","草鹭","Purple Heron","Pelecaniformes","LC",1
"Ardeola grayii","印度池鹭","Indian Pond Heron","Pelecaniformes","LC",1
"Ardeola speciosa","爪哇池鹭","Javan Pond-Heron","Pelecaniformes","LC",1
"Bubulcus ibis","牛背鹭","Cattle Egret","Pelecaniformes","NR",3
"Egretta eulophotes","黄嘴白鹭","Chinese Egret","Pelecaniformes","VU",2
"Egretta garzetta","白鹭","Little Egret","Pelecaniformes","LC",1
"Egretta picata","斑鹭","Pied Heron","Pelecaniformes","LC",1
"Gorsachius goisagi","栗头鳽","Japanese Night Heron","Pelecaniformes","VU",1
"Ixobrychus cinnamomeus","栗苇鳽","Cinnamon Bittern","Pelecaniformes","LC",1
"Ixobrychus eurhythmus","紫背苇鳽","Schrenck's Bittern","Pelecaniformes","LC",1
"Ixobrychus minutus","小苇鳽","Common Little Bittern","Pelecaniformes","LC",1
"Mycteria leucocephala","白头鹮鹳","Painted Stork","Pelecaniformes","LC",1
"Nycticorax nycticorax","夜鹭","Black-crowned Night Heron","Pelecaniformes","LC",1
"Oroanassa magnifica","海南鳽","White-eared Night Heron","Pelecaniformes","EN",7
"Pelecanus crispus","卷羽鹈鹕","Dalmatian Pelican","Pelecaniformes","NT",1
"Pelecanus onocrotalus","白鹈鹕","Great White Pelican","Pelecaniformes","LC",3
"Plegadis falcinellus","彩鹮","Glossy Ibis","Pelecaniformes","LC",2
"Phoenicopterus roseus","大红鹳","Greater Flamingo","Phoenicopteriformes","LC",19
"Dendrocopos hyperythrus","棕腹啄木鸟","Rufous-bellied Woodpecker","Piciformes","LC",1
"Indicator xanthonotus","黄腰响蜜鴷","Yellow-rumped Honeyguide","Piciformes","LC",1
"Picumnus innominatus","斑姬啄木鸟","Speckled Piculet","Piciformes","LC",2
"Picus chlorolophus","黄冠啄木鸟","Lesser Yellownape","Piciformes","LC",1
"Psilopogon faber","黑眉拟啄木鸟","Chinese Barbet","Piciformes","LC",1
"Psilopogon faiostrictus","黄纹拟啄木鸟","Green-eared Barbet","Piciformes","LC",2
"Psilopogon virens","大拟啄木鸟","Great Barbet","Piciformes","LC",1
"Sasia ochracea","白眉棕啄木鸟","White-browed Piculet","Piciformes","LC",2
"Podiceps auritus","角䴙䴘","Horned Grebe","Podicipediformes","VU",2
"Podiceps grisegena","赤颈䴙䴘","Red-necked Grebe","Podicipediformes","LC",1
"Podiceps nigricollis","黑颈䴙䴘","Black-necked Grebe","Podicipediformes","LC",2
"Ardenna pacifica","楔尾鹱","Wedge-tailed Shearwater","Procellariiformes","LC",2
"Calonectris leucomelas","白额鹱","Streaked Shearwater","Procellariiformes","NT",2
"Oceanites oceanicus","黄蹼洋海燕","Wilson's Storm-petrel","Procellariiformes","LC",1
"Otus semitorques","日本领角鸮","Japanese Scops Owl","Procellariiformes","LC",5
"Phoebastria immutabilis","黑背信天翁","Laysan Albatross","Procellariiformes","NT",1
"Syrrhaptes paradoxus","毛腿沙鸡","Pallas's Sandgrouse","Pterocliformes","LC",1
"Asio flammeus","短耳鸮","Short-eared Owl","Strigiformes","LC",1
"Athene noctua","纵纹腹小鸮","Little Owl","Strigiformes","LC",2
"Bubo nipalensis","林雕鸮","Spot-bellied Eagle-owl","Strigiformes","LC",2
"Glaucidium cuculoides","斑头鸺鹠","Asian Barred Owlet","Strigiformes","LC",1
"Ketupa flavipes","黄腿渔鸮","Tawny Fish-owl","Strigiformes","LC",1
"Ninox japonica","日本鹰鸮","Northern Boobook","Strigiformes","LC",1
"Otus lettia","领角鸮","Collared Scops-owl","Strigiformes","LC",1
"Otus spilocephalus","黄嘴角鸮","Mountain Scops-owl","Strigiformes","LC",1
"Sula dactylatra","蓝脸鲣鸟","Blue-faced Booby","Strigiformes","LC",3
"Tyto alba","仓鸮","Common Barn-owl","Strigiformes","LC",3
"Tyto longimembris","草鸮","Eastern Grass-owl","Strigiformes","LC",1
"Anhinga melanogaster","黑腹蛇鹈","Oriental Darter","Suliformes","LC",1
"Fregata andrewsi","白腹军舰鸟","Christmas Island Frigatebird","Suliformes","VU",2
"Fregata ariel","白斑军舰鸟","Lesser Frigatebird","Suliformes","LC",4
"Sula granti","橙嘴鲣鸟","Nazca Booby","Suliformes","LC",1
"Sula sula","红脚鲣鸟","Red-footed Booby","Suliformes","LC",4
"Urile pelagicus","海鸬鹚","Pelagic Cormorant","Suliformes","LC",1
"Harpactes wardi","红腹咬鹃","Ward's Trogon","Trogoniformes","LC",1
