species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Chrysococcyx xanthorhynchus,Cuculiformes,22.37,1,Forest,Carnivore,Invertivore,Insessorial,8.64,106.16,R,食虫,1,LC,1.34966598409663,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Cuculus canorus,Cuculiformes,111.36,3,Forest,Carnivore,Invertivore,Insessorial,49.44,81.5,SP,食虫,33,LC,2.04672922226649,Full migrant,LC,LC/NE,Carnivore,0,0
Cuculus micropterus,Cuculiformes,88.75,1,Forest,Carnivore,Invertivore,Insessorial,25.25,107.12,RSV,食虫,31,LC,1.94816836172713,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Cuculus optatus,Cuculiformes,NA,NA,NA,NA,NA,NA,NA,NA,SP,食虫,6,LC,NA,NA,LC,LC/NE,Other,0,0
Cuculus poliocephalus,Cuculiformes,46.56,3,Forest,Carnivore,Invertivore,Insessorial,32.14,112.09,RSP,食虫,31,LC,1.66801297164183,Full migrant,LC,LC/NE,Carnivore,0,0
Cuculus saturatus,Cuculiformes,87,3,Forest,Carnivore,Invertivore,Insessorial,52.86,104.25,S,食虫,24,LC,1.93951925261862,Full migrant,LC,LC/NE,Carnivore,0,0
Hierococcyx hyperythrus,Cuculiformes,79.7,1,Forest,Carnivore,Invertivore,Insessorial,37.95,126.44,SWPV,食虫,13,LC,1.90145832139611,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Hierococcyx sparverioides,Cuculiformes,151,3,Woodland,Carnivore,Invertivore,Insessorial,27.29,106.26,NA,NA,NA,LC,2.17897694729317,Full migrant,LC,LC/NE,Carnivore,0,0
Hierococcyx varius,Cuculiformes,103,1,Woodland,Carnivore,Invertivore,Insessorial,22.17,80.81,R,食虫,1,LC,2.01283722470517,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Phaenicophaeus tristis,Cuculiformes,117,1,Forest,Carnivore,Invertivore,Insessorial,18.67,98.34,R,食虫,5,LC,2.06818586174616,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Surniculus lugubris,Cuculiformes,29.7,1,Forest,Carnivore,Invertivore,Insessorial,4.43,106.15,RSP,食虫,16,LC,1.47275644931721,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Falco amurensis,Falconiformes,141.87,3,Grassland,Carnivore,Invertivore,Insessorial,47.59,124.66,RSWP,食虫，食肉,33,LC,2.15189056873509,Full migrant,LC,LC/NE,Carnivore,0,0
Falco columbarius,Falconiformes,188.5,3,Woodland,Carnivore,Vertivore,Aerial,58.48,16.49,SWP,食肉，食虫,29,LC,2.27531135454181,Full migrant,LC,LC/NE,Carnivore,0,0
Falco naumanni,Falconiformes,152.06,3,Grassland,Carnivore,Invertivore,Generalist,44.83,68.24,SWP,食虫，食肉,19,LC,2.18201498615073,Full migrant,LC,LC/NE,Carnivore,0,0
Falco peregrinus,Falconiformes,759.95,2,Grassland,Carnivore,Vertivore,Aerial,50.28,21.82,RWPV,食肉,33,LC,2.88078501933549,Partial migrant,LC,LC/NE,Carnivore,0,0
Falco rusticolus,Falconiformes,1431.72,3,Grassland,Carnivore,Vertivore,Aerial,68.74,6.83,S,食肉,6,LC,3.15585809175327,Full migrant,LC,LC/NE,Carnivore,0,0
Falco severus,Falconiformes,200.64,3,Forest,Carnivore,Vertivore,Aerial,11.43,114.69,P,食肉,4,LC,2.30241751915062,Full migrant,LC,LC/NE,Carnivore,0,0
Falco subbuteo,Falconiformes,208.17,3,Woodland,Carnivore,Invertivore,Aerial,50.34,78.26,SWP,食肉，食虫,33,LC,2.31841814220994,Full migrant,LC,LC/NE,Carnivore,0,0
Falco tinnunculus,Falconiformes,183.21,3,Shrubland,Carnivore,Vertivore,Aerial,36.82,63.63,RWP,食虫，食肉,34,LC,2.26294917471553,Full migrant,LC,LC/NE,Carnivore,0,0
Falco vespertinus,Falconiformes,151.49,3,Grassland,Carnivore,Invertivore,Aerial,55.76,65.23,R,食虫，食肉,1,VU,2.18038396558976,Full migrant,Threatened,Threatened/DD,Carnivore,0,0
Microhierax caerulescens,Falconiformes,38.72,1,Forest,Carnivore,Invertivore,Insessorial,18.66,98.76,R,食肉，食虫,1,LC,1.58793534863636,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Microhierax melanoleucos,Falconiformes,64.22,1,Forest,Carnivore,Invertivore,Insessorial,25.65,108.46,NA,NA,NA,LC,1.80767030123048,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Alectoris chukar,Galliformes,502.1,1,Shrubland,Herbivore,Granivore,Terrestrial,39.84,78.69,R,杂食性,14,LC,2.70079022137435,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Alectoris magna,Galliformes,541.35,1,Rock,Herbivore,Herbivore terrestrial,Terrestrial,36.72,100.28,R,杂食性,3,LC,2.73347814111519,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Arborophila ardens,Galliformes,266.64,1,Forest,Omnivore,Omnivore,Terrestrial,18.86,109.51,R,杂食性,1,VU,2.42592530065247,Resident/low mobility,Threatened,Threatened/DD,Omnivore,0,0
Arborophila atrogularis,Galliformes,237.31,1,Forest,Herbivore,Omnivore,Terrestrial,24.75,94.47,R,杂食性,1,LC,2.37531603932696,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Arborophila brunneopectus,Galliformes,291.47,1,Forest,Herbivore,Omnivore,Terrestrial,19.44,102.12,R,杂食性,3,LC,2.46459386096488,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Arborophila crudigularis,Galliformes,256.77,1,Forest,Herbivore,Omnivore,Terrestrial,23.89,121.17,R,杂食性,1,LC,2.4095442810964,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Arborophila gingica,Galliformes,253,1,Woodland,Herbivore,Omnivore,Terrestrial,25.73,115.23,R,杂食性,6,NT,2.40312052117582,Resident/low mobility,NT,NT,Herbivore,0,0
Arborophila mandellii,Galliformes,268,1,Forest,Herbivore,Omnivore,Terrestrial,27.73,92.92,R,杂食性,1,NT,2.42813479402879,Resident/low mobility,NT,NT,Herbivore,0,0
Arborophila rufipectus,Galliformes,400.11,1,Forest,Herbivore,Omnivore,Terrestrial,28.66,103.57,R,杂食性,2,VU,2.60217940589174,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Arborophila rufogularis,Galliformes,344.46,1,Forest,Herbivore,Omnivore,Terrestrial,23.19,96.06,R,杂食性,2,LC,2.53713879725126,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Arborophila torqueola,Galliformes,344.46,1,Forest,Herbivore,Omnivore,Terrestrial,27.19,92.18,R,杂食性,2,LC,2.53713879725126,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Bambusicola fytchii,Galliformes,313.65,1,Forest,Herbivore,Omnivore,Terrestrial,22.96,97.93,R,杂食性,4,LC,2.49644529187335,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Bambusicola sonorivox,Galliformes,264.79,1,Forest,Herbivore,Omnivore,Terrestrial,23.76,120.98,R,杂食性,1,LC,2.42290157960896,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Bambusicola thoracicus,Galliformes,264.79,1,Forest,Herbivore,Omnivore,Terrestrial,28.51,112.46,R,杂食性,17,LC,2.42290157960896,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Chrysolophus amherstiae,Galliformes,732.47,1,Forest,Omnivore,Omnivore,Terrestrial,27.2,101.1,R,杂食性,5,LC,2.86478984185718,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Coturnix coturnix,Galliformes,96.28,3,Human Modified,Herbivore,Granivore,Terrestrial,44.69,52.94,SW,杂食性,2,LC,1.98353608160299,Full migrant,LC,LC/NE,Herbivore,0,0
Coturnix japonica,Galliformes,94.78,3,Grassland,Herbivore,Omnivore,Terrestrial,49.71,124.3,SWP,杂食性,32,NT,1.97671670436338,Full migrant,NT,NT,Herbivore,0,0
Crossoptilon auritum,Galliformes,1768.33,1,Forest,Herbivore,Omnivore,Terrestrial,35.13,102.09,R,杂食性,5,LC,3.24756331486569,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Crossoptilon crossoptilon,Galliformes,2075.25,1,Forest,Herbivore,Herbivore terrestrial,Terrestrial,29.47,98.63,R,杂食性,4,LC,3.31707042253265,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Crossoptilon harmani,Galliformes,2075.25,1,Forest,Herbivore,Herbivore terrestrial,Terrestrial,29.52,92.94,R,杂食性,1,LC,3.31707042253265,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Falcipennis falcipennis,Galliformes,685.61,1,Forest,Herbivore,Herbivore terrestrial,Generalist,53.17,135.13,R,杂食性,1,NT,2.83607714338589,Resident/low mobility,NT,NT,Herbivore,0,0
Francolinus pintadeanus,Galliformes,310,1,Forest,Herbivore,Omnivore,Terrestrial,20.91,106.09,R,杂食性,11,LC,2.49136169383427,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Gallus gallus,Galliformes,751.72,1,Forest,Herbivore,Omnivore,Terrestrial,16.29,100.19,R,杂食性,4,LC,2.87605610508724,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Ithaginis cruentus,Galliformes,530.67,1,Shrubland,Herbivore,Omnivore,Terrestrial,31.22,100.53,R,杂食性,6,LC,2.72482453665383,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Lagopus lagopus,Galliformes,566.86,1,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,62.32,35.69,R,杂食性,2,LC,2.75347581244665,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Lagopus muta,Galliformes,535.3,1,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,65.52,23.92,R,杂食性,1,LC,2.72859724338343,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Lerwa lerwa,Galliformes,567.34,1,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,31.25,90.58,R,杂食性,4,LC,2.75384340434184,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Lophophorus impejanus,Galliformes,2066.51,1,Forest,Herbivore,Omnivore,Terrestrial,30.81,83.11,R,杂食性,2,LC,3.31523751120704,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Lophophorus lhuysii,Galliformes,3008,1,Shrubland,Herbivore,Herbivore terrestrial,Terrestrial,32.05,101.2,R,杂食性,5,VU,3.4782778319196,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Lophophorus sclateri,Galliformes,2500,1,Forest,Herbivore,Omnivore,Terrestrial,28.17,96.57,R,杂食性,2,LC,3.39794000867204,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Lophura swinhoii,Galliformes,1100,1,Forest,Herbivore,Omnivore,Terrestrial,23.79,121.1,R,杂食性,1,NT,3.04139268515822,Resident/low mobility,NT,NT,Herbivore,0,0
Lyrurus tetrix,Galliformes,1068.66,1,Forest,Herbivore,Herbivore terrestrial,Terrestrial,56.84,73.99,R,杂食性,6,LC,3.02883955402936,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Pavo muticus,Galliformes,2205.71,1,Woodland,Carnivore,Invertivore,Terrestrial,16.26,100.99,R,杂食性,2,EN,3.34354841214821,Resident/low mobility,Threatened,Threatened/DD,Carnivore,0,0
Perdix dauurica,Galliformes,263.41,1,Grassland,Herbivore,Omnivore,Terrestrial,47.34,105.44,R,杂食性,13,LC,2.42063225833412,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Perdix perdix,Galliformes,405.3,1,Grassland,Herbivore,Omnivore,Terrestrial,52.09,41.6,R,杂食性,1,LC,2.60777660374169,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Phasianus colchicus,Galliformes,1120.31,1,Human Modified,Herbivore,Omnivore,Terrestrial,38.76,101.53,R,杂食性,31,LC,3.04933821254591,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Polyplectron bicalcaratum,Galliformes,467.84,1,Forest,Herbivore,Omnivore,Terrestrial,21.44,98.51,R,杂食性,1,LC,2.67009735094175,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Polyplectron katsumatae,Galliformes,467.84,1,NA,Herbivore,Omnivore,Terrestrial,18.88,109.43,R,杂食性,1,EN,2.67009735094175,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Pucrasia macrolopha,Galliformes,1050.47,1,Forest,Herbivore,Omnivore,Terrestrial,31.24,106.55,R,杂食性,21,LC,3.02138365405706,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Synoicus chinensis,Galliformes,40.41,1,Grassland,Herbivore,Omnivore,Terrestrial,8.56,109.19,R,杂食性,7,LC,1.60648885044265,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Syrmaticus ellioti,Galliformes,1007.45,1,Woodland,Herbivore,Omnivore,Terrestrial,27.21,114.6,R,杂食性,10,LC,3.00322350120229,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Syrmaticus humiae,Galliformes,873.35,1,Forest,Herbivore,Omnivore,Terrestrial,23.67,99.86,R,杂食性,3,VU,2.94118832458363,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Syrmaticus mikado,Galliformes,1148.69,1,Forest,Herbivore,Omnivore,Terrestrial,23.76,121.13,R,杂食性,1,LC,3.06020284030325,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Syrmaticus reevesii,Galliformes,1204.58,1,Woodland,Herbivore,Granivore,Terrestrial,30.57,107.63,R,杂食性,10,VU,3.08083564817397,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Tetrao urogalloides,Galliformes,2752.29,1,Forest,Herbivore,Herbivore terrestrial,Generalist,59.89,128.96,R,杂食性,3,LC,3.43969419219585,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetrao urogallus,Galliformes,2716.61,1,Forest,Herbivore,Herbivore terrestrial,Generalist,59.49,69.35,R,杂食性,1,LC,3.43402729502253,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetraogallus altaicus,Galliformes,2760.43,1,Grassland,Herbivore,Omnivore,Terrestrial,49.04,93.45,R,杂食性,1,LC,3.44097673861646,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetraogallus himalayensis,Galliformes,2428,1,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,38.18,79.51,R,杂食性,4,LC,3.38524868240322,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetraogallus tibetanus,Galliformes,1488.87,1,Grassland,Herbivore,Herbivore terrestrial,Terrestrial,33.54,89.36,R,杂食性,6,LC,3.17285677918442,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetraophasis obscurus,Galliformes,855.35,1,Forest,Herbivore,Herbivore terrestrial,Terrestrial,34.13,103.08,R,杂食性,3,LC,2.93214385971696,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetraophasis szechenyii,Galliformes,1052.99,1,Forest,Herbivore,Herbivore terrestrial,Terrestrial,30.15,97.98,R,杂食性,4,LC,3.02242424681185,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tetrastes bonasia,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA,R,杂食性,6,LC,NA,NA,LC,LC/NE,Other,0,0
Tetrastes sewerzowi,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA,R,杂食性,5,NT,NA,NA,NT,NT,Other,0,0
Tragopan blythii,Galliformes,1930,1,Woodland,Herbivore,Omnivore,Generalist,25.58,94.91,R,杂食性,2,VU,3.28555730900777,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Tragopan melanocephalus,Galliformes,1613.19,1,Forest,Herbivore,Herbivore terrestrial,Generalist,32.63,76.77,R,杂食性,1,VU,3.2076855211968,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Tragopan satyra,Galliformes,1417.03,1,Forest,Herbivore,Herbivore terrestrial,Generalist,28.59,85.1,R,杂食性,1,LC,3.151379044811,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Tropicoperdix chloropus,Galliformes,NA,NA,NA,NA,NA,NA,NA,NA,R,杂食性,1,LC,NA,NA,LC,LC/NE,Other,0,0
Antigone antigone,Gruiformes,5916.22,2,Wetland,Omnivore,Omnivore,Terrestrial,15.23,94.27,NA,NA,NA,NA,3.77204431525885,Partial migrant,Unknown,Unknown,Omnivore,0,0
Antigone canadensis,Gruiformes,4296.22,3,Wetland,Omnivore,Omnivore,Terrestrial,60.34,-103.96,NA,NA,NA,NA,3.63308651252848,Full migrant,Unknown,Unknown,Omnivore,0,0
Antigone vipio,Gruiformes,4662.99,3,Wetland,Herbivore,Omnivore,Terrestrial,48.27,121.5,NA,NA,NA,NA,3.66866448409068,Full migrant,Unknown,Unknown,Herbivore,0,0
Crex crex,Gruiformes,154.91,3,Grassland,Carnivore,Omnivore,Terrestrial,53.88,60.58,SPV,杂食性,3,LC,2.19007945394151,Full migrant,LC,LC/NE,Carnivore,0,0
Fulica atra,Gruiformes,717.12,1,Wetland,Herbivore,Herbivore aquatic,Generalist,36.45,81.74,RSW,杂食性,34,LC,2.85559183485497,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Gallicrex cinerea,Gruiformes,390.39,2,Wetland,Herbivore,Omnivore,Terrestrial,22.92,101.65,S,杂食性,29,LC,2.59149868450582,Partial migrant,LC,LC/NE,Herbivore,0,0
Gallinula chloropus,Gruiformes,339.63,1,Wetland,Omnivore,Omnivore,Terrestrial,27.57,54.75,RSP,杂食性,34,LC,2.53100604511435,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Grus grus,Gruiformes,5499.99,3,Wetland,Herbivore,Omnivore,Terrestrial,56.97,74.47,SWPV,杂食性,34,LC,3.7403618998672,Full migrant,LC,LC/NE,Herbivore,0,0
Lewinia striata,Gruiformes,116,1,Wetland,Omnivore,Omnivore,Terrestrial,15.54,105.86,RS,杂食性,17,LC,2.06445798922692,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Porphyrio poliocephalus,Gruiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Porzana porzana,Gruiformes,87.1,3,Wetland,Omnivore,Aquatic predator,Terrestrial,54.44,55.52,SPV,食虫，食肉,2,LC,1.94001815500766,Full migrant,LC,LC/NE,Omnivore,0,0
Rallus indicus,Gruiformes,104.5,2,Wetland,Carnivore,Aquatic predator,Terrestrial,49.93,121.91,RSWP,杂食性,31,LC,2.01911629044707,Partial migrant,LC,LC/NE,Carnivore,0,0
Zapornia akool,Gruiformes,131.43,2,Wetland,Carnivore,Omnivore,Terrestrial,23.74,91.2,R,NA,16,LC,2.11869450789784,Partial migrant,LC,LC/NE,Carnivore,0,0
Zapornia fusca,Gruiformes,57.27,2,Wetland,Omnivore,Aquatic predator,Terrestrial,24.18,110.66,RSP,杂食性,30,LC,1.75792718311333,Partial migrant,LC,LC/NE,Omnivore,0,0
Zapornia parva,Gruiformes,49.7,3,Wetland,Carnivore,Aquatic predator,Terrestrial,50.9,51.02,SP,杂食性,1,LC,1.69635638873333,Full migrant,LC,LC/NE,Carnivore,0,0
Zapornia paykullii,Gruiformes,111,3,Wetland,Carnivore,Aquatic predator,Terrestrial,44.21,125.72,NA,NA,NA,NT,2.04532297878666,Full migrant,NT,NT,Carnivore,0,0
Zapornia pusilla,Gruiformes,35.4,3,Wetland,Carnivore,Aquatic predator,Terrestrial,23.48,74.5,NA,NA,NA,LC,1.54900326202579,Full migrant,LC,LC/NE,Carnivore,0,0
Chlamydotis macqueenii,Otidiformes,1501.33,1,Desert,Herbivore,Omnivore,Terrestrial,40.12,70.58,SP,杂食性,2,VU,3.17647616288081,Resident/low mobility,Threatened,Threatened/DD,Herbivore,0,0
Otis tarda,Otidiformes,6759.92,2,Grassland,Omnivore,Omnivore,Terrestrial,48.74,75.98,RSWP,杂食性,22,EN,3.82994155633156,Partial migrant,Threatened,Threatened/DD,Omnivore,0,0
Abroscopus schisticeps,Passeriformes,4.7,1,Forest,Carnivore,Invertivore,Insessorial,26.7,95.58,R,食虫,4,LC,0.672097857935718,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Abroscopus superciliaris,Passeriformes,6.48,1,Shrubland,Carnivore,Invertivore,Insessorial,9.89,105.2,R,食虫,4,LC,0.811575005870593,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Acanthis hornemanni,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,WP,杂食性,5,NA,NA,NA,Unknown,Unknown,Other,0,0
Acridotheres albocinctus,Passeriformes,98.9,1,Grassland,Omnivore,Omnivore,Generalist,23.37,96.03,R,杂食性,1,LC,1.99519629159718,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Acridotheres burmannicus,Passeriformes,89,2,Grassland,Omnivore,Omnivore,Generalist,20.71,96.79,R,杂食性,1,LC,1.94939000664491,Partial migrant,LC,LC/NE,Omnivore,0,0
Acridotheres cristatellus,Passeriformes,116.31,2,Grassland,Omnivore,Omnivore,Generalist,26.65,109.29,R,杂食性,23,LC,2.06561705572687,Partial migrant,LC,LC/NE,Omnivore,0,0
Acridotheres grandis,Passeriformes,98.91,1,Grassland,Omnivore,Invertivore,Generalist,17.79,101.37,R,杂食性,3,LC,1.99524020186282,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Acridotheres javanicus,Passeriformes,93.5,1,Grassland,Omnivore,Invertivore,Generalist,-7.35,110.16,R,NA,1,VU,1.97081161087252,Resident/low mobility,Threatened,Threatened/DD,Omnivore,0,0
Acrocephalus arundinaceus,Passeriformes,30,3,Wetland,Carnivore,Invertivore,Insessorial,49.39,45.3,R,食虫,4,LC,1.47712125471966,Full migrant,LC,LC/NE,Carnivore,0,0
Acrocephalus melanopogon,Passeriformes,10.9,3,Wetland,Carnivore,Invertivore,Insessorial,42.27,49.27,S,NA,1,LC,1.03742649794062,Full migrant,LC,LC/NE,Carnivore,0,0
Acrocephalus orientalis,Passeriformes,23.5,3,Wetland,Carnivore,Invertivore,Insessorial,43.41,121.43,SWP,食虫,33,LC,1.37106786227174,Full migrant,LC,LC/NE,Carnivore,0,0
Acrocephalus schoenobaenus,Passeriformes,11.83,3,Wetland,Carnivore,Invertivore,Insessorial,56.04,47.36,SP,食虫,2,LC,1.07298474462793,Full migrant,LC,LC/NE,Carnivore,0,0
Acrocephalus scirpaceus,Passeriformes,12.3,3,Wetland,Carnivore,Invertivore,Insessorial,25.94,33.16,SPV,食虫,2,LC,1.0899051114394,Full migrant,LC,LC/NE,Carnivore,0,0
Acrocephalus sorghophilus,Passeriformes,8.2,3,Wetland,Carnivore,Invertivore,Insessorial,NA,NA,SPV,食虫,12,CR,0.913813852383717,Full migrant,Threatened,Threatened/DD,Carnivore,0,0
Acrocephalus stentoreus,Passeriformes,24.2,2,Wetland,Carnivore,Invertivore,Insessorial,32.95,75.17,R,食虫,5,LC,1.38381536598043,Partial migrant,LC,LC/NE,Carnivore,0,0
Actinodura cyanouroptera,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Actinodura egertoni,Passeriformes,36,1,Shrubland,Omnivore,Invertivore,Insessorial,26.14,93.02,R,杂食性,2,LC,1.55630250076729,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Actinodura morrisoniana,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Actinodura nipalensis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Actinodura ramsayi,Passeriformes,38.4,2,Forest,Carnivore,Invertivore,Insessorial,19.23,98.04,R,杂食性,3,LC,1.58433122436753,Partial migrant,LC,LC/NE,Carnivore,0,0
Actinodura souliei,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Actinodura strigula,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Actinodura waldeni,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Aegithalos glaucogularis,Passeriformes,8.6,1,Forest,Carnivore,Invertivore,Insessorial,33.83,110.6,R,食虫,20,LC,0.934498451243568,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Aegithalos iouschistos,Passeriformes,7,1,Forest,Carnivore,Invertivore,Insessorial,28.11,90.89,R,杂食性,1,LC,0.845098040014257,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Aegithina lafresnayei,Passeriformes,11.96,1,Forest,Carnivore,Invertivore,Insessorial,15.28,102.15,R,杂食性,1,LC,1.07773117965239,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Aegithina tiphia,Passeriformes,12,1,Forest,Carnivore,Invertivore,Insessorial,15.54,93.44,R,杂食性,3,LC,1.07918124604762,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Aethopyga ignicauda,Passeriformes,8.2,1,Forest,Omnivore,Nectarivore,Insessorial,27.26,92.37,R,食花,2,LC,0.913813852383717,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Aethopyga nipalensis,Passeriformes,6.9,1,Forest,Omnivore,Nectarivore,Insessorial,24.13,97.2,R,食花,3,LC,0.838849090737255,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Aethopyga saturata,Passeriformes,5.3,1,Forest,Herbivore,Nectarivore,Insessorial,21.04,100.88,R,食花,4,LC,0.724275869600789,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Aethopyga siparaja,Passeriformes,6.7,1,Forest,Herbivore,Nectarivore,Insessorial,14.37,100.15,R,食花,3,LC,0.826074802700826,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Agraphospiza rubescens,Passeriformes,19,1,Forest,Herbivore,Granivore,Terrestrial,29.65,99.41,R,杂食性,6,LC,1.27875360095283,Resident/low mobility,LC,LC/NE,Herbivore,0,0
Alauda arvensis,Passeriformes,37.31,2,Grassland,Omnivore,Omnivore,Terrestrial,53.41,76.7,SWPV,杂食性,26,LC,1.57182524904083,Partial migrant,LC,LC/NE,Omnivore,0,0
Alauda gulgula,Passeriformes,26.3,2,Grassland,Omnivore,Omnivore,Terrestrial,27.53,89.85,RWS,杂食性,24,LC,1.41995574848976,Partial migrant,LC,LC/NE,Omnivore,0,0
Alauda leucoptera,Passeriformes,45.3,3,Grassland,Omnivore,Omnivore,Terrestrial,50.99,64.63,WP,杂食性,1,LC,1.65609820201283,Full migrant,LC,LC/NE,Omnivore,0,0
Alaudala cheleensis,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,RSV,杂食性,19,LC,NA,NA,LC,LC/NE,Other,0,0
Alaudala heinei,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,LC,LC/NE,Other,0,0
Alcippe davidi,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Alcippe fratercula,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Alcippe hueti,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Alcippe nipalensis,Passeriformes,15.8,1,Forest,Omnivore,Invertivore,Insessorial,26.01,92.13,R,杂食性,2,LC,1.19865708695442,Resident/low mobility,LC,LC/NE,Omnivore,0,0
