species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Stachyris roberti,Passeriformes,34.1,1,Forest,Carnivore,Invertivore,Insessorial,25.07,97.93,R,NA,1,NT,1.5327543789925,Resident/low mobility,NT,NT,Carnivore,0,0
Stachyris strialata,Passeriformes,28,1,Forest,Carnivore,Invertivore,Insessorial,16.8,101.66,R,食虫,4,LC,1.44715803134222,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Sturnia malabarica,Passeriformes,39.6,2,Woodland,Herbivore,Omnivore,Insessorial,21.65,95.06,R,杂食性,8,LC,1.59769518592551,Partial migrant,LC,LC/NE,Herbivore,0,0
Suthora nipalensis,Passeriformes,5.47,1,Forest,Omnivore,Omnivore,Insessorial,24.98,93.66,R,杂食性,3,LC,0.737987326333431,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Suthora verreauxi,Passeriformes,6,1,Forest,Omnivore,Invertivore,Insessorial,25.94,105.75,R,杂食性,12,LC,0.778151250383644,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Tarsiger albocoeruleus,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Tarsiger cyanurus,Passeriformes,13.43,3,Forest,Carnivore,Invertivore,Generalist,57.25,110.77,SWP,杂食性,33,LC,1.12807601266872,Full migrant,LC,LC/NE,Carnivore,0,0
Tarsiger formosanus,Passeriformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,Other,0,0
Tarsiger hyperythrus,Passeriformes,12,2,Forest,Carnivore,Invertivore,Terrestrial,27.97,92.7,R,食虫,2,LC,1.07918124604762,Partial migrant,LC,LC/NE,Carnivore,0,0
Tarsiger johnstoniae,Passeriformes,10.49,1,Forest,Carnivore,Invertivore,Terrestrial,23.71,121.1,R,杂食性,1,LC,1.02077548819356,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Tarsiger rufilatus,Passeriformes,12.8,3,Forest,Carnivore,Invertivore,Generalist,31.11,93.83,SWP,NA,8,LC,1.10720996964787,Full migrant,LC,LC/NE,Carnivore,0,0
Terpsiphone affinis,Passeriformes,19.23,2,Woodland,Carnivore,Invertivore,Insessorial,12.37,103.2,S,食虫,2,LC,1.28397928423848,Partial migrant,LC,LC/NE,Carnivore,0,0
