species,order,direction
Prinia inornata,Passeriformes,Northeast
Prinia atrogularis,Passeriformes,East
Ficedula erithacus,Passeriformes,Northeast
Emberiza godlewskii,Passeriformes,East
Alcippe morrisonia,Passeriformes,Northeast
Dicaeum ignipectus,Passeriformes,Northeast
Phylloscopus ricketti,Passeriformes,Northeast
Lophophanes dichrous,Passeriformes,East
Zoothera dixoni,Passeriformes,East
Aegithalos fuliginosus,Passeriformes,Northeast
Pomatorhinus schisticeps,Passeriformes,North
Psarisomus dalhousiae,Passeriformes,Northwest
Carpodacus roborowskii,Passeriformes,West
Ardeola grayii,Pelecaniformes,East
Branta bernicla,Anseriformes,East
Netta rufina,Anseriformes,East
Cygnus cygnus,Anseriformes,South
Melanitta stejnegeri,Anseriformes,Southwest
Mergus serrator,Anseriformes,East
Branta canadensis,Anseriformes,East
Mergus serrator,Anseriformes,Southeast
Limnodromus scolopaceus,Charadriiformes,Southeast
Stercorarius parasiticus,Charadriiformes,East
Calidris alba,Charadriiformes,East
Hydrocoloeus minutus,Charadriiformes,Southeast
Columba oenas,Columbiformes,East
Macropygia unchall,Columbiformes,Northwest
Halcyon smyrnensis,Coraciiformes,North
Lophura nycthemera,Galliformes,Northeast
Amaurornis cinerea,Gruiformes,Northwest
Urosphena squameiceps,Passeriformes,Southwest
Ficedula strophiata,Passeriformes,Northeast
Yuhina nigrimenta,Passeriformes,North
Acrocephalus bistrigiceps,Passeriformes,Southwest
Pitta moluccensis,Passeriformes,Northeast
Aethopyga gouldiae,Passeriformes,Northeast
Suthora fulvifrons,Passeriformes,East
Emberiza buchanani,Passeriformes,Southeast
Emberiza citrinella,Passeriformes,Southeast
Emberiza elegans,Passeriformes,West
Emberiza siemsseni,Passeriformes,Northwest
Fringilla coelebs,Passeriformes,East
Oriolus oriolus,Passeriformes,East
Phoenicurus frontalis,Passeriformes,East
Spizixos semitorques,Passeriformes,Northeast
Acrocephalus dumetorum,Passeriformes,Southeast
Ficedula ruficauda,Passeriformes,East
Lanius collurioides,Passeriformes,North
Abroscopus albogularis,Passeriformes,Northwest
Anthus richardi,Passeriformes,Southwest
Ficedula albicilla,Passeriformes,Southwest
Periparus rubidiventris,Passeriformes,West
Phylloscopus cantator,Passeriformes,Northwest
Sitta cinnamoventris,Passeriformes,North
Fringilla coelebs,Passeriformes,Southeast
Coracina macei,Passeriformes,East
Platalea minor,Pelecaniformes,Southwest
Psilopogon virens,Piciformes,Northeast
Picumnus innominatus,Piciformes,Northeast
Podiceps auritus,Podicipediformes,East
Aviceda jerdoni,Accipitriformes,North
Hemiprocne coronata,Caprimulgiformes,Northeast
Thalasseus bengalensis,Charadriiformes,Northeast
Larus glaucescens,Charadriiformes,East
Calidris pygmaea,Charadriiformes,Southeast
Larus fuscus,Charadriiformes,Southeast
Anastomus oscitans,Ciconiiformes,Northeast
Halcyon pileata,Coraciiformes,West
Eudynamys scolopaceus,Cuculiformes,Northeast
Falco cherrug,Falconiformes,Southeast
Gavia arctica,Gaviiformes,Southeast
Aethopyga christinae,Passeriformes,Northeast
Phoenicurus leucocephalus,Passeriformes,East
Delichon dasypus,Passeriformes,Southeast
Geokichla citrina,Passeriformes,East
Myiomela leucura,Passeriformes,Northeast
Turdus rubrocanus,Passeriformes,East
Cettia brunnifrons,Passeriformes,East
Tarsiger indicus,Passeriformes,Northeast
Abroscopus albogularis,Passeriformes,East
Dendrocitta formosae,Passeriformes,East
Ficedula elisae,Passeriformes,Southeast
Muscicapa muttui,Passeriformes,East
Phylloscopus claudiae,Passeriformes,East
Phylloscopus intermedius,Passeriformes,East
Pycnonotus xanthorrhous,Passeriformes,East
Turdus rubrocanus,Passeriformes,Northeast
Heteroxenicus stellatus,Passeriformes,East
Eumyias thalassinus,Passeriformes,Northeast
Spodiopsar cineraceus,Passeriformes,Southwest
Enicurus maculatus,Passeriformes,East
Melanochlora sultanea,Passeriformes,Northeast
Niltava davidi,Passeriformes,East
Phoenicopterus roseus,Phoenicopteriformes,North
Sasia ochracea,Piciformes,Northeast
Psilopogon faber,Piciformes,East
Aviceda leuphotes,Accipitriformes,North
Lophotriorchis kienerii,Accipitriformes,Northwest
Mareca falcata,Anseriformes,Southwest
Anser indicus,Anseriformes,East
Branta leucopsis,Anseriformes,East
Oxyura leucocephala,Anseriformes,East
Asarcornis scutulata,Anseriformes,North
Caprimulgus macrurus,Caprimulgiformes,North
Vanellus indicus,Charadriiformes,East
Glareola lactea,Charadriiformes,East
Stercorarius longicaudus,Charadriiformes,East
Megaceryle lugubris,Coraciiformes,Northwest
Megaceryle lugubris,Coraciiformes,West
Turdus viscivorus,Passeriformes,East
Emberiza melanocephala,Passeriformes,East
Ficedula mugimaki,Passeriformes,South
Eumyias thalassinus,Passeriformes,East
Elachura formosa,Passeriformes,East
Phylloscopus emeiensis,Passeriformes,East
Abroscopus albogularis,Passeriformes,Northeast
Sturnia sinensis,Passeriformes,Northeast
Emberiza siemsseni,Passeriformes,North
Pycnonotus xanthorrhous,Passeriformes,North
Carduelis carduelis,Passeriformes,East
Eumyias thalassinus,Passeriformes,North
Ficedula tricolor,Passeriformes,North
Monticola solitarius,Passeriformes,East
Zosterops erythropleurus,Passeriformes,West
Turdus cardis,Passeriformes,West
