"term","independent_r2","percent","iteration","predictor"
"z_gdp_per_capita",0.180282680413458,23.7975480222363,47,"Per capita GDP"
"z_area_km2",0.39049106678664,51.545328108044,47,"Area"
"z_habitat_heterogeneity",0.0488911189441028,6.4536912157331,47,"Habitat heterogeneity"
"z_hist_report_density",0.013933250477757,1.67407113359602,48,"Historical survey effort"
"z_curr_report_density",0.298135802396377,35.8208259788358,48,"Current survey effort"
"z_gdp_per_capita",0.15595589511183,18.7380010527791,48,"Per capita GDP"
"z_area_km2",0.349101879626351,41.9443675615793,48,"Area"
"z_habitat_heterogeneity",0.0151705699198522,1.82273427320982,48,"Habitat heterogeneity"
"z_hist_report_density",0,0,49,"Historical survey effort"
"z_curr_report_density",0.187785956235522,25.8917941767712,49,"Current survey effort"
"z_gdp_per_capita",0.152401088338922,21.0129537410043,49,"Per capita GDP"
"z_area_km2",0.355941140937423,49.0769115270695,49,"Area"
"z_habitat_heterogeneity",0.0291439024456149,4.018340555155,49,"Habitat heterogeneity"
"z_hist_report_density",0.0115910639596383,1.91896257400455,50,"Historical survey effort"
"z_curr_report_density",0.119729629888882,19.821879989294,50,"Current survey effort"
"z_gdp_per_capita",0.137926410259676,22.8344542120337,50,"Per capita GDP"
"z_area_km2",0.327687831644044,54.2504714900431,50,"Area"
"z_habitat_heterogeneity",0.00709268399699284,1.17423173462456,50,"Habitat heterogeneity"
"z_hist_report_density",0,0,51,"Historical survey effort"
"z_curr_report_density",0.253797492341044,35.7249060413775,51,"Current survey effort"
"z_gdp_per_capita",0.158922176446545,22.3701178804984,51,"Per capita GDP"
"z_area_km2",0.278665990060306,39.2254321349018,51,"Area"
"z_habitat_heterogeneity",0.0190360621976107,2.67954394322233,51,"Habitat heterogeneity"
"z_hist_report_density",0.00962384962995323,1.43295312681133,52,"Historical survey effort"
"z_curr_report_density",0.206408632424816,30.7334285765881,52,"Current survey effort"
"z_gdp_per_capita",0.207443281279255,30.8874836967455,52,"Per capita GDP"
"z_area_km2",0.23259164661656,34.6319757794278,52,"Area"
"z_habitat_heterogeneity",0.0155421109671472,2.31415882042729,52,"Habitat heterogeneity"
"z_hist_report_density",0.0778418362138647,11.2715287776174,53,"Historical survey effort"
"z_curr_report_density",0.0294643968075417,4.26645635155498,53,"Current survey effort"
"z_gdp_per_capita",0.0353219549574881,5.11463309641353,53,"Per capita GDP"
"z_area_km2",0.542536495872637,78.5594999241159,53,"Area"
"z_habitat_heterogeneity",0.00544115808572221,0.78788185029813,53,"Habitat heterogeneity"
"z_hist_report_density",0,0,54,"Historical survey effort"
"z_curr_report_density",0.242277186535621,34.3263791194668,54,"Current survey effort"
"z_gdp_per_capita",0.229380302005385,32.4991193837269,54,"Per capita GDP"
"z_area_km2",0.204662678977019,28.9970707132096,54,"Area"
"z_habitat_heterogeneity",0.0294845015163035,4.1774307835968,54,"Habitat heterogeneity"
"z_hist_report_density",0.0248460088827226,3.4681930073792,55,"Historical survey effort"
"z_curr_report_density",0.164237842168488,22.9255547015397,55,"Current survey effort"
"z_gdp_per_capita",0.0213740561272489,2.98355169837371,55,"Per capita GDP"
"z_area_km2",0.482358599834552,67.3312454685115,55,"Area"
"z_habitat_heterogeneity",0.0235798650994491,3.29145512419589,55,"Habitat heterogeneity"
"z_hist_report_density",0.0188494258814861,3.12224659958565,56,"Historical survey effort"
"z_curr_report_density",0.25611331871916,42.4229864350887,56,"Current survey effort"
"z_gdp_per_capita",0.102833558657251,17.0335017554169,56,"Per capita GDP"
"z_area_km2",0.192294476583343,31.8519396509127,56,"Area"
"z_habitat_heterogeneity",0.0336227732133952,5.56932555899609,56,"Habitat heterogeneity"
"z_hist_report_density",0,0,57,"Historical survey effort"
"z_curr_report_density",0.145014133232922,25.6641608472425,57,"Current survey effort"
"z_gdp_per_capita",0.102652701041788,18.1671632426945,57,"Per capita GDP"
"z_area_km2",0.312660746679925,55.3337493010014,57,"Area"
"z_habitat_heterogeneity",0.00471771351679217,0.834926609061555,57,"Habitat heterogeneity"
"z_hist_report_density",0.00390797647654026,0.565244206285628,58,"Historical survey effort"
"z_curr_report_density",0.154512147526922,22.3484191152712,58,"Current survey effort"
"z_gdp_per_capita",0.118105519311874,17.0826157532283,58,"Per capita GDP"
"z_area_km2",0.357370338743999,51.6895418091693,58,"Area"
"z_habitat_heterogeneity",0.0574824404141347,8.3141791160456,58,"Habitat heterogeneity"
"z_hist_report_density",0.00718923116278759,0.979435349569231,59,"Historical survey effort"
"z_curr_report_density",0.122372680511451,16.6716198715167,59,"Current survey effort"
"z_gdp_per_capita",0.210645718722102,28.697625445646,59,"Per capita GDP"
"z_area_km2",0.367425926642279,50.0568047894208,59,"Area"
"z_habitat_heterogeneity",0.0263843815572776,3.59451454384729,59,"Habitat heterogeneity"
"z_hist_report_density",0,0,60,"Historical survey effort"
"z_curr_report_density",0.243627179325683,30.3965363631075,60,"Current survey effort"
"z_gdp_per_capita",0.0997814986103016,12.4493989515793,60,"Per capita GDP"
"z_area_km2",0.448776208868207,55.9922845616672,60,"Area"
"z_habitat_heterogeneity",0.00931162719131515,1.16178012364597,60,"Habitat heterogeneity"
"z_hist_report_density",0,0,61,"Historical survey effort"
"z_curr_report_density",0.330282192514464,44.1203196491548,61,"Current survey effort"
"z_gdp_per_capita",0.210498583446582,28.1191811058683,61,"Per capita GDP"
"z_area_km2",0.197482766133489,26.3804799788812,61,"Area"
"z_habitat_heterogeneity",0.0103307453922087,1.38001926609568,61,"Habitat heterogeneity"
"z_hist_report_density",0.00730475987808128,1.18178748622163,62,"Historical survey effort"
"z_curr_report_density",0.160316676629409,25.9365462295031,62,"Current survey effort"
"z_gdp_per_capita",0.108271603397841,17.5165273252389,62,"Per capita GDP"
"z_area_km2",0.309451404382535,50.0640408989115,62,"Area"
"z_habitat_heterogeneity",0.0327666766409754,5.30109806012495,62,"Habitat heterogeneity"
"z_hist_report_density",0.0334520021754348,4.5234272272902,63,"Historical survey effort"
"z_curr_report_density",0.186726185336344,25.2493798837162,63,"Current survey effort"
"z_gdp_per_capita",0.276730609690691,37.4199059277449,63,"Per capita GDP"
"z_area_km2",0.221235426599382,29.9157684814363,63,"Area"
"z_habitat_heterogeneity",0.0213835832028938,2.89151847981243,63,"Habitat heterogeneity"
"z_hist_report_density",0.00726928749391757,1.13747996281856,64,"Historical survey effort"
"z_curr_report_density",0.175993060659053,27.5389548511169,64,"Current survey effort"
"z_gdp_per_capita",0.150752759958743,23.5894155976288,64,"Per capita GDP"
"z_area_km2",0.289287034200858,45.2669130478079,64,"Area"
"z_habitat_heterogeneity",0.0157673561869887,2.4672365406279,64,"Habitat heterogeneity"
"z_hist_report_density",0,0,65,"Historical survey effort"
"z_curr_report_density",0.285920736430192,35.1527221764855,65,"Current survey effort"
"z_gdp_per_capita",0.122012916959674,15.0009622435105,65,"Per capita GDP"
"z_area_km2",0.378970898792089,46.5928385766585,65,"Area"
"z_habitat_heterogeneity",0.0264627170574435,3.25347700334555,65,"Habitat heterogeneity"
"z_hist_report_density",0,0,66,"Historical survey effort"
"z_curr_report_density",0.162679014607429,23.563035580799,66,"Current survey effort"
