new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Charadrius asiaticus,Charadriiformes,1,2001,Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius placidus,same genus Charadrius placidus,FALSE
Charadrius atrifrons,Charadriiformes,2,2024,Guizhou | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius placidus,same genus Charadrius placidus,FALSE
Charadrius dealbatus,Charadriiformes,1,2024,Jiangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius placidus,same genus Charadrius placidus,FALSE
Charadrius hiaticula,Charadriiformes,4,2010,Jiangsu | Xinjiang | Yunnan | Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius placidus,same genus Charadrius placidus,FALSE
Charadrius mongolus,Charadriiformes,3,2013,Shaanxi | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius placidus,same genus Charadrius placidus,FALSE
Charadrius veredus,Charadriiformes,4,2006,Hainan | Jilin | Xinjiang | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Charadrius placidus,same genus Charadrius placidus,FALSE
Chlidonias leucopterus,Charadriiformes,1,2008,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Chloris chloris,Passeriformes,1,2000,Xinjiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Chloris sinica,Passeriformes,1,2006,Hainan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Ciconia episcopus,Ciconiiformes,1,2011,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Ciconia boyciana | Ciconia nigra,same genus Ciconia boyciana | Ciconia nigra,FALSE
Circaetus gallicus,Accipitriformes,3,2021,Guangxi | Hunan | Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Circus aeruginosus,Accipitriformes,2,2025,Gansu | Ningxia,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Circus macrourus | Circus cyaneus | Circus melanoleucos | Circus cyaneus cyaneus,same genus Circus macrourus | Circus cyaneus | Circus melanoleucos | Circus cyaneus cyaneus,FALSE
Cisticola exilis,Passeriformes,1,2007,Hainan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cisticola juncidis,Passeriformes,1,2006,Liaoning,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Clamator coromandus,Cuculiformes,3,2003,Beijing | Heilongjiang | Liaoning,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Clamator jacobinus,Cuculiformes,1,2021,Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Clangula hyemalis,Anseriformes,7,2008,Gansu | Hubei | Jiangsu | Jiangxi | Ningxia | Shandong | Yunnan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Columba oenas,Columbiformes,2,2017,Gansu | Inner Mongolia,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Columba punicea | Columba janthina | Columba leuconota gradaris | Columba rupestris turkestanica | Columba eversmanni,same genus Columba punicea | Columba janthina | Columba leuconota gradaris | Columba rupestris turkestanica | Columba eversmanni,FALSE
Copsychus saularis,Passeriformes,1,2006,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Coracias garrulus,Coraciiformes,1,2022,Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Coracina macei,Passeriformes,1,2017,Zhejiang,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Coracina novaehollandiae siamensis,same genus Coracina novaehollandiae siamensis,FALSE
Curruca communis,Passeriformes,1,2025,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
