"order","province","n_records","x_order","y_order","x_province","y_province","edge_color"
"Charadriiformes","Gansu",5,-0.136166649096246,0.990685946036331,0.371662455660328,-0.928367933016073,"#F28C57"
"Charadriiformes","Guangxi",4,-0.136166649096246,0.990685946036331,0.618158986220605,-0.786053094742788,"#F28C57"
"Charadriiformes","Guizhou",5,-0.136166649096246,0.990685946036331,0.866025403784439,-0.5,"#F28C57"
"Charadriiformes","Hainan",10,-0.136166649096246,0.990685946036331,0.998867339183008,-0.0475819158237423,"#F28C57"
"Charadriiformes","Hebei",1,-0.136166649096246,0.990685946036331,0.45822652172741,0.888835448654923,"#F28C57"
"Charadriiformes","Heilongjiang",1,-0.136166649096246,0.990685946036331,0.755749574354258,0.654860733945285,"#F28C57"
"Charadriiformes","Henan",3,-0.136166649096246,0.990685946036331,0.690079011482112,-0.72373403810507,"#F28C57"
"Charadriiformes","Hubei",7,-0.136166649096246,0.990685946036331,0.909631995354518,-0.415415013001886,"#F28C57"
"Charadriiformes","Hunan",5,-0.136166649096246,0.990685946036331,0.18925124436041,-0.981928697262707,"#F28C57"
"Charadriiformes","Inner Mongolia",4,-0.136166649096246,0.990685946036331,0.814575952050336,-0.580056909571198,"#F28C57"
"Charadriiformes","Jiangsu",6,-0.136166649096246,0.990685946036331,0.45822652172741,-0.888835448654923,"#F28C57"
"Charadriiformes","Jiangxi",3,-0.136166649096246,0.990685946036331,0.998867339183008,0.0475819158237423,"#F28C57"
"Charadriiformes","Jilin",7,-0.136166649096246,0.990685946036331,0.945000818714669,0.327067963317421,"#F28C57"
"Charadriiformes","Liaoning",7,-0.136166649096246,0.990685946036331,0.945000818714668,-0.327067963317422,"#F28C57"
"Charadriiformes","Ningxia",4,-0.136166649096246,0.990685946036331,0.814575952050336,0.580056909571198,"#F28C57"
"Charadriiformes","Qinghai",1,-0.136166649096246,0.990685946036331,0.989821441880933,0.142314838273285,"#F28C57"
"Charadriiformes","Shaanxi",11,-0.136166649096246,0.990685946036331,0.28173255684143,-0.959492973614497,"#F28C57"
"Charadriiformes","Shandong",4,-0.136166649096246,0.990685946036331,0.971811568323542,0.235758935509427,"#F28C57"
"Charadriiformes","Shanghai",2,-0.136166649096246,0.990685946036331,0.866025403784439,0.5,"#F28C57"
"Charadriiformes","Shanxi",1,-0.136166649096246,0.990685946036331,0.28173255684143,0.959492973614497,"#F28C57"
"Charadriiformes","Sichuan",7,-0.136166649096246,0.990685946036331,0.971811568323542,-0.235758935509427,"#F28C57"
"Charadriiformes","Tianjin",4,-0.136166649096246,0.990685946036331,0.909631995354518,0.415415013001886,"#F28C57"
"Charadriiformes","Tibet",6,-0.136166649096246,0.990685946036331,6.12323399573677e-17,-1,"#F28C57"
"Charadriiformes","Xinjiang",7,-0.136166649096246,0.990685946036331,0.989821441880933,-0.142314838273285,"#F28C57"
