province,year,climate_scenario,effort_scenario,hazard_mean
Beijing,2035,ssp585,doubled,0.0246841572225094
Liaoning,2035,ssp585,doubled,0.0812534838914871
Jilin,2035,ssp585,doubled,0.059135340154171
Heilongjiang,2035,ssp585,doubled,0.090878039598465
Hainan,2040,current,baseline,0.0503746047616005
Guangdong,2040,current,baseline,0.0856037586927414
Yunnan,2040,current,baseline,0.0192420091480017
Guangxi,2040,current,baseline,0.0344646796584129
Guizhou,2040,current,baseline,0.221927285194397
Fujian,2040,current,baseline,0.0216995142400265
Hunan,2040,current,baseline,0.0155808385461569
Jiangxi,2040,current,baseline,0.0217745471745729
Sichuan,2040,current,baseline,0.202341750264168
Tibet,2040,current,baseline,0.15326651930809
Zhejiang,2040,current,baseline,0.0144040891900659
Chongqing,2040,current,baseline,0.102338187396526
Hubei,2040,current,baseline,0.0267897006124258
Anhui,2040,current,baseline,0.0474686846137047
Shaanxi,2040,current,baseline,0.158420071005821
Qinghai,2040,current,baseline,0.1220967695117
Henan,2040,current,baseline,0.0573702044785023
Jiangsu,2040,current,baseline,0.0304173231124878
Shanghai,2040,current,baseline,0.0305352471768856
Gansu,2040,current,baseline,0.107303753495216
Shanxi,2040,current,baseline,0.236601561307907
Ningxia,2040,current,baseline,0.107820875942707
Shandong,2040,current,baseline,0.149762764573097
Hebei,2040,current,baseline,0.212589412927628
Xinjiang,2040,current,baseline,0.277350187301636
Inner Mongolia,2040,current,baseline,0.0432942733168602
Tianjin,2040,current,baseline,0.0968052074313164
Beijing,2040,current,baseline,0.111239202320576
Liaoning,2040,current,baseline,0.159969091415405
Jilin,2040,current,baseline,0.0418970435857773
Heilongjiang,2040,current,baseline,0.142421826720238
Hainan,2040,current,trend,0.0901522263884544
Guangdong,2040,current,trend,0.133072540163994
Yunnan,2040,current,trend,0.0101376203820109
Guangxi,2040,current,trend,0.0272268634289503
Guizhou,2040,current,trend,0.0749497786164284
Fujian,2040,current,trend,0.0277567151933908
Hunan,2040,current,trend,0.0179233103990555
Jiangxi,2040,current,trend,0.01892364397645
Sichuan,2040,current,trend,0.134698480367661
Tibet,2040,current,trend,0.0766538754105568
Zhejiang,2040,current,trend,0.0275558661669493
Chongqing,2040,current,trend,0.0532401092350483
Hubei,2040,current,trend,0.0340557843446732
Anhui,2040,current,trend,0.0228500310331583
Shaanxi,2040,current,trend,0.1280287951231
Qinghai,2040,current,trend,0.109362743794918
Henan,2040,current,trend,0.0296776071190834
Jiangsu,2040,current,trend,0.0373730771243572
Shanghai,2040,current,trend,0.0240468364208937
Gansu,2040,current,trend,0.173663407564163
Shanxi,2040,current,trend,0.398252338171005
Ningxia,2040,current,trend,0.223099187016487
Shandong,2040,current,trend,0.0668408125638962
Hebei,2040,current,trend,0.126394242048264
Xinjiang,2040,current,trend,0.113615527749062
Inner Mongolia,2040,current,trend,0.114619687199593
Tianjin,2040,current,trend,0.0794357731938362
Beijing,2040,current,trend,0.073054313659668
Liaoning,2040,current,trend,0.43979275226593
Jilin,2040,current,trend,0.0209815073758364
Heilongjiang,2040,current,trend,0.0638169944286346
Hainan,2040,current,doubled,0.0534191429615021
Guangdong,2040,current,doubled,0.068601556122303
Yunnan,2040,current,doubled,0.0335065610706806
Guangxi,2040,current,doubled,0.0700838714838028
Guizhou,2040,current,doubled,0.045569434762001
Fujian,2040,current,doubled,0.025552861392498
Hunan,2040,current,doubled,0.0326410494744778
Jiangxi,2040,current,doubled,0.0325219221413136
Sichuan,2040,current,doubled,0.0809899121522903
Tibet,2040,current,doubled,0.11090149730444
Zhejiang,2040,current,doubled,0.0204806607216597
Chongqing,2040,current,doubled,0.0827633067965508
Hubei,2040,current,doubled,0.063206747174263
Anhui,2040,current,doubled,0.0407111421227455
Shaanxi,2040,current,doubled,0.0886059626936913
Qinghai,2040,current,doubled,0.0961391255259514
Henan,2040,current,doubled,0.0498987622559071
Jiangsu,2040,current,doubled,0.0541202686727047
Shanghai,2040,current,doubled,0.0435698293149471
Gansu,2040,current,doubled,0.220131143927574
Shanxi,2040,current,doubled,0.192709133028984
Ningxia,2040,current,doubled,0.189179837703705
Shandong,2040,current,doubled,0.134560108184814
Hebei,2040,current,doubled,0.0764740332961083
Xinjiang,2040,current,doubled,0.133010908961296
Inner Mongolia,2040,current,doubled,0.172799646854401
Tianjin,2040,current,doubled,0.076122984290123
Beijing,2040,current,doubled,0.0910917147994041
Liaoning,2040,current,doubled,0.185927763581276
Jilin,2040,current,doubled,0.0532477460801601
Heilongjiang,2040,current,doubled,0.0894396901130676
Hainan,2040,ssp245,baseline,0.0143781462684274
Guangdong,2040,ssp245,baseline,0.0459158085286617
Yunnan,2040,ssp245,baseline,0.0239009242504835
Guangxi,2040,ssp245,baseline,0.0386636666953564
Guizhou,2040,ssp245,baseline,0.147163361310959
Fujian,2040,ssp245,baseline,0.0625007376074791
Hunan,2040,ssp245,baseline,0.0281786099076271
Jiangxi,2040,ssp245,baseline,0.0597060360014439
Sichuan,2040,ssp245,baseline,0.0377377383410931
Tibet,2040,ssp245,baseline,0.214235752820969
Zhejiang,2040,ssp245,baseline,0.023298529908061
Chongqing,2040,ssp245,baseline,0.0290205087512732
Hubei,2040,ssp245,baseline,0.0203570630401373
Anhui,2040,ssp245,baseline,0.0427246540784836
Shaanxi,2040,ssp245,baseline,0.0430900417268276
Qinghai,2040,ssp245,baseline,0.198719814419746
Henan,2040,ssp245,baseline,0.0294999815523624
Jiangsu,2040,ssp245,baseline,0.0256793554872274
Shanghai,2040,ssp245,baseline,0.0340488441288471
Gansu,2040,ssp245,baseline,0.449683398008347
Shanxi,2040,ssp245,baseline,0.102790057659149
Ningxia,2040,ssp245,baseline,0.203781813383102
Shandong,2040,ssp245,baseline,0.031274002045393
Hebei,2040,ssp245,baseline,0.0527711845934391
Xinjiang,2040,ssp245,baseline,0.0798225626349449
Inner Mongolia,2040,ssp245,baseline,0.270254582166672
Tianjin,2040,ssp245,baseline,0.0252149384468794
Beijing,2040,ssp245,baseline,0.0149044310674071
Liaoning,2040,ssp245,baseline,0.0800382792949677
Jilin,2040,ssp245,baseline,0.143527805805206
Heilongjiang,2040,ssp245,baseline,0.204936295747757
Hainan,2040,ssp245,trend,0.0316618159413338
Guangdong,2040,ssp245,trend,0.0642706826329231
Yunnan,2040,ssp245,trend,0.0549053251743317
Guangxi,2040,ssp245,trend,0.0661333054304123
Guizhou,2040,ssp245,trend,0.0378145202994347
Fujian,2040,ssp245,trend,0.0694702118635178
Hunan,2040,ssp245,trend,0.0622352585196495
Jiangxi,2040,ssp245,trend,0.0487053841352463
Sichuan,2040,ssp245,trend,0.0453468821942806
Tibet,2040,ssp245,trend,0.22570538520813
Zhejiang,2040,ssp245,trend,0.0357050560414791
Chongqing,2040,ssp245,trend,0.028143746778369
Hubei,2040,ssp245,trend,0.0424723587930203
Anhui,2040,ssp245,trend,0.0306254290044308
Shaanxi,2040,ssp245,trend,0.0225078370422125
Qinghai,2040,ssp245,trend,0.299431264400482
Henan,2040,ssp245,trend,0.0400919206440449
Jiangsu,2040,ssp245,trend,0.0393026582896709
Shanghai,2040,ssp245,trend,0.0494697242975235
Gansu,2040,ssp245,trend,0.198310732841492
Shanxi,2040,ssp245,trend,0.111275337636471
Ningxia,2040,ssp245,trend,0.343502014875412
Shandong,2040,ssp245,trend,0.0236302372068167
Hebei,2040,ssp245,trend,0.027936976402998
Xinjiang,2040,ssp245,trend,0.0378551185131073
Inner Mongolia,2040,ssp245,trend,0.1502535790205
Tianjin,2040,ssp245,trend,0.0214627236127853
Beijing,2040,ssp245,trend,0.0192118883132935
Liaoning,2040,ssp245,trend,0.0805844143033028
Jilin,2040,ssp245,trend,0.153385803103447
Heilongjiang,2040,ssp245,trend,0.129206657409668
Hainan,2040,ssp245,doubled,0.0184551682323217
Guangdong,2040,ssp245,doubled,0.051372341811657
Yunnan,2040,ssp245,doubled,0.0305474735796452
Guangxi,2040,ssp245,doubled,0.0513853579759598
Guizhou,2040,ssp245,doubled,0.061652421951294
Fujian,2040,ssp245,doubled,0.0494513772428036
Hunan,2040,ssp245,doubled,0.0397223047912121
Jiangxi,2040,ssp245,doubled,0.0452168546617031
Sichuan,2040,ssp245,doubled,0.0699854046106339
Tibet,2040,ssp245,doubled,0.121632598340511
Zhejiang,2040,ssp245,doubled,0.0246841572225094
Chongqing,2040,ssp245,doubled,0.060426976531744
Hubei,2040,ssp245,doubled,0.028431348502636
Anhui,2040,ssp245,doubled,0.0519976057112217
Shaanxi,2040,ssp245,doubled,0.0368757732212544
Qinghai,2040,ssp245,doubled,0.148225545883179
Henan,2040,ssp245,doubled,0.0312084965407848
Jiangsu,2040,ssp245,doubled,0.0272026304155588
Shanghai,2040,ssp245,doubled,0.0410889647901058
Gansu,2040,ssp245,doubled,0.13859336078167
Shanxi,2040,ssp245,doubled,0.0702360942959786
Ningxia,2040,ssp245,doubled,0.168769970536232
Shandong,2040,ssp245,doubled,0.0611820407211781
Hebei,2040,ssp245,doubled,0.0445082038640976
Xinjiang,2040,ssp245,doubled,0.0771735981106758
Inner Mongolia,2040,ssp245,doubled,0.0952581912279129
Tianjin,2040,ssp245,doubled,0.0491255670785904
Beijing,2040,ssp245,doubled,0.0172694213688374
Liaoning,2040,ssp245,doubled,0.0533724613487721
Jilin,2040,ssp245,doubled,0.179250165820122
Heilongjiang,2040,ssp245,doubled,0.116459608078003
Hainan,2040,ssp585,baseline,0.00609531393274665
Guangdong,2040,ssp585,baseline,0.0285456795245409
Yunnan,2040,ssp585,baseline,0.0259664300829172
Guangxi,2040,ssp585,baseline,0.0131404073908925
Guizhou,2040,ssp585,baseline,0.176339641213417
Fujian,2040,ssp585,baseline,0.0508524589240551
Hunan,2040,ssp585,baseline,0.0560856051743031
Jiangxi,2040,ssp585,baseline,0.0415334925055504
Sichuan,2040,ssp585,baseline,0.0542090348899365
Tibet,2040,ssp585,baseline,0.117372512817383
Zhejiang,2040,ssp585,baseline,0.0205297451466322
Chongqing,2040,ssp585,baseline,0.0686856210231781
Hubei,2040,ssp585,baseline,0.0420362576842308
Anhui,2040,ssp585,baseline,0.0817592889070511
Shaanxi,2040,ssp585,baseline,0.0313775092363358
Qinghai,2040,ssp585,baseline,0.128397107124329
Henan,2040,ssp585,baseline,0.0571202076971531
Jiangsu,2040,ssp585,baseline,0.0360616520047188
Shanghai,2040,ssp585,baseline,0.0472477413713932
Gansu,2040,ssp585,baseline,0.0777837261557579
Shanxi,2040,ssp585,baseline,0.104884922504425
Ningxia,2040,ssp585,baseline,0.0423655658960342
Shandong,2040,ssp585,baseline,0.0222233291715384
Hebei,2040,ssp585,baseline,0.0535986870527268
Xinjiang,2040,ssp585,baseline,0.0512107424438
Inner Mongolia,2040,ssp585,baseline,0.0490291975438595
Tianjin,2040,ssp585,baseline,0.0225332956761122
Beijing,2040,ssp585,baseline,0.0213454775512218
Liaoning,2040,ssp585,baseline,0.0528405383229256
Jilin,2040,ssp585,baseline,0.127452954649925
Heilongjiang,2040,ssp585,baseline,0.122006364166737
Hainan,2040,ssp585,trend,0.00441303290426731
Guangdong,2040,ssp585,trend,0.0405027791857719
Yunnan,2040,ssp585,trend,0.0054954681545496
Guangxi,2040,ssp585,trend,0.00648790970444679
Guizhou,2040,ssp585,trend,0.130758002400398
Fujian,2040,ssp585,trend,0.0305772721767426
Hunan,2040,ssp585,trend,0.0348137319087982
Jiangxi,2040,ssp585,trend,0.0216415915638208
Sichuan,2040,ssp585,trend,0.0665377452969551
Tibet,2040,ssp585,trend,0.0353794731199741
Zhejiang,2040,ssp585,trend,0.0307011920958757
Chongqing,2040,ssp585,trend,0.0888853594660759
Hubei,2040,ssp585,trend,0.0293730311095715
Anhui,2040,ssp585,trend,0.0590903833508492
Shaanxi,2040,ssp585,trend,0.030675271525979
Qinghai,2040,ssp585,trend,0.065350666642189
Henan,2040,ssp585,trend,0.040103655308485
Jiangsu,2040,ssp585,trend,0.0282278023660183
Shanghai,2040,ssp585,trend,0.0292291566729546
Gansu,2040,ssp585,trend,0.039960578083992
Shanxi,2040,ssp585,trend,0.0924111157655716
Ningxia,2040,ssp585,trend,0.130389004945755
Shandong,2040,ssp585,trend,0.0195460915565491
Hebei,2040,ssp585,trend,0.0764362290501595
Xinjiang,2040,ssp585,trend,0.0606037192046642
Inner Mongolia,2040,ssp585,trend,0.0421552546322346
Tianjin,2040,ssp585,trend,0.0202860403805971
Beijing,2040,ssp585,trend,0.0147469136863947
Liaoning,2040,ssp585,trend,0.100771494209766
Jilin,2040,ssp585,trend,0.0537275224924088
Heilongjiang,2040,ssp585,trend,0.0618771500885487
Hainan,2040,ssp585,doubled,0.00464828591793776
Guangdong,2040,ssp585,doubled,0.0171369407325983
Yunnan,2040,ssp585,doubled,0.014439707621932
Guangxi,2040,ssp585,doubled,0.0102538950741291
Guizhou,2040,ssp585,doubled,0.0659825056791306
Fujian,2040,ssp585,doubled,0.0352778248488903
Hunan,2040,ssp585,doubled,0.0429610088467598
Jiangxi,2040,ssp585,doubled,0.033903606235981
Sichuan,2040,ssp585,doubled,0.0493354015052319
Tibet,2040,ssp585,doubled,0.0556187406182289
Zhejiang,2040,ssp585,doubled,0.0320323295891285
Chongqing,2040,ssp585,doubled,0.0501622073352337
Hubei,2040,ssp585,doubled,0.0338949635624886
Anhui,2040,ssp585,doubled,0.0448165461421013
Shaanxi,2040,ssp585,doubled,0.0288174636662006
Qinghai,2040,ssp585,doubled,0.0719240754842758
Henan,2040,ssp585,doubled,0.0526934266090393
Jiangsu,2040,ssp585,doubled,0.0294549576938152
Shanghai,2040,ssp585,doubled,0.0361184142529964
Gansu,2040,ssp585,doubled,0.0812021717429161
Shanxi,2040,ssp585,doubled,0.0686654597520828
Ningxia,2040,ssp585,doubled,0.0683418586850166
Shandong,2040,ssp585,doubled,0.0179071687161922
Hebei,2040,ssp585,doubled,0.0463843233883381
Xinjiang,2040,ssp585,doubled,0.063416101038456
Inner Mongolia,2040,ssp585,doubled,0.0658004656434059
Tianjin,2040,ssp585,doubled,0.0177192687988281
Beijing,2040,ssp585,doubled,0.015397297218442
Liaoning,2040,ssp585,doubled,0.055950652807951
Jilin,2040,ssp585,doubled,0.0820213705301285
Heilongjiang,2040,ssp585,doubled,0.0393584184348583
Hainan,2045,current,baseline,0.0503746047616005
Guangdong,2045,current,baseline,0.0856037586927414
Yunnan,2045,current,baseline,0.0192420091480017
Guangxi,2045,current,baseline,0.0344646796584129
Guizhou,2045,current,baseline,0.221927285194397
Fujian,2045,current,baseline,0.0216995142400265
Hunan,2045,current,baseline,0.0155808385461569
Jiangxi,2045,current,baseline,0.0217745471745729
Sichuan,2045,current,baseline,0.202341750264168
Tibet,2045,current,baseline,0.15326651930809
Zhejiang,2045,current,baseline,0.0144040891900659
Chongqing,2045,current,baseline,0.102338187396526
Hubei,2045,current,baseline,0.0267897006124258
Anhui,2045,current,baseline,0.0474686846137047
Shaanxi,2045,current,baseline,0.158420071005821
Qinghai,2045,current,baseline,0.1220967695117
Henan,2045,current,baseline,0.0573702044785023
Jiangsu,2045,current,baseline,0.0304173231124878
Shanghai,2045,current,baseline,0.0305352471768856
Gansu,2045,current,baseline,0.107303753495216
Shanxi,2045,current,baseline,0.236601561307907
Ningxia,2045,current,baseline,0.107820875942707
Shandong,2045,current,baseline,0.149762764573097
Hebei,2045,current,baseline,0.212589412927628
Xinjiang,2045,current,baseline,0.277350187301636
Inner Mongolia,2045,current,baseline,0.0432942733168602
Tianjin,2045,current,baseline,0.0968052074313164
Beijing,2045,current,baseline,0.111239202320576
Liaoning,2045,current,baseline,0.159969091415405
Jilin,2045,current,baseline,0.0418970435857773
Heilongjiang,2045,current,baseline,0.142421826720238
Hainan,2045,current,trend,0.0664465948939323
Guangdong,2045,current,trend,0.117851957678795
Yunnan,2045,current,trend,0.0100898966193199
Guangxi,2045,current,trend,0.0554562173783779
Guizhou,2045,current,trend,0.0871910899877548
Fujian,2045,current,trend,0.0288857892155647
Hunan,2045,current,trend,0.0161871984601021
Jiangxi,2045,current,trend,0.0165992006659508
Sichuan,2045,current,trend,0.127857819199562
Tibet,2045,current,trend,0.0640944615006447
Zhejiang,2045,current,trend,0.0266042072325945
Chongqing,2045,current,trend,0.0426662266254425
Hubei,2045,current,trend,0.0433165319263935
Anhui,2045,current,trend,0.0199847612529993
Shaanxi,2045,current,trend,0.116380892693996
Qinghai,2045,current,trend,0.0739244073629379
Henan,2045,current,trend,0.0352193489670754
Jiangsu,2045,current,trend,0.0402502082288265
Shanghai,2045,current,trend,0.0217307433485985
Gansu,2045,current,trend,0.190380901098251
Shanxi,2045,current,trend,0.301393389701843
Ningxia,2045,current,trend,0.215084984898567
Shandong,2045,current,trend,0.110482916235924
Hebei,2045,current,trend,0.104676783084869
Xinjiang,2045,current,trend,0.152899369597435
Inner Mongolia,2045,current,trend,0.0907627120614052
Tianjin,2045,current,trend,0.0744173154234886
Beijing,2045,current,trend,0.104496911168098
Liaoning,2045,current,trend,0.139242619276047
Jilin,2045,current,trend,0.0219626501202583
Heilongjiang,2045,current,trend,0.0795987993478775
Hainan,2045,current,doubled,0.0534191429615021
Guangdong,2045,current,doubled,0.068601556122303
Yunnan,2045,current,doubled,0.0335065610706806
Guangxi,2045,current,doubled,0.0700838714838028
Guizhou,2045,current,doubled,0.045569434762001
Fujian,2045,current,doubled,0.025552861392498
Hunan,2045,current,doubled,0.0326410494744778
Jiangxi,2045,current,doubled,0.0325219221413136
Sichuan,2045,current,doubled,0.0809899121522903
Tibet,2045,current,doubled,0.11090149730444
Zhejiang,2045,current,doubled,0.0204806607216597
Chongqing,2045,current,doubled,0.0827633067965508
Hubei,2045,current,doubled,0.063206747174263
Anhui,2045,current,doubled,0.0407111421227455
Shaanxi,2045,current,doubled,0.0886059626936913
Qinghai,2045,current,doubled,0.0961391255259514
Henan,2045,current,doubled,0.0498987622559071
Jiangsu,2045,current,doubled,0.0541202686727047
Shanghai,2045,current,doubled,0.0435698293149471
Gansu,2045,current,doubled,0.220131143927574
Shanxi,2045,current,doubled,0.192709133028984
Ningxia,2045,current,doubled,0.189179837703705
Shandong,2045,current,doubled,0.134560108184814
Hebei,2045,current,doubled,0.0764740332961083
Xinjiang,2045,current,doubled,0.133010908961296
Inner Mongolia,2045,current,doubled,0.172799646854401
Tianjin,2045,current,doubled,0.076122984290123
Beijing,2045,current,doubled,0.0910917147994041
Liaoning,2045,current,doubled,0.185927763581276
Jilin,2045,current,doubled,0.0532477460801601
Heilongjiang,2045,current,doubled,0.0894396901130676
Hainan,2045,ssp245,baseline,0.0818690061569214
Guangdong,2045,ssp245,baseline,0.0481718629598618
Yunnan,2045,ssp245,baseline,0.0419269502162933
Guangxi,2045,ssp245,baseline,0.0212453305721283
Guizhou,2045,ssp245,baseline,0.183493912220001
Fujian,2045,ssp245,baseline,0.0598481446504593
Hunan,2045,ssp245,baseline,0.0574998818337917
Jiangxi,2045,ssp245,baseline,0.0537239126861095
Sichuan,2045,ssp245,baseline,0.0172658041119576
Tibet,2045,ssp245,baseline,0.269151419401169
Zhejiang,2045,ssp245,baseline,0.0375212244689465
Chongqing,2045,ssp245,baseline,0.081880584359169
Hubei,2045,ssp245,baseline,0.038482703268528
Anhui,2045,ssp245,baseline,0.0618682913482189
Shaanxi,2045,ssp245,baseline,0.0346086099743843
Qinghai,2045,ssp245,baseline,0.337139248847961
Henan,2045,ssp245,baseline,0.0365092270076275
Jiangsu,2045,ssp245,baseline,0.0311538446694613
Shanghai,2045,ssp245,baseline,0.0357205234467983
Gansu,2045,ssp245,baseline,0.212600320577621
Shanxi,2045,ssp245,baseline,0.107983537018299
Ningxia,2045,ssp245,baseline,0.0681304037570953
Shandong,2045,ssp245,baseline,0.0318295694887638
Hebei,2045,ssp245,baseline,0.0487934686243534
Xinjiang,2045,ssp245,baseline,0.0448094755411148
Inner Mongolia,2045,ssp245,baseline,0.199825435876846
Tianjin,2045,ssp245,baseline,0.0460506156086922
Beijing,2045,ssp245,baseline,0.0200483314692974
Liaoning,2045,ssp245,baseline,0.0579359792172909
Jilin,2045,ssp245,baseline,0.237319335341454
Heilongjiang,2045,ssp245,baseline,0.162054255604744
Hainan,2045,ssp245,trend,0.0593687333166599
Guangdong,2045,ssp245,trend,0.0437735952436924
Yunnan,2045,ssp245,trend,0.0288055706769228
Guangxi,2045,ssp245,trend,0.0291734635829926
Guizhou,2045,ssp245,trend,0.0712738856673241
Fujian,2045,ssp245,trend,0.0344806201756001
Hunan,2045,ssp245,trend,0.0703200101852417
Jiangxi,2045,ssp245,trend,0.0974318236112595
Sichuan,2045,ssp245,trend,0.0299992021173239
Tibet,2045,ssp245,trend,0.147768422961235
Zhejiang,2045,ssp245,trend,0.0332065783441067
Chongqing,2045,ssp245,trend,0.0736651420593262
Hubei,2045,ssp245,trend,0.0534595921635628
Anhui,2045,ssp245,trend,0.0591559410095215
Shaanxi,2045,ssp245,trend,0.0227219276130199
Qinghai,2045,ssp245,trend,0.19955949485302
Henan,2045,ssp245,trend,0.072973720729351
Jiangsu,2045,ssp245,trend,0.0266812816262245
Shanghai,2045,ssp245,trend,0.0694702118635178
Gansu,2045,ssp245,trend,0.17944610118866
Shanxi,2045,ssp245,trend,0.0366462282836437
Ningxia,2045,ssp245,trend,0.143360838294029
Shandong,2045,ssp245,trend,0.0431614406406879
Hebei,2045,ssp245,trend,0.0228237733244896
Xinjiang,2045,ssp245,trend,0.034963745623827
Inner Mongolia,2045,ssp245,trend,0.172199383378029
Tianjin,2045,ssp245,trend,0.044936615973711
Beijing,2045,ssp245,trend,0.0275854989886284
Liaoning,2045,ssp245,trend,0.0365299992263317
Jilin,2045,ssp245,trend,0.105766355991364
Heilongjiang,2045,ssp245,trend,0.170035600662231
Hainan,2045,ssp245,doubled,0.0467171967029572
Guangdong,2045,ssp245,doubled,0.0311044044792652
Yunnan,2045,ssp245,doubled,0.0167627856135368
Guangxi,2045,ssp245,doubled,0.0211909674108028
Guizhou,2045,ssp245,doubled,0.1155876070261
Fujian,2045,ssp245,doubled,0.0448702946305275
Hunan,2045,ssp245,doubled,0.0474353097379208
Jiangxi,2045,ssp245,doubled,0.064285010099411
Sichuan,2045,ssp245,doubled,0.0435939803719521
Tibet,2045,ssp245,doubled,0.0960678607225418
Zhejiang,2045,ssp245,doubled,0.0391251519322395
Chongqing,2045,ssp245,doubled,0.057328637689352
Hubei,2045,ssp245,doubled,0.0362077467143536
Anhui,2045,ssp245,doubled,0.052489161491394
Shaanxi,2045,ssp245,doubled,0.0426668673753738
Qinghai,2045,ssp245,doubled,0.101353615522385
Henan,2045,ssp245,doubled,0.0469543971121311
Jiangsu,2045,ssp245,doubled,0.0314746648073196
Shanghai,2045,ssp245,doubled,0.0468481220304966
Gansu,2045,ssp245,doubled,0.117005251348019
Shanxi,2045,ssp245,doubled,0.0772406235337257
Ningxia,2045,ssp245,doubled,0.0683704987168312
Shandong,2045,ssp245,doubled,0.0318208150565624
Hebei,2045,ssp245,doubled,0.0410285964608192
Xinjiang,2045,ssp245,doubled,0.0436477474868298
Inner Mongolia,2045,ssp245,doubled,0.127258822321892
Tianjin,2045,ssp245,doubled,0.033411517739296
Beijing,2045,ssp245,doubled,0.020651726052165
Liaoning,2045,ssp245,doubled,0.0559898018836975
Jilin,2045,ssp245,doubled,0.193003341555595
Heilongjiang,2045,ssp245,doubled,0.136629819869995
Hainan,2045,ssp585,baseline,0.00400057807564735
Guangdong,2045,ssp585,baseline,0.025576388463378
Yunnan,2045,ssp585,baseline,0.0146046448498964
Guangxi,2045,ssp585,baseline,0.00757343042641878
Guizhou,2045,ssp585,baseline,0.0402609594166279
Fujian,2045,ssp585,baseline,0.0036857477389276
Hunan,2045,ssp585,baseline,0.00363521301187575
Jiangxi,2045,ssp585,baseline,0.00484138773754239
Sichuan,2045,ssp585,baseline,0.0149185657501221
Tibet,2045,ssp585,baseline,0.108259782195091
Zhejiang,2045,ssp585,baseline,0.0033295804169029
Chongqing,2045,ssp585,baseline,0.00568747892975807
Hubei,2045,ssp585,baseline,0.00329118315130472
Anhui,2045,ssp585,baseline,0.00755740562453866
Shaanxi,2045,ssp585,baseline,0.0809706747531891
Qinghai,2045,ssp585,baseline,0.0938136354088783
Henan,2045,ssp585,baseline,0.0123265823349357
Jiangsu,2045,ssp585,baseline,0.00280726980417967
Shanghai,2045,ssp585,baseline,0.00646331859752536
Gansu,2045,ssp585,baseline,0.0281898025423288
Shanxi,2045,ssp585,baseline,0.0241315178573132
Ningxia,2045,ssp585,baseline,0.0314908586442471
Shandong,2045,ssp585,baseline,0.032071340829134
Hebei,2045,ssp585,baseline,0.0721259713172913
Xinjiang,2045,ssp585,baseline,0.0226927604526281
Inner Mongolia,2045,ssp585,baseline,0.0756892710924149
Tianjin,2045,ssp585,baseline,0.0450427010655403
Beijing,2045,ssp585,baseline,0.0259192679077387
Liaoning,2045,ssp585,baseline,0.0149626797065139
Jilin,2045,ssp585,baseline,0.155032232403755
Heilongjiang,2045,ssp585,baseline,0.160860240459442
Hainan,2045,ssp585,trend,0.00252382620237768
Guangdong,2045,ssp585,trend,0.00677732471376658
Yunnan,2045,ssp585,trend,0.00499743595719338
Guangxi,2045,ssp585,trend,0.00631704600527883
Guizhou,2045,ssp585,trend,0.0184330716729164
Fujian,2045,ssp585,trend,0.00405787630006671
Hunan,2045,ssp585,trend,0.00494809821248055
Jiangxi,2045,ssp585,trend,0.00405787630006671
Sichuan,2045,ssp585,trend,0.0118761975318193
Tibet,2045,ssp585,trend,0.0861641094088554
Zhejiang,2045,ssp585,trend,0.00442336685955524
Chongqing,2045,ssp585,trend,0.00416867807507515
Hubei,2045,ssp585,trend,0.00462155090644956
Anhui,2045,ssp585,trend,0.0046988227404654
Shaanxi,2045,ssp585,trend,0.0587015263736248
Qinghai,2045,ssp585,trend,0.11784452944994
Henan,2045,ssp585,trend,0.00910869520157576
Jiangsu,2045,ssp585,trend,0.00423610676079989
Shanghai,2045,ssp585,trend,0.00508971558883786
Gansu,2045,ssp585,trend,0.0449714697897434
Shanxi,2045,ssp585,trend,0.0353470295667648
Ningxia,2045,ssp585,trend,0.0656459033489227
Shandong,2045,ssp585,trend,0.0218318644911051
Hebei,2045,ssp585,trend,0.066903218626976
Xinjiang,2045,ssp585,trend,0.0143010439351201
Inner Mongolia,2045,ssp585,trend,0.0877850204706192
Tianjin,2045,ssp585,trend,0.0308991279453039
Beijing,2045,ssp585,trend,0.032182514667511
Liaoning,2045,ssp585,trend,0.023049334064126
Jilin,2045,ssp585,trend,0.0816189050674439
Heilongjiang,2045,ssp585,trend,0.0749190896749497
Hainan,2045,ssp585,doubled,0.00335380714386702
Guangdong,2045,ssp585,doubled,0.00475286925211549
Yunnan,2045,ssp585,doubled,0.00985642895102501
Guangxi,2045,ssp585,doubled,0.00694342376664281
Guizhou,2045,ssp585,doubled,0.0131240813061595
Fujian,2045,ssp585,doubled,0.00508232461288571
Hunan,2045,ssp585,doubled,0.00585570093244314
Jiangxi,2045,ssp585,doubled,0.00446124561131001
Sichuan,2045,ssp585,doubled,0.0137058729305863
Tibet,2045,ssp585,doubled,0.0960119143128395
Zhejiang,2045,ssp585,doubled,0.00480816420167685
Chongqing,2045,ssp585,doubled,0.00628607673570514
Hubei,2045,ssp585,doubled,0.00511191226541996
Anhui,2045,ssp585,doubled,0.00623960327357054
Shaanxi,2045,ssp585,doubled,0.0461851917207241
Qinghai,2045,ssp585,doubled,0.119878992438316
Henan,2045,ssp585,doubled,0.0100090857595205
Jiangsu,2045,ssp585,doubled,0.00442501762881875
Shanghai,2045,ssp585,doubled,0.00602313643321395
Gansu,2045,ssp585,doubled,0.0284345597028732
Shanxi,2045,ssp585,doubled,0.0264145340770483
Ningxia,2045,ssp585,doubled,0.0401598326861858
