scale_id,climate_id,climate_label,climate_var,effort_id,effort_label,effort_var,model,status,aic,convergence,pdHess,marginal_r2,conditional_r2,delta_aic
province,prec_velocity,Precipitation velocity,precip_velocity_z,record,Record-based (legacy),log_effort_record_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,2.52986803784461
province,prec_velocity,Precipitation velocity,precip_velocity_z,record,Record-based (legacy),log_effort_record_z,M1,ok,4223.96462883746,0,FALSE,0.014604273062956,,2.65882666098696
province,prec_velocity,Precipitation velocity,precip_velocity_z,record,Record-based (legacy),log_effort_record_z,M2,ok,4224.36946965606,0,FALSE,0.00347850002282306,,3.06366747958782
province,prec_velocity,Precipitation velocity,precip_velocity_z,record,Record-based (legacy),log_effort_record_z,M3,ok,4224.61858867546,0,FALSE,0.0174008658933034,,3.31278649899286
province,prec_velocity,Precipitation velocity,precip_velocity_z,record,Record-based (legacy),log_effort_record_z,M4,ok,4221.30580217647,0,FALSE,0.0217629281695413,,0
province,prec_velocity,Precipitation velocity,precip_velocity_z,visits,Observer visits,log_effort_visits_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,5.47445570042055
province,prec_velocity,Precipitation velocity,precip_velocity_z,visits,Observer visits,log_effort_visits_z,M1,ok,4223.96462883746,0,FALSE,0.014604273062956,,5.6034143235629
province,prec_velocity,Precipitation velocity,precip_velocity_z,visits,Observer visits,log_effort_visits_z,M2,ok,4222.89902645142,0,FALSE,0.00778001924313982,,4.53781193752184
province,prec_velocity,Precipitation velocity,precip_velocity_z,visits,Observer visits,log_effort_visits_z,M3,ok,4223.09416203281,0,FALSE,0.0208879093342598,,4.73294751891717
province,prec_velocity,Precipitation velocity,precip_velocity_z,visits,Observer visits,log_effort_visits_z,M4,ok,4218.36121451389,0,FALSE,0.0307297973097316,,0
province,prec_velocity,Precipitation velocity,precip_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,5.55901209106833
province,prec_velocity,Precipitation velocity,precip_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M1,ok,4223.96462883746,0,FALSE,0.014604273062956,,5.68797071421068
province,prec_velocity,Precipitation velocity,precip_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M2,ok,4223.48043787928,0,FALSE,0.0041841048656596,,5.20377975603788
province,prec_velocity,Precipitation velocity,precip_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M3,ok,4223.38403214619,0,FALSE,0.0185056722755139,,5.10737402294035
province,prec_velocity,Precipitation velocity,precip_velocity_z,pc1,PCA composite (PC1),effort_pc1_z,M4,ok,4218.27665812325,0,FALSE,0.0259010251988848,,0
province,prec_velocity,Precipitation velocity,precip_velocity_z,days,Birding days,log_effort_days_z,M0,ok,4223.83567021431,0,FALSE,0.000486835114521117,,1.19405827076571
province,prec_velocity,Precipitation velocity,precip_velocity_z,days,Birding days,log_effort_days_z,M1,ok,4223.96462883746,0,FALSE,0.014604273062956,,1.32301689390806
province,prec_velocity,Precipitation velocity,precip_velocity_z,days,Birding days,log_effort_days_z,M2,ok,4223.96593136789,0,FALSE,0.00501629451316272,,1.32431942434596
province,prec_velocity,Precipitation velocity,precip_velocity_z,days,Birding days,log_effort_days_z,M3,ok,4224.22818825187,0,FALSE,0.0183318223502819,,1.58657630832568
province,prec_velocity,Precipitation velocity,precip_velocity_z,days,Birding days,log_effort_days_z,M4,ok,4222.64161194355,0,FALSE,0.0245084459462993,,0
grid100,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,M0,ok,11.0616680267408,1,FALSE,6.17562667876825e-08,0.999781020990601,0
grid100,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,M1,ok,13.0615650590589,0,FALSE,0.000464944447497477,,1.99989703231813
grid100,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,M2,ok,13.0616404158891,1,FALSE,0.00032015329671381,,1.9999723891483
grid100,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,M3,ok,15.0615382100823,0,FALSE,0.00050540644807192,,3.9998701833415
grid100,temp_grad,Temperature gradient,temp_grad_z,record,Record-based (legacy),log_effort_record_z,M4,ok,17.061527838232,0,FALSE,0.000471249637297869,,5.99985981149121
grid100,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,M0,ok,11.0616680267408,1,FALSE,6.17562667876825e-08,0.999781020990601,0
grid100,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,M1,ok,13.0615650590589,0,FALSE,0.000464944447497477,,1.99989703231813
grid100,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,M2,ok,13.0616553405166,0,FALSE,6.22954658402141e-08,0.999781045250497,1.99998731377582
grid100,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,M3,ok,15.0615521543605,0,FALSE,0.00047371172028385,,3.99988412761968
grid100,temp_grad,Temperature gradient,temp_grad_z,visits,Observer visits,log_effort_visits_z,M4,ok,17.0615069311534,0,FALSE,0.000453374309969715,,5.99983890441263
grid100,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,M0,ok,11.0616680267408,1,FALSE,6.17562667876825e-08,0.999781020990601,0
grid100,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,M1,ok,13.0615650590589,0,FALSE,0.000464944447497477,,1.99989703231813
grid100,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,M2,ok,13.0616532418553,0,FALSE,0.00028173324538654,,1.99998521511452
grid100,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,M3,ok,15.0615456938649,0,FALSE,0.000472412584881963,,3.99987766712411
grid100,temp_grad,Temperature gradient,temp_grad_z,pc1,PCA composite (PC1),effort_pc1_z,M4,ok,17.0615199143722,0,FALSE,0.000458756682540713,,5.99985188763139
grid100,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,M0,ok,11.0616680267408,1,FALSE,6.17562667876825e-08,0.999781020990601,0
grid100,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,M1,ok,13.0615650590589,0,FALSE,0.000464944447497477,,1.99989703231813
grid100,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,M2,ok,,0,FALSE,0.000287870070197545,,
grid100,temp_grad,Temperature gradient,temp_grad_z,days,Birding days,log_effort_days_z,M3,ok,15.061551973874,0,FALSE,1.03944184400492e-07,0.999780940547805,3.99988394713319
