species,order_occurrence,family_occurrence,longitude,latitude
Tragopan caboti,GALLIFORMES,Phasianidae,109.3,25.2
Tragopan caboti,GALLIFORMES,Phasianidae,109.3,25.2
Tragopan temminckii,GALLIFORMES,Phasianidae,109.3,25.2
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.2,25.2
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.2,25.2
Tragopan caboti,GALLIFORMES,Phasianidae,110.2,25.2
Tragopan temminckii,GALLIFORMES,Phasianidae,110.2,25.2
Tragopan temminckii,GALLIFORMES,Phasianidae,110.2,25.2
Bambusicola thoracica,GALLIFORMES,Phasianidae,110.5,25.2
Chrysolophus pictus,GALLIFORMES,Phasianidae,110.5,25.2
Lophura nycthemera,GALLIFORMES,Phasianidae,110.5,25.2
Phasianus colchicus,GALLIFORMES,Phasianidae,110.5,25.2
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.5,25.2
Tragopan temminckii,GALLIFORMES,Phasianidae,110.5,25.2
Chrysolophus pictus,GALLIFORMES,Phasianidae,110.9,25.2
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.9,25.2
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.9,25.2
Phasianus colchicus,GALLIFORMES,Phasianidae,98.8,25.20833
Arborophila gingica,GALLIFORMES,Phasianidae,108.95,25.20833
Arborophila gingica,GALLIFORMES,Phasianidae,108.95,25.20833
Tragopan caboti,GALLIFORMES,Phasianidae,110.5,25.21667
Tragopan caboti,GALLIFORMES,Phasianidae,110.5,25.21667
Arborophila gingica,GALLIFORMES,Phasianidae,108.71667,25.225
Bambusicola fytchii,GALLIFORMES,Phasianidae,98.8,25.23333
Tragopan caboti,GALLIFORMES,Phasianidae,110.70833,25.23333
Accipiter nisus,FALCONIFORMES,Accipitridae,98.499,25.243
Accipiter trivirgatus,FALCONIFORMES,Accipitridae,98.499,25.243
Actinodura waldeni,PASSERIFORMES,Sylviidae,98.499,25.243
Aquila chrysaetos,FALCONIFORMES,Accipitridae,98.499,25.243
Aquila clanga,FALCONIFORMES,Accipitridae,98.499,25.243
Asio flammeus,STRIGIFORMES,Strigidae,98.499,25.243
Buteo buteo,FALCONIFORMES,Accipitridae,98.499,25.243
Centropus bengalensis,CUCULIFORMES,Cuculidae,98.499,25.243
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,98.499,25.243
Ciconia nigra,CICONIIFORMES,Pelecanidae,98.499,25.243
Circus cyaneus,FALCONIFORMES,Accipitridae,98.499,25.243
Circus melanoleucos,FALCONIFORMES,Accipitridae,98.499,25.243
Elanus caeruleus,FALCONIFORMES,Accipitridae,98.499,25.243
Falco subbuteo,CICONIIFORMES,Falconidae,98.499,25.243
Falco tinnunculus,CICONIIFORMES,Falconidae,98.499,25.243
Glaucidium cuculoides,STRIGIFORMES,Strigidae,98.499,25.243
Gyps himalayensis,FALCONIFORMES,Accipitridae,98.499,25.243
Haliastur indus,FALCONIFORMES,Accipitridae,98.499,25.243
Heterophasia gracilis,PASSERIFORMES,Sylviidae,98.499,25.243
Heterophasia pulchella,PASSERIFORMES,Sylviidae,98.499,25.243
Ithaginis cruentus,GALLIFORMES,Phasianidae,98.499,25.243
Ketupa zeylonensis,STRIGIFORMES,Strigidae,98.499,25.243
Lophura nycthemera,GALLIFORMES,Phasianidae,98.499,25.243
Milvus lineatus,FALCONIFORMES,Accipitridae,98.499,25.243
Otus bakkamoena,STRIGIFORMES,Strigidae,98.499,25.243
Paradoxornis brunneus,PASSERIFORMES,Sylviidae,98.499,25.243
Pavo muticus,GALLIFORMES,Phasianidae,98.499,25.243
Pernis ptilorhynchus,FALCONIFORMES,Accipitridae,98.499,25.243
Porzana bicolor,GRUIFORMES,Rallidae,98.499,25.243
Psittacula alexandri,PSITTACIFORMES,Psittacidae,98.499,25.243
Psittacula roseata,PSITTACIFORMES,Psittacidae,98.499,25.243
Sarcogyps calvus,FALCONIFORMES,Accipitridae,98.499,25.243
Sitta yunnanensis,PASSERIFORMES,Sittidae,98.499,25.243
Spilornis cheela,FALCONIFORMES,Accipitridae,98.499,25.243
Strix aluco,STRIGIFORMES,Strigidae,98.499,25.243
Syrmaticus humiae,GALLIFORMES,Phasianidae,98.499,25.243
Tragopan temminckii,GALLIFORMES,Phasianidae,98.499,25.243
Treron sphenura,COLUMBIFORMES,Columbidae,98.499,25.243
Alcippe ruficapilla,PASSERIFORMES,Sylviidae,98.43996,25.24493
Ithaginis cruentus,GALLIFORMES,Phasianidae,98.43996,25.24493
Paradoxornis brunneus,PASSERIFORMES,Sylviidae,98.43996,25.24493
Sitta yunnanensis,PASSERIFORMES,Sittidae,98.43996,25.24493
Turdus mupinensis,PASSERIFORMES,Muscicapidae,98.43996,25.24493
Dryocopus javensis,PICIFORMES,Picidae,98.7,25.25
Tragopan temminckii,GALLIFORMES,Phasianidae,98.7,25.25
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,102.30833,25.25
Lophura nycthemera,GALLIFORMES,Phasianidae,107.63333,25.25
Syrmaticus humiae,GALLIFORMES,Phasianidae,100.3,25.26667
Syrmaticus ellioti,GALLIFORMES,Phasianidae,109.78333,25.26667
Tragopan caboti,GALLIFORMES,Phasianidae,109.78333,25.26667
Tragopan caboti,GALLIFORMES,Phasianidae,109.78333,25.26667
Bambusicola thoracica,GALLIFORMES,Phasianidae,110.26667,25.26667
Coturnix japonica,GALLIFORMES,Phasianidae,110.26667,25.26667
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110.26667,25.26667
Phasianus colchicus,GALLIFORMES,Phasianidae,110.26667,25.26667
Grus nigricollis,GRUIFORMES,Gruidae,103.51238,25.28175
Arborophila gingica,GALLIFORMES,Phasianidae,109.16667,25.28333
Chrysolophus pictus,GALLIFORMES,Phasianidae,108.14618,25.28373
Sitta magna,PASSERIFORMES,Sittidae,99.31724,25.28772
Sitta yunnanensis,PASSERIFORMES,Sittidae,99.31724,25.28772
Syrmaticus humiae,GALLIFORMES,Phasianidae,99.31724,25.28772
Tragopan caboti,GALLIFORMES,Phasianidae,110.78191,25.28955
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,103,25.3
Bambusicola fytchii,GALLIFORMES,Phasianidae,106.1,25.3
Phasianus colchicus,GALLIFORMES,Phasianidae,106.1,25.3
Lophura nycthemera,GALLIFORMES,Phasianidae,107.4,25.3
Arborophila gingica,GALLIFORMES,Phasianidae,108.6,25.3
Lophura nycthemera,GALLIFORMES,Phasianidae,110.5,25.3
Tragopan caboti,GALLIFORMES,Phasianidae,114.3,25.3
Francolinus pintadeanus,GALLIFORMES,Phasianidae,98.8,25.30833
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,101.53333,25.31667
Lophura nycthemera,GALLIFORMES,Phasianidae,101.53333,25.31667
Acrocephalus sorghophilus,PASSERIFORMES,Sylviidae,118.51115,25.32007
Syrmaticus humiae,GALLIFORMES,Phasianidae,102.22405,25.32343
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,102.5,25.33333
Tragopan caboti,GALLIFORMES,Phasianidae,110.85042,25.33991
Anthracoceros albirostris,BUCEROTIFORMES,Bucerotidae,100.13,25.34
Aquila chrysaetos,FALCONIFORMES,Accipitridae,100.13,25.34
Aquila clanga,FALCONIFORMES,Accipitridae,100.13,25.34
Buteo buteo,FALCONIFORMES,Accipitridae,100.13,25.34
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,100.13,25.34
Ciconia nigra,CICONIIFORMES,Pelecanidae,100.13,25.34
Elanus caeruleus,FALCONIFORMES,Accipitridae,100.13,25.34
Falco tinnunculus,CICONIIFORMES,Falconidae,100.13,25.34
Gallus gallus,GALLIFORMES,Phasianidae,100.13,25.34
Glaucidium brodiei,STRIGIFORMES,Strigidae,100.13,25.34
Glaucidium cuculoides,STRIGIFORMES,Strigidae,100.13,25.34
Lophura nycthemera,GALLIFORMES,Phasianidae,100.13,25.34
Pavo muticus,GALLIFORMES,Phasianidae,100.13,25.34
Psittacula derbiana,PSITTACIFORMES,Psittacidae,100.13,25.34
Syrmaticus humiae,GALLIFORMES,Phasianidae,100.13,25.34
Treron sphenura,COLUMBIFORMES,Columbidae,100.13,25.34
Falco naumanni,CICONIIFORMES,Falconidae,103.14705,25.34582
Sitta magna,PASSERIFORMES,Sittidae,103.14705,25.34582
Sitta yunnanensis,PASSERIFORMES,Sittidae,103.14705,25.34582
Garrulax canorus,PASSERIFORMES,Sylviidae,118.97354,25.357
Spizixos semitorques,PASSERIFORMES,Pycnonotidae,118.97354,25.357
Arborophila gingica,GALLIFORMES,Phasianidae,108.2,25.35833
Grus nigricollis,GRUIFORMES,Gruidae,103.94883,25.35954
Sitta yunnanensis,PASSERIFORMES,Sittidae,100.89309,25.39555
Syrmaticus humiae,GALLIFORMES,Phasianidae,99.5,25.4
Syrmaticus humiae,GALLIFORMES,Phasianidae,99.6,25.4
Francolinus pintadeanus,GALLIFORMES,Phasianidae,106.4,25.4
Phasianus colchicus,GALLIFORMES,Phasianidae,106.4,25.4
Bambusicola fytchii,GALLIFORMES,Phasianidae,106.7,25.4
Phasianus colchicus,GALLIFORMES,Phasianidae,106.7,25.4
Lophura nycthemera,GALLIFORMES,Phasianidae,107.86667,25.4
Syrmaticus ellioti,GALLIFORMES,Phasianidae,107.86667,25.4
Lophura nycthemera,GALLIFORMES,Phasianidae,108.8,25.4
Chrysolophus pictus,GALLIFORMES,Phasianidae,109.6,25.4
Syrmaticus ellioti,GALLIFORMES,Phasianidae,109.6,25.4
Tragopan temminckii,GALLIFORMES,Phasianidae,109.6,25.4
Coturnix japonica,GALLIFORMES,Phasianidae,110.26667,25.4
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.3,25.4
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.3,25.4
Tragopan caboti,GALLIFORMES,Phasianidae,110.3,25.4
Tragopan temminckii,GALLIFORMES,Phasianidae,110.3,25.4
Chrysolophus pictus,GALLIFORMES,Phasianidae,110.5,25.4
Lophura nycthemera,GALLIFORMES,Phasianidae,110.5,25.4
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.5,25.4
Tragopan temminckii,GALLIFORMES,Phasianidae,111.1,25.4
Phasianus colchicus,GALLIFORMES,Phasianidae,112.95,25.4
Syrmaticus ellioti,GALLIFORMES,Phasianidae,112.95,25.4
Dicrurus remifer,PASSERIFORMES,Corvidae,99.96889,25.42908
Pavo muticus,GALLIFORMES,Phasianidae,99.96889,25.42908
Phalacrocorax niger,CICONIIFORMES,Phalacrocoracidae,99.96889,25.42908
Sitta magna,PASSERIFORMES,Sittidae,99.96889,25.42908
Syrmaticus humiae,GALLIFORMES,Phasianidae,99.96889,25.42908
Anthus sylvanus,PASSERIFORMES,Passeridae,100.05,25.43
Hirundo rustica gutturalis,PASSERIFORMES,Hirundinidae,100.05,25.43
Phasianus colchicus,GALLIFORMES,Phasianidae,105.18333,25.43333
Bambusicola thoracica,GALLIFORMES,Phasianidae,110.3,25.43333
Coturnix japonica,GALLIFORMES,Phasianidae,110.3,25.43333
Francolinus pintadeanus,GALLIFORMES,Phasianidae,110.3,25.43333
Phasianus colchicus,GALLIFORMES,Phasianidae,110.3,25.43333
Alcippe variegaticeps,PASSERIFORMES,Sylviidae,110.07555,25.43524
Alcippe ruficapilla,PASSERIFORMES,Sylviidae,98.35625,25.43656
Carpodacus vinaceus,PASSERIFORMES,Fringillidae,98.35625,25.43656
Garrulax canorus,PASSERIFORMES,Sylviidae,98.35625,25.43656
Paradoxornis brunneus,PASSERIFORMES,Sylviidae,98.35625,25.43656
Sitta yunnanensis,PASSERIFORMES,Sittidae,98.35625,25.43656
Yuhina diademata,PASSERIFORMES,Sylviidae,98.35625,25.43656
Aythya nyroca,ANSERIFORMES,Anatidae,102.59701,25.44824
Yellow-rumped Honeyguide,PICIFORMES,Indicatoridae,102.59701,25.44824
Sitta magna,PASSERIFORMES,Sittidae,102.59702,25.44824
Sitta yunnanensis,PASSERIFORMES,Sittidae,101.31082,25.45011
Syrmaticus humiae,GALLIFORMES,Phasianidae,101.31082,25.45011
Niltara hainana,PASSERIFORMES,Muscicapidae,109.1089,25.47392
Accipiter nisus,FALCONIFORMES,Accipitridae,100.749,25.48
Certhia himalayana yunnanensis,PASSERIFORMES,Certhiidae,98.51,25.49
Chaimarrornis leucocephalus,PASSERIFORMES,Muscicapidae,98.51,25.49
Chrysomma sinense sinense,PASSERIFORMES,Sylviidae,98.51,25.49
Coracina novaehollandiae siamensis,CICONIIFORMES,Ardeidae,98.51,25.49
Corvus macrorhynchos tibetosinensis,PASSERIFORMES,Corvidae,98.51,25.49
Dicrurus leucophaeus hopwoodi,PASSERIFORMES,Dicruridae,98.51,25.49
Emberiza pusilla,PASSERIFORMES,Fringillidae,98.51,25.49
Enicurus maculatus guttatus,PASSERIFORMES,Muscicapidae,98.51,25.49
Falco tinnunculus,CICONIIFORMES,Falconidae,98.51,25.49
Garrulax cineraceus strenuus,PASSERIFORMES,Sylviidae,98.51,25.49
Melophus lathami lathami,PASSERIFORMES,Fringillidae,98.51,25.49
Minla cyanouroptera wingatei,PASSERIFORMES,Sylviidae,98.51,25.49
Monticola solitarius pandoo,PASSERIFORMES,Muscicapidae,98.51,25.49
Motacilla alba alboides,PASSERIFORMES,Motacillidae,98.51,25.49
Parus major subtibetanus,PASSERIFORMES,Paridae,98.51,25.49
Passer montanus malaccensis,PASSERIFORMES,Motacidae,98.51,25.49
Pericrocotus ethologus ethologus,PASSERIFORMES,Motacillidae,98.51,25.49
Pericrocotus flammeus elegans,PASSERIFORMES,Motacillidae,98.51,25.49
Pomatorhinus ruficollis similis,PASSERIFORMES,Sylviidae,98.51,25.49
Pteruthius melanotis melanotis,PASSERIFORMES,Sylviidae,98.51,25.49
Pycnonotus cafer stanfordi,PASSERIFORMES,Pycnonotidae,98.51,25.49
Pycnonotus xanthorrhous xanthorrhous,PASSERIFORMES,Pycnonotidae,98.51,25.49
Saxicola ferrea ferrea,PASSERIFORMES,Muscicapidae,98.51,25.49
Saxicola torquata przewalskii,PASSERIFORMES,Muscicapidae,98.51,25.49
Sitta europaea,PASSERIFORMES,Sittidae,98.51,25.49
Tichodroma muraria nepalensis,PASSERIFORMES,Sittidae,98.51,25.49
Timalia pileata smithi,PASSERIFORMES,Sylviidae,98.51,25.49
Turdus naumanni eunomus,PASSERIFORMES,Muscicapidae,98.51,25.49
Yuhina castaniceps plumbeiceps,PASSERIFORMES,Sylviidae,98.51,25.49
Zosterops palpebrosa,PASSERIFORMES,Zosteropidae,98.51,25.49
Spizixos semitorques,PASSERIFORMES,Pycnonotidae,110.08788,25.49465
Pavo muticus,GALLIFORMES,Phasianidae,98.7,25.5
Sarcogyps calvus,FALCONIFORMES,Accipitridae,98.7,25.5
Sitta yunnanensis,PASSERIFORMES,Sittidae,98.7,25.5
Syrmaticus humiae,GALLIFORMES,Phasianidae,98.7,25.5
Pavo muticus,GALLIFORMES,Phasianidae,101.2,25.5
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,103.2,25.5
Coturnix japonica,GALLIFORMES,Phasianidae,103.2,25.5
Phasianus colchicus,GALLIFORMES,Phasianidae,103.2,25.5
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,103.8,25.5
Arborophila brunneopectus,GALLIFORMES,Phasianidae,107,25.5
Syrmaticus ellioti,GALLIFORMES,Phasianidae,109.9,25.5
Tragopan temminckii,GALLIFORMES,Phasianidae,109.9,25.5
Chrysolophus pictus,GALLIFORMES,Phasianidae,110.2,25.5
Lophura nycthemera,GALLIFORMES,Phasianidae,110.2,25.5
Pucrasia macrolopha,GALLIFORMES,Phasianidae,110.2,25.5
Syrmaticus ellioti,GALLIFORMES,Phasianidae,110.2,25.5
Tragopan caboti,GALLIFORMES,Phasianidae,111.5,25.5
Garrulax elliotii,PASSERIFORMES,Sylviidae,110.11841,25.50386
Gallus gallus,GALLIFORMES,Phasianidae,101.21667,25.51667
Lophura nycthemera,GALLIFORMES,Phasianidae,101.21667,25.51667
Phasianus colchicus,GALLIFORMES,Phasianidae,111.55,25.51667
Accipiter nisus,FALCONIFORMES,Accipitridae,98.52,25.52
Aquila chrysaetos,FALCONIFORMES,Accipitridae,98.52,25.52
Aquila clanga,FALCONIFORMES,Accipitridae,98.52,25.52
Babax lanceolatus lanceolatus,PASSERIFORMES,Sylviidae,98.52,25.52
Buteo buteo,FALCONIFORMES,Accipitridae,98.52,25.52
Buteo buteo,FALCONIFORMES,Accipitridae,98.52,25.52
Caprimulgus indicus jotaka,CAPRIMULGIFORMES,Caprimulgidae,98.52,25.52
Carduelis ambigua ambigua,PASSERIFORMES,Fringillidae,98.52,25.52
Ceryle lugubris guttulata,CORACIIFORMES,Alcedinidae,98.52,25.52
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,98.52,25.52
Cuculus canorus bakeri,CUCULIFORMES,Cuculidae,98.52,25.52
Dicrurus macrocercus cathoecus,PASSERIFORMES,Dicruridae,98.52,25.52
Dryocopus javensis,PICIFORMES,Picidae,98.52,25.52
Falco tinnunculus,CICONIIFORMES,Falconidae,98.52,25.52
Falco tinnunculus,CICONIIFORMES,Falconidae,98.52,25.52
Glaucidium brodiei,STRIGIFORMES,Strigidae,98.52,25.52
Glaucidium cuculoides,STRIGIFORMES,Strigidae,98.52,25.52
Gyps himalayensis,FALCONIFORMES,Accipitridae,98.52,25.52
Hypsipetes mcclellandii similis,PASSERIFORMES,Pycnonotidae,98.52,25.52
Ithaginis cruentus,GALLIFORMES,Phasianidae,98.52,25.52
Leiothrix lutea yunnanensis,PASSERIFORMES,Old World babbler,98.52,25.52
Lophura leucomelana,GALLIFORMES,Phasianidae,98.52,25.52
Lophura nycthemera,GALLIFORMES,Phasianidae,98.52,25.52
Minla cyanouroptera wingatei,PASSERIFORMES,Sylviidae,98.52,25.52
Myiophoneus caeruleus eugenei,PASSERIFORMES,Muscicapidae,98.52,25.52
Pavo muticus,GALLIFORMES,Phasianidae,98.52,25.52
Pericrocotus ethologus ethologus,PASSERIFORMES,Motacillidae,98.52,25.52
Pericrocotus flammeus elegans,PASSERIFORMES,Motacillidae,98.52,25.52
Phasianus colchicus elegans,GALLIFORMES,Phasianidae,98.52,25.52
Pica pica sericea,PASSERIFORMES,Corvidae,98.52,25.52
Picoides canicapillus omissus,PICIFORMES,Picidae,98.52,25.52
Pomatorhinus erythrogenys odicus,PASSERIFORMES,Sylviidae,98.52,25.52
Pucrasia macrolopha,GALLIFORMES,Phasianidae,98.52,25.52
Rhipidura albicollis albicollis,PASSERIFORMES,Corvidae,98.52,25.52
Streptopelia chinensis tigrina,COLUMBIFORMES,Columbidae,98.52,25.52
Streptopelia orientalis orientalis,COLUMBIFORMES,Columbidae,98.52,25.52
Tichodroma muraria nepalensis,PASSERIFORMES,Sittidae,98.52,25.52
Tragopan blythii,GALLIFORMES,Phasianidae,98.52,25.52
Tragopan temminckii,GALLIFORMES,Phasianidae,98.52,25.52
Treron sphenura,COLUMBIFORMES,Columbidae,98.52,25.52
Alcedo atthis bengalensis,CORACIIFORMES,Alcedinidae,100.09,25.52
Anas strepera strepera,ANSERIFORMES,Anatidae,100.09,25.52
Anser anser,ANSERIFORMES,Anatidae,100.09,25.52
Aythya fuligula,ANSERIFORMES,Anatidae,100.09,25.52
Circus cyaneus cyaneus,FALCONIFORMES,Accipitridae,100.09,25.52
Fulica atra atra,GRUIFORMES,Rallidae,100.09,25.52
Fulica atra atra,GRUIFORMES,Rallidae,100.09,25.52
Larus ridibundus,CICONIIFORMES,Laridae,100.09,25.52
Netta rufina,ANSERIFORMES,Anatidae,100.09,25.52
Podiceps cristatus cristatus,COLYMBIFORMES,Copymdidae,100.09,25.52
Podiceps ruficollis poggei,COLYMBIFORMES,Copymdidae,100.09,25.52
Tadorna ferruginea,ANSERIFORMES,Anatidae,100.09,25.52
Tadorna ferruginea,ANSERIFORMES,Anatidae,100.09,25.52
Tadorna ferruginea,ANSERIFORMES,Anatidae,100.09,25.52
Tadorna ferruginea,ANSERIFORMES,Anatidae,100.09,25.52
Tragopan caboti,GALLIFORMES,Phasianidae,111.3,25.53333
Accipiter nisus,FALCONIFORMES,Accipitridae,98.7,25.54
Accipiter trivirgatus,FALCONIFORMES,Accipitridae,98.7,25.54
Actinodura waldeni,PASSERIFORMES,Sylviidae,98.7,25.54
Aquila chrysaetos,FALCONIFORMES,Accipitridae,98.7,25.54
Aquila clanga,FALCONIFORMES,Accipitridae,98.7,25.54
Aythya baeri,ANSERIFORMES,Anatidae,98.7,25.54
Buteo buteo,FALCONIFORMES,Accipitridae,98.7,25.54
Centropus bengalensis,CUCULIFORMES,Cuculidae,98.7,25.54
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,98.7,25.54
Ciconia nigra,CICONIIFORMES,Pelecanidae,98.7,25.54
Circus cyaneus,FALCONIFORMES,Accipitridae,98.7,25.54
Circus melanoleucos,FALCONIFORMES,Accipitridae,98.7,25.54
Elanus caeruleus,FALCONIFORMES,Accipitridae,98.7,25.54
Falco subbuteo,CICONIIFORMES,Falconidae,98.7,25.54
Glaucidium brodiei,STRIGIFORMES,Strigidae,98.7,25.54
Glaucidium cuculoides,STRIGIFORMES,Strigidae,98.7,25.54
Grus grus,GRUIFORMES,Gruidae,98.7,25.54
Gyps himalayensis,FALCONIFORMES,Accipitridae,98.7,25.54
Haliastur indus,FALCONIFORMES,Accipitridae,98.7,25.54
Harpactes wardi,TROGONIFORMES,Trogonidae,98.7,25.54
Heterophasia pulchella,PASSERIFORMES,Sylviidae,98.7,25.54
Ithaginis cruentus,GALLIFORMES,Phasianidae,98.7,25.54
Ketupa zeylonensis,STRIGIFORMES,Strigidae,98.7,25.54
Lophura nycthemera,GALLIFORMES,Phasianidae,98.7,25.54
Merops orientalis,CORACIIFORMES,Meropidae,98.7,25.54
Otus bakkamoena,STRIGIFORMES,Strigidae,98.7,25.54
Pavo muticus,GALLIFORMES,Phasianidae,98.7,25.54
Psarisomus dalhousiae,PASSERIFORMES,Eurylaimidae,98.7,25.54
Sarcogyps calvus,FALCONIFORMES,Accipitridae,98.7,25.54
Sitta yunnanensis,PASSERIFORMES,Sittidae,98.7,25.54
Strix aluco,STRIGIFORMES,Strigidae,98.7,25.54
Syrmaticus humiae,GALLIFORMES,Phasianidae,98.7,25.54
Tragopan temminckii,GALLIFORMES,Phasianidae,98.7,25.54
Treron sphenura,COLUMBIFORMES,Columbidae,98.7,25.54
Alcippe ruficapilla,PASSERIFORMES,Sylviidae,100.40459,25.54516
Carpodacus vinaceus,PASSERIFORMES,Fringillidae,100.40459,25.54516
Sitta yunnanensis,PASSERIFORMES,Sittidae,100.40459,25.54516
Lophura nycthemera,GALLIFORMES,Phasianidae,102.43333,25.55
Syrmaticus humiae,GALLIFORMES,Phasianidae,102.43333,25.55
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,100.21667,25.56667
Ithaginis cruentus,GALLIFORMES,Phasianidae,102.43333,25.56667
Actinodura waldeni saturatior,PASSERIFORMES,Muscicapidae,98.41,25.57
Aegithalos concinnus talifuensis,PASSERIFORMES,Paridae,98.41,25.57
Aethopyga nipalensis koelzi,PASSERIFORMES,Nectariniidae,98.41,25.57
Aethopyga nipalensis koelzi,PASSERIFORMES,Nectariniidae,98.41,25.57
Alcippe dubia intermedia,PASSERIFORMES,Sylviidae,98.41,25.57
Alcippe morrisonia fraterculus,PASSERIFORMES,Sylviidae,98.41,25.57
Alcippe morrisonia fraterculus,PASSERIFORMES,Sylviidae,98.41,25.57
Arborophila torqueola batemani,GALLIFORMES,Phasianidae,98.41,25.57
Bambusicola fytchii fytchii,GALLIFORMES,Phasianidae,98.41,25.57
Blythipicus pyrrhotis pyrrhotis,PICIFORMES,Picidae,98.41,25.57
Carduelis ambigua ambigua,PASSERIFORMES,Fringillidae,98.41,25.57
Carduelis thibetana,PASSERIFORMES,Fringillidae,98.41,25.57
Carpodacus nipalensis nipalensis,PASSERIFORMES,Fringillidae,98.41,25.57
Certhia nipalensis,PASSERIFORMES,Certhiidae,98.41,25.57
Chaimarrornis leucocephalus,PASSERIFORMES,Muscicapidae,98.41,25.57
Chloropsis hardwickii hardwickii,PASSERIFORMES,Irenidae,98.41,25.57
Chrysolophus amherstiae,GALLIFORMES,Phasianidae,98.41,25.57
Cinclus pallasii pallasii,PASSERIFORMES,Cinclidae,98.41,25.57
Cutia nipalensis nipalensis,PASSERIFORMES,Sylviidae,98.41,25.57
Dicrurus leucophaeus hopwoodi,PASSERIFORMES,Dicruridae,98.41,25.57
Emberiza pusilla,PASSERIFORMES,Fringillidae,98.41,25.57
Enicurus maculatus guttatus,PASSERIFORMES,Muscicapidae,98.41,25.57
Enicurus maculatus guttatus,PASSERIFORMES,Muscicapidae,98.41,25.57
Falco tinnunculus,CICONIIFORMES,Falconidae,98.41,25.57
Fringilla montifringilla,PASSERIFORMES,Fringillidae,98.41,25.57
Garrulax affinis oustaleti,PASSERIFORMES,Sylviidae,98.41,25.57
Garrulax caerulatus latifrons,PASSERIFORMES,Sylviidae,98.41,25.57
Garrulax erythrocephalus woodi,PASSERIFORMES,Sylviidae,98.41,25.57
Garrulax striatus cranbrooki,PASSERIFORMES,Sylviidae,98.41,25.57
Garrulax subunicolor griseatus,PASSERIFORMES,Sylviidae,98.41,25.57
Harpactes erythrocephalus helenae,TROGONIFORMES,Trogonidae,98.41,25.57
Heterophasia pulchella,PASSERIFORMES,Sylviidae,98.41,25.57
Hypsipetes mcclellandii similis,PASSERIFORMES,Pycnonotidae,98.41,25.57
Lanius tephronotus tephronotus,PASSERIFORMES,Laniidae,98.41,25.57
Lonchura punctulata yunnanensis,PASSERIFORMES,Passeridae,98.41,25.57
Lophura nycthemera fokiensis,GALLIFORMES,Phasianidae,98.41,25.57
Lophura nycthemera occidentalis,GALLIFORMES,Phasianidae,98.41,25.57
Megalaima franklinii franklinii,PICIFORMES,Picidae,98.41,25.57
Minla ignotincta ignotincta,PASSERIFORMES,Sylviidae,98.41,25.57
Minla strigula yunnanensis,PASSERIFORMES,Sylviidae,98.41,25.57
Motacilla alba alboides,PASSERIFORMES,Motacillidae,98.41,25.57
Myzornis pyrrhoura,PASSERIFORMES,Sylviidae,98.41,25.57
Paradoxornis unicolor,PASSERIFORMES,Sylviidae,98.41,25.57
Parus monticolus yunnanensis,PASSERIFORMES,Paridae,98.41,25.57
Parus spilonotus spilonotus,PASSERIFORMES,Paridae,98.41,25.57
Parus spilonotus spilonotus,PASSERIFORMES,Paridae,98.41,25.57
Passer montanus malaccensis,PASSERIFORMES,Motacidae,98.41,25.57
Passer rutilans intensior,PASSERIFORMES,Motacidae,98.41,25.57
Phoenicurus auroreus,PASSERIFORMES,Muscicapidae,98.41,25.57
Phoenicurus frontalis,PASSERIFORMES,Muscicapidae,98.41,25.57
Picoides canicapillus omissus,PICIFORMES,Picidae,98.41,25.57
Picoides cathpharius ludlowi,PICIFORMES,Picidae,98.41,25.57
Picoides darjellensis desmursi,PICIFORMES,Picidae,98.41,25.57
Pinicola subhimachala,PASSERIFORMES,Fringillidae,98.41,25.57
Pomatorhinus ruficollis similis,PASSERIFORMES,Sylviidae,98.41,25.57
Prunella immaculata,PASSERIFORMES,Passeridae,98.41,25.57
Pycnonotus xanthorrhous xanthorrhous,PASSERIFORMES,Pycnonotidae,98.41,25.57
Pyrrhoplectes epauletta,PASSERIFORMES,Fringillidae,98.41,25.57
Rhipidura hypoxantha,PASSERIFORMES,Corvidae,98.41,25.57
Saxicola ferrea ferrea,PASSERIFORMES,Muscicapidae,98.41,25.57
Saxicola torquata przewalskii,PASSERIFORMES,Muscicapidae,98.41,25.57
Sitta himalayensis,PASSERIFORMES,Sittidae,98.41,25.57
