"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group","z_log_mass","z_range_size"
"Ceyx erithaca","Coraciiformes",0,0,17.79,"1","Carnivore",8.98,102.67,"RV",4,"NT",1.25017594808392,"Resident/low mobility","NT","NT",-0.818518518046188,-0.67699807807621
"Halcyon coromanda","Coraciiformes",1,1,77.5,"3","Carnivore",14.22,113.04,"RSWP",15,"LC",1.88930170250631,"Full migrant","LC","LC/NE",0.0296692139117915,0.299578530327688
"Halcyon pileata","Coraciiformes",1,1,83.99,"2","Carnivore",31.18,111.53,"RS",31,"VU",1.92422758126012,"Partial migrant","Threatened","Threatened/DD",0.0760195630908883,1.720053597097
"Halcyon smyrnensis","Coraciiformes",5,1,91.4,"2","Carnivore",21.21,83.74,"RV",17,"LC",1.96094619573383,"Partial migrant","LC","LC/NE",0.124749062904654,0.477137913673852
"Megaceryle lugubris","Coraciiformes",3,1,270.99,"1","Carnivore",29.15,109.71,"R",27,"LC",2.43295326495208,"Resident/low mobility","LC","LC/NE",0.751152556643039,1.36493483040467
"Pelargopsis capensis","Coraciiformes",0,0,178.68,"2","Carnivore",13.61,97.66,"R",1,"LC",2.2520759437998,"Partial migrant","LC","LC/NE",0.511109147768923,-0.943337153095455
"Todiramphus chloris","Coraciiformes",1,1,66.09,"1","Carnivore",0.66,114.99,"V",4,"LC",1.82013575187043,"Resident/low mobility","LC","LC/NE",-0.0621213459156474,-0.67699807807621
"Coracias garrulus","Coraciiformes",1,1,146,"3","Carnivore",43.92,43.17,"S",2,"LC",2.16435285578444,"Full migrant","LC","LC/NE",0.394691296431754,-0.854557461422374
"Eurystomus orientalis","Coraciiformes",0,0,143.02,"3","Carnivore",14.36,121.24,"SWP",31,"LC",2.15539677370485,"Full migrant","LC","LC/NE",0.382805624646896,1.720053597097
"Merops apiaster","Coraciiformes",0,0,56.6,"3","Carnivore",40.17,44.58,"S",1,"LC",1.75281643118827,"Full migrant","LC","LC/NE",-0.151461231738205,-0.943337153095455
"Merops orientalis","Coraciiformes",0,0,14.8,"1","Carnivore",21.74,84.59,"S",2,"LC",1.17026171539496,"Resident/low mobility","LC","LC/NE",-0.924573189300793,-0.854557461422374
"Merops ornatus","Coraciiformes",0,0,29.5,"3","Carnivore",-25.32,135.56,"V",1,"LC",1.46982201597816,"Full migrant","LC","LC/NE",-0.527024866176263,-0.943337153095455
"Merops persicus","Coraciiformes",0,0,49.3,"3","Carnivore",34.61,52.22,"V",1,"LC",1.69284691927723,"Full migrant","LC","LC/NE",-0.231047140993925,-0.943337153095455
"Merops philippinus","Coraciiformes",1,1,34,"3","Carnivore",18.69,100.21,"S",8,"LC",1.53147891704226,"Full migrant","LC","LC/NE",-0.445199612364713,-0.321879311383884
"Merops viridis","Coraciiformes",0,0,34.8,"1","Carnivore",11.3,108.76,"RS",11,"LC",1.54157924394658,"Resident/low mobility","LC","LC/NE",-0.431795406213208,-0.0555402363646385
"Nyctyornis amictus","Coraciiformes",0,0,71.89,"1","Carnivore",1.98,107.61,"R",1,"LC",1.85666848361154,"Resident/low mobility","LC","LC/NE",-0.0136385322231815,-0.943337153095455
"Nyctyornis athertoni","Coraciiformes",0,0,84.23,"1","Carnivore",20.49,94.51,"R",3,"LC",1.92546680069154,"Resident/low mobility","LC","LC/NE",0.0776641388440348,-0.765777769749292
"Cacomantis merulinus","Cuculiformes",1,1,25.3,"1","Carnivore",13.43,105.48,"RSV",15,"LC",1.40312052117582,"Resident/low mobility","LC","LC/NE",-0.615544831461872,0.299578530327688
"Cacomantis sonneratii","Cuculiformes",0,0,33.8,"1","Carnivore",13.43,96.57,"S",3,"LC",1.52891670027765,"Resident/low mobility","LC","LC/NE",-0.448599946041323,-0.765777769749292
"Centropus bengalensis","Cuculiformes",4,1,148.91,"1","Carnivore",14.75,105.79,"R",19,"LC",2.17292386362854,"Resident/low mobility","LC","LC/NE",0.406065933822884,0.654697297020015
"Centropus sinensis","Cuculiformes",0,0,280.7,"1","Carnivore",18,93.56,"R",14,"LC",2.44824241263444,"Resident/low mobility","LC","LC/NE",0.771442878862939,0.210798838654607
"Chrysococcyx maculatus","Cuculiformes",0,0,27.38,"1","Carnivore",24.16,100.65,"RS",9,"LC",1.43743344379797,"Resident/low mobility","LC","LC/NE",-0.570007940146896,-0.233099619710802
"Chrysococcyx xanthorhynchus","Cuculiformes",0,0,22.37,"1","Carnivore",8.64,106.16,"R",1,"LC",1.34966598409663,"Resident/low mobility","LC","LC/NE",-0.68648467742229,-0.943337153095455
"Clamator coromandus","Cuculiformes",3,1,74.59,"3","Carnivore",24.55,100.85,"RSPV",25,"LC",1.87268060715193,"Full migrant","LC","LC/NE",0.00761125571852417,1.18737544705851
"Cuculus canorus","Cuculiformes",0,0,111.36,"3","Carnivore",49.44,81.5,"SP",33,"LC",2.04672922226649,"Full migrant","LC","LC/NE",0.238592246678373,1.89761298044316
"Cuculus micropterus","Cuculiformes",0,0,88.75,"1","Carnivore",25.25,107.12,"RSV",31,"LC",1.94816836172713,"Resident/low mobility","LC","LC/NE",0.107791520557964,1.720053597097
"Cuculus poliocephalus","Cuculiformes",0,0,46.56,"3","Carnivore",32.14,112.09,"RSP",31,"LC",1.66801297164183,"Full migrant","LC","LC/NE",-0.264004426120805,1.720053597097
"Cuculus saturatus","Cuculiformes",0,0,87,"3","Carnivore",52.86,104.25,"S",24,"LC",1.93951925261862,"Full migrant","LC","LC/NE",0.0963132344969725,1.09859575538542
"Eudynamys scolopaceus","Cuculiformes",4,1,194.92,"2","Herbivore",19.56,97.74,"RSP",25,"LC",2.28985640270926,"Partial migrant","LC","LC/NE",0.561247827884707,1.18737544705851
"Hierococcyx hyperythrus","Cuculiformes",0,0,79.7,"1","Carnivore",37.95,126.44,"SWPV",13,"LC",1.90145832139611,"Resident/low mobility","LC","LC/NE",0.0458023378440876,0.122019146981525
"Hierococcyx nisicolor","Cuculiformes",1,1,79.7,"1","Carnivore",23.63,104.78,"S",18,"LC",1.90145832139611,"Resident/low mobility","LC","LC/NE",0.0458023378440876,0.565917605346933
"Hierococcyx varius","Cuculiformes",0,0,103,"1","Carnivore",22.17,80.81,"R",1,"LC",2.01283722470517,"Resident/low mobility","LC","LC/NE",0.19361396760865,-0.943337153095455
"Phaenicophaeus tristis","Cuculiformes",0,0,117,"1","Carnivore",18.67,98.34,"R",5,"LC",2.06818586174616,"Resident/low mobility","LC","LC/NE",0.267067485314552,-0.588218386403129
"Surniculus lugubris","Cuculiformes",0,0,29.7,"1","Carnivore",4.43,106.15,"RSP",16,"LC",1.47275644931721,"Resident/low mobility","LC","LC/NE",-0.523130561587208,0.38835822200077
"Falco amurensis","Falconiformes",0,0,141.87,"3","Carnivore",47.59,124.66,"RSWP",33,"LC",2.15189056873509,"Full migrant","LC","LC/NE",0.378152518399019,1.89761298044316
"Falco cherrug","Falconiformes",1,1,961.21,"3","Carnivore",46.79,77.96,"RSWP",17,"EN",2.9828182803614,"Full migrant","Threatened","Threatened/DD",1.48088181113782,0.477137913673852
"Falco columbarius","Falconiformes",0,0,188.5,"3","Carnivore",58.48,16.49,"SWP",29,"LC",2.27531135454181,"Full migrant","LC","LC/NE",0.541945004721972,1.54249421375083
"Falco naumanni","Falconiformes",0,0,152.06,"3","Carnivore",44.83,68.24,"SWP",19,"LC",2.18201498615073,"Full migrant","LC","LC/NE",0.418130818612291,0.654697297020015
"Falco peregrinus","Falconiformes",0,0,759.95,"2","Carnivore",50.28,21.82,"RWPV",33,"LC",2.88078501933549,"Partial migrant","LC","LC/NE",1.34547284090778,1.89761298044316
"Falco rusticolus","Falconiformes",0,0,1431.72,"3","Carnivore",68.74,6.83,"S",6,"LC",3.15585809175327,"Full migrant","LC","LC/NE",1.7105240124532,-0.499438694730047
"Falco severus","Falconiformes",1,1,200.64,"3","Carnivore",11.43,114.69,"P",4,"LC",2.30241751915062,"Full migrant","LC","LC/NE",0.577917763013343,-0.67699807807621
"Falco subbuteo","Falconiformes",0,0,208.17,"3","Carnivore",50.34,78.26,"SWP",33,"LC",2.31841814220994,"Full migrant","LC","LC/NE",0.599152288595662,1.89761298044316
"Falco tinnunculus","Falconiformes",0,0,183.21,"3","Carnivore",36.82,63.63,"RWP",34,"LC",2.26294917471553,"Full migrant","LC","LC/NE",0.525539079602606,1.98639267211624
"Falco vespertinus","Falconiformes",0,0,151.49,"3","Carnivore",55.76,65.23,"R",1,"VU",2.18038396558976,"Full migrant","Threatened","Threatened/DD",0.415966281162791,-0.943337153095455
"Microhierax caerulescens","Falconiformes",0,0,38.72,"1","Carnivore",18.66,98.76,"R",1,"LC",1.58793534863636,"Resident/low mobility","LC","LC/NE",-0.370275933672531,-0.943337153095455
"Alectoris chukar","Galliformes",0,0,502.1,"1","Herbivore",39.84,78.69,"R",14,"LC",2.70079022137435,"Resident/low mobility","LC","LC/NE",1.10660063400559,0.210798838654607
"Alectoris magna","Galliformes",0,0,541.35,"1","Herbivore",36.72,100.28,"R",3,"LC",2.73347814111519,"Resident/low mobility","LC","LC/NE",1.14998097397087,-0.765777769749292
"Arborophila ardens","Galliformes",0,0,266.64,"1","Omnivore",18.86,109.51,"R",1,"VU",2.42592530065247,"Resident/low mobility","Threatened","Threatened/DD",0.741825701860046,-0.943337153095455
"Arborophila atrogularis","Galliformes",0,0,237.31,"1","Herbivore",24.75,94.47,"R",1,"LC",2.37531603932696,"Resident/low mobility","LC","LC/NE",0.674661838907055,-0.943337153095455
"Arborophila brunneopectus","Galliformes",0,0,291.47,"1","Herbivore",19.44,102.12,"R",3,"LC",2.46459386096488,"Resident/low mobility","LC","LC/NE",0.79314298682707,-0.765777769749292
"Arborophila crudigularis","Galliformes",0,0,256.77,"1","Herbivore",23.89,121.17,"R",1,"LC",2.4095442810964,"Resident/low mobility","LC","LC/NE",0.720086349739928,-0.943337153095455
"Arborophila gingica","Galliformes",0,0,253,"1","Herbivore",25.73,115.23,"R",6,"NT",2.40312052117582,"Resident/low mobility","NT","NT",0.711561338316149,-0.499438694730047
"Arborophila mandellii","Galliformes",0,0,268,"1","Herbivore",27.73,92.92,"R",1,"NT",2.42813479402879,"Resident/low mobility","NT","NT",0.744757934151838,-0.943337153095455
"Arborophila rufipectus","Galliformes",0,0,400.11,"1","Herbivore",28.66,103.57,"R",2,"VU",2.60217940589174,"Resident/low mobility","Threatened","Threatened/DD",0.975733612371775,-0.854557461422374
"Arborophila rufogularis","Galliformes",0,0,344.46,"1","Herbivore",23.19,96.06,"R",2,"LC",2.53713879725126,"Resident/low mobility","LC","LC/NE",0.889417819358886,-0.854557461422374
"Arborophila torqueola","Galliformes",0,0,344.46,"1","Herbivore",27.19,92.18,"R",2,"LC",2.53713879725126,"Resident/low mobility","LC","LC/NE",0.889417819358886,-0.854557461422374
"Bambusicola fytchii","Galliformes",0,0,313.65,"1","Herbivore",22.96,97.93,"R",4,"LC",2.49644529187335,"Resident/low mobility","LC","LC/NE",0.835413217301967,-0.67699807807621
"Bambusicola sonorivox","Galliformes",0,0,264.79,"1","Herbivore",23.76,120.98,"R",1,"LC",2.42290157960896,"Resident/low mobility","LC","LC/NE",0.737812903007507,-0.943337153095455
"Bambusicola thoracicus","Galliformes",0,0,264.79,"1","Herbivore",28.51,112.46,"R",17,"LC",2.42290157960896,"Resident/low mobility","LC","LC/NE",0.737812903007507,0.477137913673852
"Chrysolophus amherstiae","Galliformes",0,0,732.47,"1","Omnivore",27.2,101.1,"R",5,"LC",2.86478984185718,"Resident/low mobility","LC","LC/NE",1.32424554218962,-0.588218386403129
"Chrysolophus pictus","Galliformes",2,1,555.2,"1","Herbivore",29.7,105.87,"R",12,"LC",2.7444494574468,"Resident/low mobility","LC","LC/NE",1.16454107556514,0.0332394553084432
"Coturnix coturnix","Galliformes",0,0,96.28,"3","Herbivore",44.69,52.94,"SW",2,"LC",1.98353608160299,"Full migrant","LC","LC/NE",0.154728239816199,-0.854557461422374
"Coturnix japonica","Galliformes",0,0,94.78,"3","Herbivore",49.71,124.3,"SWP",32,"NT",1.97671670436338,"Full migrant","NT","NT",0.145678202207469,1.80883328877008
"Crossoptilon auritum","Galliformes",0,0,1768.33,"1","Herbivore",35.13,102.09,"R",5,"LC",3.24756331486569,"Resident/low mobility","LC","LC/NE",1.83222657984656,-0.588218386403129
"Crossoptilon crossoptilon","Galliformes",0,0,2075.25,"1","Herbivore",29.47,98.63,"R",4,"LC",3.31707042253265,"Resident/low mobility","LC","LC/NE",1.92446989127482,-0.67699807807621
"Crossoptilon harmani","Galliformes",0,0,2075.25,"1","Herbivore",29.52,92.94,"R",1,"LC",3.31707042253265,"Resident/low mobility","LC","LC/NE",1.92446989127482,-0.943337153095455
"Crossoptilon mantchuricum","Galliformes",1,1,1860.85,"1","Herbivore",38.16,112.72,"R",4,"LC",3.26971136679127,"Resident/low mobility","LC","LC/NE",1.86161939620557,-0.67699807807621
"Falcipennis falcipennis","Galliformes",0,0,685.61,"1","Herbivore",53.17,135.13,"R",1,"NT",2.83607714338589,"Resident/low mobility","NT","NT",1.28614074289739,-0.943337153095455
"Francolinus pintadeanus","Galliformes",0,0,310,"1","Herbivore",20.91,106.09,"R",11,"LC",2.49136169383427,"Resident/low mobility","LC","LC/NE",0.828666742979632,-0.0555402363646385
"Gallus gallus","Galliformes",0,0,751.72,"1","Herbivore",16.29,100.19,"R",4,"LC",2.87605610508724,"Resident/low mobility","LC","LC/NE",1.33919706963257,-0.67699807807621
"Ithaginis cruentus","Galliformes",0,0,530.67,"1","Herbivore",31.22,100.53,"R",6,"LC",2.72482453665383,"Resident/low mobility","LC","LC/NE",1.13849672209939,-0.499438694730047
"Lagopus lagopus","Galliformes",0,0,566.86,"1","Herbivore",62.32,35.69,"R",2,"LC",2.75347581244665,"Resident/low mobility","LC","LC/NE",1.17652000697605,-0.854557461422374
"Lagopus muta","Galliformes",0,0,535.3,"1","Herbivore",65.52,23.92,"R",1,"LC",2.72859724338343,"Resident/low mobility","LC","LC/NE",1.143503504477,-0.943337153095455
"Lerwa lerwa","Galliformes",0,0,567.34,"1","Herbivore",31.25,90.58,"R",4,"LC",2.75384340434184,"Resident/low mobility","LC","LC/NE",1.17700784044811,-0.67699807807621
"Lophophorus impejanus","Galliformes",0,0,2066.51,"1","Herbivore",30.81,83.11,"R",2,"LC",3.31523751120704,"Resident/low mobility","LC","LC/NE",1.92203742334594,-0.854557461422374
"Lophophorus lhuysii","Galliformes",0,0,3008,"1","Herbivore",32.05,101.2,"R",5,"VU",3.4782778319196,"Resident/low mobility","Threatened","Threatened/DD",2.13840923888617,-0.588218386403129
"Lophophorus sclateri","Galliformes",0,0,2500,"1","Herbivore",28.17,96.57,"R",2,"LC",3.39794000867204,"Resident/low mobility","LC","LC/NE",2.03179241798779,-0.854557461422374
"Lophura leucomelanos","Galliformes",1,1,867.98,"1","Omnivore",24.81,92.8,"R",2,"LC",2.93850971827591,"Resident/low mobility","LC","LC/NE",1.42207964502018,-0.854557461422374
"Lophura nycthemera","Galliformes",2,1,1230,"1","Herbivore",21.5,103.56,"R",11,"LC",3.0899051114394,"Resident/low mobility","LC","LC/NE",1.62299740536342,-0.0555402363646385
"Lophura swinhoii","Galliformes",0,0,1100,"1","Herbivore",23.79,121.1,"R",1,"NT",3.04139268515822,"Resident/low mobility","NT","NT",1.55861626513477,-0.943337153095455
"Lyrurus tetrix","Galliformes",0,0,1068.66,"1","Herbivore",56.84,73.99,"R",6,"LC",3.02883955402936,"Resident/low mobility","LC","LC/NE",1.54195692736363,-0.499438694730047
"Pavo muticus","Galliformes",0,0,2205.71,"1","Carnivore",16.26,100.99,"R",2,"EN",3.34354841214821,"Resident/low mobility","Threatened","Threatened/DD",1.95960899465695,-0.854557461422374
"Perdix dauurica","Galliformes",0,0,263.41,"1","Herbivore",47.34,105.44,"R",13,"LC",2.42063225833412,"Resident/low mobility","LC","LC/NE",0.734801272742464,0.122019146981525
"Perdix hodgsoniae","Galliformes",1,1,363.73,"2","Omnivore",31.8,93.28,"R",6,"LC",2.56077912260308,"Partial migrant","LC","LC/NE",0.920791040988842,-0.499438694730047
"Perdix perdix","Galliformes",0,0,405.3,"1","Herbivore",52.09,41.6,"R",1,"LC",2.60777660374169,"Resident/low mobility","LC","LC/NE",0.983161688171922,-0.943337153095455
"Phasianus colchicus","Galliformes",1,1,1120.31,"1","Herbivore",38.76,101.53,"R",31,"LC",3.04933821254591,"Resident/low mobility","LC","LC/NE",1.56916082355311,1.720053597097
"Polyplectron bicalcaratum","Galliformes",0,0,467.84,"1","Herbivore",21.44,98.51,"R",1,"LC",2.67009735094175,"Resident/low mobility","LC","LC/NE",1.06586793628629,-0.943337153095455
"Polyplectron katsumatae","Galliformes",0,0,467.84,"1","Herbivore",18.88,109.43,"R",1,"EN",2.67009735094175,"Resident/low mobility","Threatened","Threatened/DD",1.06586793628629,-0.943337153095455
"Pucrasia macrolopha","Galliformes",0,0,1050.47,"1","Herbivore",31.24,106.55,"R",21,"LC",3.02138365405706,"Resident/low mobility","LC","LC/NE",1.53206215650914,0.832256680366178
"Synoicus chinensis","Galliformes",0,0,40.41,"1","Herbivore",8.56,109.19,"R",7,"LC",1.60648885044265,"Resident/low mobility","LC","LC/NE",-0.345653466954414,-0.410659003056965
"Syrmaticus ellioti","Galliformes",0,0,1007.45,"1","Herbivore",27.21,114.6,"R",10,"LC",3.00322350120229,"Resident/low mobility","LC","LC/NE",1.50796170561145,-0.14431992803772
"Syrmaticus humiae","Galliformes",1,1,873.35,"1","Herbivore",23.67,99.86,"R",3,"VU",2.94118832458363,"Resident/low mobility","Threatened","Threatened/DD",1.42563443997756,-0.765777769749292
"Syrmaticus mikado","Galliformes",0,0,1148.69,"1","Herbivore",23.76,121.13,"R",1,"LC",3.06020284030325,"Resident/low mobility","LC","LC/NE",1.58357933808221,-0.943337153095455
"Syrmaticus reevesii","Galliformes",1,1,1204.58,"1","Herbivore",30.57,107.63,"R",10,"VU",3.08083564817397,"Resident/low mobility","Threatened","Threatened/DD",1.6109612647073,-0.14431992803772
"Tetrao urogalloides","Galliformes",0,0,2752.29,"1","Herbivore",59.89,128.96,"R",3,"LC",3.43969419219585,"Resident/low mobility","LC","LC/NE",2.08720465255628,-0.765777769749292
"Tetrao urogallus","Galliformes",0,0,2716.61,"1","Herbivore",59.49,69.35,"R",1,"LC",3.43402729502253,"Resident/low mobility","LC","LC/NE",2.07968407835408,-0.943337153095455
"Tetraogallus altaicus","Galliformes",0,0,2760.43,"1","Herbivore",49.04,93.45,"R",1,"LC",3.44097673861646,"Resident/low mobility","LC","LC/NE",2.08890672782411,-0.943337153095455
"Tetraogallus himalayensis","Galliformes",0,0,2428,"1","Herbivore",38.18,79.51,"R",4,"LC",3.38524868240322,"Resident/low mobility","LC","LC/NE",2.01494968059378,-0.67699807807621
"Tetraogallus tibetanus","Galliformes",0,0,1488.87,"1","Herbivore",33.54,89.36,"R",6,"LC",3.17285677918442,"Resident/low mobility","LC","LC/NE",1.73308307542121,-0.499438694730047
"Tetraophasis obscurus","Galliformes",0,0,855.35,"1","Herbivore",34.13,103.08,"R",3,"LC",2.93214385971696,"Resident/low mobility","LC","LC/NE",1.41363147485067,-0.765777769749292
"Tetraophasis szechenyii","Galliformes",0,0,1052.99,"1","Herbivore",30.15,97.98,"R",4,"LC",3.02242424681185,"Resident/low mobility","LC","LC/NE",1.53344313357424,-0.67699807807621
"Tragopan blythii","Galliformes",0,0,1930,"1","Herbivore",25.58,94.91,"R",2,"VU",3.28555730900777,"Resident/low mobility","Threatened","Threatened/DD",1.88264864388704,-0.854557461422374
"Tragopan caboti","Galliformes",1,1,1122.49,"1","Herbivore",25.73,115.23,"R",6,"VU",3.05018248066497,"Resident/low mobility","Threatened","Threatened/DD",1.57028125698286,-0.499438694730047
"Tragopan melanocephalus","Galliformes",0,0,1613.19,"1","Herbivore",32.63,76.77,"R",1,"VU",3.2076855211968,"Resident/low mobility","Threatened","Threatened/DD",1.77930451383145,-0.943337153095455
"Tragopan satyra","Galliformes",0,0,1417.03,"1","Herbivore",28.59,85.1,"R",1,"LC",3.151379044811,"Resident/low mobility","LC","LC/NE",1.7045798416214,-0.943337153095455
"Gavia adamsii","Gaviiformes",3,1,4944.34,"3","Carnivore",69.55,20.13,"PW",4,"NT",3.69410832758375,"Full migrant","NT","NT",2.4248392213083,-0.67699807807621
"Gavia arctica","Gaviiformes",3,1,2251.1,"3","Carnivore",61.61,90.85,"WP",12,"LC",3.35239478797411,"Full migrant","LC","LC/NE",1.97134907459567,0.0332394553084432
"Gavia pacifica","Gaviiformes",1,1,2251.1,"3","Carnivore",65.34,-99.42,"PWV",6,"LC",3.35239478797411,"Full migrant","LC","LC/NE",1.97134907459567,-0.499438694730047
"Gavia stellata","Gaviiformes",2,1,1486,"3","Carnivore",65.76,30.64,"SWP",16,"LC",3.17201880942456,"Full migrant","LC","LC/NE",1.73197100058281,0.38835822200077
"Grus grus","Gruiformes",0,0,5499.99,"3","Herbivore",56.97,74.47,"SWPV",34,"LC",3.7403618998672,"Full migrant","LC","LC/NE",2.48622262245994,1.98639267211624
"Grus japonensis","Gruiformes",2,1,8785.99,"3","Omnivore",48.03,128.14,"SWPV",16,"VU",3.94379070462617,"Full migrant","Threatened","Threatened/DD",2.75619424436615,0.38835822200077
"Grus monacha","Gruiformes",1,1,3729.9,"3","Herbivore",54.86,123.24,"SWPV",20,"VU",3.57169718836891,"Full migrant","Threatened","Threatened/DD",2.26238664320674,0.743476988693097
"Grus nigricollis","Gruiformes",1,1,5999.99,"3","Omnivore",33.39,89.59,"SWP",7,"NT",3.7781505265589,"Full migrant","NT","NT",2.53637214208995,-0.410659003056965
"Amaurornis cinerea","Gruiformes",1,1,52.1,"1","Omnivore",-3.66,124.66,"V",5,"LC",1.71683772329952,"Resident/low mobility","LC","LC/NE",-0.199208796958002,-0.588218386403129
"Amaurornis phoenicurus","Gruiformes",5,1,180,"1","Carnivore",19.12,99.24,"RS",31,"LC",2.25527250510331,"Resident/low mobility","LC","LC/NE",0.515351323996879,1.720053597097
"Coturnicops exquisitus","Gruiformes",1,1,60.9,"1","Carnivore",47.98,126.99,"SWP",18,"LC",1.78461729263288,"Resident/low mobility","LC","LC/NE",-0.109258112310815,0.565917605346933
"Crex crex","Gruiformes",1,1,154.91,"3","Carnivore",53.88,60.58,"SPV",3,"LC",2.19007945394151,"Full migrant","LC","LC/NE",0.428833223573411,-0.765777769749292
"Fulica atra","Gruiformes",0,0,717.12,"1","Herbivore",36.45,81.74,"RSW",34,"LC",2.85559183485497,"Resident/low mobility","LC","LC/NE",1.31203881034731,1.98639267211624
"Gallicrex cinerea","Gruiformes",1,1,390.39,"2","Herbivore",22.92,101.65,"S",29,"LC",2.59149868450582,"Partial migrant","LC","LC/NE",0.961559161122844,1.54249421375083
"Gallinula chloropus","Gruiformes",0,0,339.63,"1","Omnivore",27.57,54.75,"RSP",34,"LC",2.53100604511435,"Resident/low mobility","LC","LC/NE",0.881279006160276,1.98639267211624
"Lewinia striata","Gruiformes",0,0,116,"1","Omnivore",15.54,105.86,"RS",17,"LC",2.06445798922692,"Resident/low mobility","LC","LC/NE",0.262120202694119,0.477137913673852
"Porzana porzana","Gruiformes",0,0,87.1,"3","Omnivore",54.44,55.52,"SPV",2,"LC",1.94001815500766,"Full migrant","LC","LC/NE",0.0969753309355907,-0.854557461422374
"Rallina eurizonoides","Gruiformes",3,1,109,"1","Omnivore",18.18,103.78,"RSV",9,"LC",2.03742649794062,"Resident/low mobility","LC","LC/NE",0.226246543829776,-0.233099619710802
"Rallina fasciata","Gruiformes",2,1,100,"1","Carnivore",4.3,108.5,"V",1,"LC",2,"Resident/low mobility","LC","LC/NE",0.17657760749959,-0.943337153095455
"Rallus aquaticus","Gruiformes",3,1,110.67,"2","Carnivore",47.32,48.39,"R",4,"LC",2.04402990994647,"Partial migrant","LC","LC/NE",0.235009972644315,-0.67699807807621
"Rallus indicus","Gruiformes",0,0,104.5,"2","Carnivore",49.93,121.91,"RSWP",31,"LC",2.01911629044707,"Partial migrant","LC","LC/NE",0.201946954495169,1.720053597097
"Zapornia akool","Gruiformes",0,0,131.43,"2","Carnivore",23.74,91.2,"R",16,"LC",2.11869450789784,"Partial migrant","LC","LC/NE",0.334097821249576,0.38835822200077
"Zapornia bicolor","Gruiformes",1,1,57.3,"1","Carnivore",25.17,99.33,"R",5,"LC",1.75815462196739,"Resident/low mobility","LC","LC/NE",-0.144376885819785,-0.588218386403129
"Zapornia fusca","Gruiformes",0,0,57.27,"2","Omnivore",24.18,110.66,"RSP",30,"LC",1.75792718311333,"Partial migrant","LC","LC/NE",-0.144678721326256,1.63127390542391
"Zapornia parva","Gruiformes",0,0,49.7,"3","Carnivore",50.9,51.02,"SP",1,"LC",1.69635638873333,"Full migrant","LC","LC/NE",-0.226389702426084,-0.943337153095455
"Chlamydotis macqueenii","Otidiformes",0,0,1501.33,"1","Herbivore",40.12,70.58,"SP",2,"VU",3.17647616288081,"Resident/low mobility","Threatened","Threatened/DD",1.73788638185549,-0.854557461422374
"Otis tarda","Otidiformes",0,0,6759.92,"2","Omnivore",48.74,75.98,"RSWP",22,"EN",3.82994155633156,"Partial migrant","Threatened","Threatened/DD",2.60510433724039,0.92103637203926
"Tetrax tetrax","Otidiformes",1,1,833.45,"2","Omnivore",48.84,54.04,"SPV",4,"NT",2.92087955092415,"Partial migrant","NT","NT",1.39868254115345,-0.67699807807621
"Acrocephalus agricola","Passeriformes",1,1,9.6,"3","Carnivore",46.5,71.71,"SP",2,"LC",0.982271233039568,"Full migrant","LC","LC/NE",-1.17405651829418,-0.854557461422374
"Acrocephalus arundinaceus","Passeriformes",0,0,30,"3","Carnivore",49.39,45.3,"R",4,"LC",1.47712125471966,"Full migrant","LC","LC/NE",-0.517338001407736,-0.67699807807621
"Acrocephalus bistrigiceps","Passeriformes",2,1,8.67,"3","Carnivore",43.82,124.82,"SWP",25,"LC",0.93801909747621,"Full migrant","LC","LC/NE",-1.23278380042616,1.18737544705851
"Acrocephalus concinens","Passeriformes",1,1,8.3,"2","Carnivore",33.61,105.24,"SPW",20,"LC",0.919078092376074,"Partial migrant","LC","LC/NE",-1.25792052515635,0.743476988693097
"Acrocephalus dumetorum","Passeriformes",1,1,11.2,"3","Carnivore",55.04,64.74,"SV",3,"LC",1.04921802267018,"Full migrant","LC","LC/NE",-1.08521102072856,-0.765777769749292
"Acrocephalus melanopogon","Passeriformes",0,0,10.9,"3","Carnivore",42.27,49.27,"S",1,"LC",1.03742649794062,"Full migrant","LC","LC/NE",-1.10085962594825,-0.943337153095455
"Acrocephalus orientalis","Passeriformes",1,1,23.5,"3","Carnivore",43.41,121.43,"SWP",33,"LC",1.37106786227174,"Full migrant","LC","LC/NE",-0.658082112851269,1.89761298044316
"Acrocephalus schoenobaenus","Passeriformes",0,0,11.83,"3","Carnivore",56.04,47.36,"SP",2,"LC",1.07298474462793,"Full migrant","LC","LC/NE",-1.05367005738303,-0.854557461422374
"Acrocephalus scirpaceus","Passeriformes",0,0,12.3,"3","Carnivore",25.94,33.16,"SPV",2,"LC",1.0899051114394,"Full migrant","LC","LC/NE",-1.03121493419263,-0.854557461422374
"Acrocephalus sorghophilus","Passeriformes",0,0,8.2,"3","Carnivore",NA,NA,"SPV",12,"CR",0.913813852383717,"Full migrant","Threatened","Threatened/DD",-1.2649067305294,0.0332394553084432
"Acrocephalus stentoreus","Passeriformes",0,0,24.2,"2","Carnivore",32.95,75.17,"R",5,"LC",1.38381536598043,"Partial migrant","LC","LC/NE",-0.641164822030192,-0.588218386403129
