"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","discover_reason"
324,"Streptopelia decaocto","COLUMBIFORMES","鸽形目","黑龙江省","Heilongjiang",2006,"分布变化","环志时捕获",125.262222222222,49.1,"Columbiformes","Heilongjiang","Range shift or distribution change"
322,"Spilopelia chinensis","COLUMBIFORMES","鸽形目","内蒙古自治区","Inner Mongolia",2006,"分布变化","观察拍摄",111.724833333333,40.8074166666667,"Columbiformes","Inner Mongolia","Range shift or distribution change"
331,"Alcedo hercules","CORACIIFORMES","佛法僧目","福建省","Fujian",2006,"分布变化","观察",117.29652,26.508325,"Coraciiformes","Fujian","Range shift or distribution change"
345,"Todiramphus chloris","CORACIIFORMES","佛法僧目","福建省","Fujian",2006,"分布变化","观察",119.67,26.01,"Coraciiformes","Fujian","Range shift or distribution change"
381,"Gavia adamsii","GAVIIFORMES","潜鸟目","四川省","Sichuan",2006,"分布变化","标本采集，村民救护",104.28249,30.97706,"Gaviiformes","Sichuan","Range shift or distribution change"
873,"Gracupica nigricollis","PASSERIFORMES","雀形目","重庆市","Chongqing",2006,"分布变化","观察",106.5,29.51,"Passeriformes","Chongqing","Range shift or distribution change"
533,"Chloris ambigua","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",105.19576,24.973891,"Passeriformes","Guangxi","Range shift or distribution change"
608,"Copsychus saularis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",108.3,22.85,"Passeriformes","Guangxi","Range shift or distribution change"
894,"Cyanoderma rufifrons","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",106.85455,22.34262,"Passeriformes","Guangxi","Range shift or distribution change"
907,"Otocichla mupinensis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",104.955,24.61493,"Passeriformes","Guangxi","Range shift or distribution change"
729,"Parus monticolus","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",106.085,23.36,"Passeriformes","Guangxi","Range shift or distribution change"
