"species_lat","class_lat","order_lat","family_lat","genus_lat","species","order","family","genus","genus_size","n_congeners","n_new_records","new_record","mass","hwi","habitat_av","habitat_density_av","migration_av_raw","trophic_level_av","trophic_niche_av","range_size_av","centroid_latitude","centroid_longitude","endemic_cn","diet_cn","clutch_raw","migration_cn_raw","range_size_provinces","clutch_size","endemic_status","migration_class_av","diet_group_av","forest_association","log_mass","log_hwi","log_range_provinces","log_clutch_size","log_n_congeners","tree_label","phylo_species"
"Corvus monedula","Aves","PASSERIFORMES","Corvidae","Corvus","Corvus monedula","Passeriformes","Corvidae","Corvus",9,8,0,0,246,39.1,"Human Modified",3,"2","Omnivore","Omnivore",13975046.48,48.54,45.36,"否","杂食性","4-7","SW",2,5.5,"Non_endemic","Partial_migrant","Omnivore","Non_forest",2.39093510710338,3.69137633431252,1.09861228866811,1.87180217690159,2.19722457733622,"Corvus_monedula","Corvus_monedula"
"Cyanopica cyanus","Aves","PASSERIFORMES","Corvidae","Cyanopica","Cyanopica cyanus","Passeriformes","Corvidae","Cyanopica",1,0,0,0,95.91,14.3,"Woodland",2,"1","Omnivore","Omnivore",4748269.37,42.1,118.42,"否","杂食性","6-7","RW",25,6.5,"Non_endemic","Resident_low","Omnivore","Forest_primary",1.98186389099135,2.72785282839839,3.25809653802148,2.01490302054226,0,"Cyanopica_cyanus","Cyanopica_cyanus"
"Dendrocitta formosae","Aves","PASSERIFORMES","Corvidae","Dendrocitta","Dendrocitta formosae","Passeriformes","Corvidae","Dendrocitta",3,2,1,1,102.74,16,"Forest",2,"1","Omnivore","Omnivore",3328585.52,25.48,105.19,"否","杂食性","3-5","R",15,4,"Non_endemic","Resident_low","Omnivore","Forest_primary",2.01173956138832,2.83321334405622,2.77258872223978,1.6094379124341,1.09861228866811,"Dendrocitta_formosae","Dendrocitta_formosae"
"Garrulus glandarius","Aves","PASSERIFORMES","Corvidae","Garrulus","Garrulus glandarius","Passeriformes","Corvidae","Garrulus",1,0,0,0,159.46,19.4,"Forest",1,"2","Omnivore","Omnivore",19458203.9,51.02,62.66,"否","杂食性","5-8","R",29,6.5,"Non_endemic","Partial_migrant","Omnivore","Forest_primary",2.20265175975734,3.01553490085017,3.40119738166216,2.01490302054226,0,"Garrulus_glandarius","Garrulus_glandarius"
"Nucifraga caryocatactes","Aves","PASSERIFORMES","Corvidae","Nucifraga","Nucifraga caryocatactes","Passeriformes","Corvidae","Nucifraga",1,0,0,0,182.51,24.4,"Forest",1,"2","Omnivore","Granivore",15486182.22,57.8,99.93,"否","杂食性","2-5","RWP",18,3.5,"Non_endemic","Partial_migrant","Plant_seed","Forest_primary",2.26128666509846,3.23474917402449,2.94443897916644,1.50407739677627,0,"Nucifraga_caryocatactes","Nucifraga_caryocatactes"
"Perisoreus infaustus","Aves","PASSERIFORMES","Corvidae","Perisoreus","Perisoreus infaustus","Passeriformes","Corvidae","Perisoreus",2,1,0,0,84.4,17.4,"Forest",1,"1","Omnivore","Omnivore",11840129.85,59.77,93.47,"否","杂食性","3-4","R",3,3.5,"Non_endemic","Resident_low","Omnivore","Forest_primary",1.92634244662566,2.91235066461494,1.38629436111989,1.50407739677627,0.693147180559945,"Perisoreus_infaustus","Perisoreus_infaustus"
"Perisoreus internigrans","Aves","PASSERIFORMES","Corvidae","Perisoreus","Perisoreus internigrans","Passeriformes","Corvidae","Perisoreus",2,1,0,0,102,19.6,"Forest",1,"1","Omnivore","Omnivore",143343.38,32.34,100.92,"是","杂食性","2-4","R",4,3,"Endemic","Resident_low","Omnivore","Forest_primary",2.00860017176192,3.02529107579554,1.6094379124341,1.38629436111989,0.693147180559945,"Perisoreus_internigrans","Perisoreus_internigrans"
"Podoces biddulphi","Aves","PASSERIFORMES","Corvidae","Podoces","Podoces biddulphi","Passeriformes","Corvidae","Podoces",2,1,1,1,130.5,24,"Desert",3,"2","Omnivore","Omnivore",420108.26,39.5,83.1,"是","杂食性","1-3","R",2,2,"Endemic","Partial_migrant","Omnivore","Non_forest",2.1156105116743,3.2188758248682,1.09861228866811,1.09861228866811,0.693147180559945,"Podoces_biddulphi","Podoces_biddulphi"
"Podoces hendersoni","Aves","PASSERIFORMES","Corvidae","Podoces","Podoces hendersoni","Passeriformes","Corvidae","Podoces",2,1,0,0,120.49,21.6,"Desert",3,"2","Omnivore","Omnivore",1783211.45,44.51,94.48,"否","杂食性","NA","R",5,NA,"Non_endemic","Partial_migrant","Omnivore","Non_forest",2.08095100437948,3.11794990627824,1.79175946922805,NA,0.693147180559945,"Podoces_hendersoni","Podoces_hendersoni"
"Pyrrhocorax graculus","Aves","PASSERIFORMES","Corvidae","Pyrrhocorax","Pyrrhocorax graculus","Passeriformes","Corvidae","Pyrrhocorax",2,1,0,0,211,36.7,"Rock",3,"2","Carnivore","Invertivore",3556954.7,38.96,65.01,"否","杂食性","3-4","R",8,3.5,"Non_endemic","Partial_migrant","Invertebrate","Non_forest",2.32428245529769,3.62966009445396,2.19722457733622,1.50407739677627,0.693147180559945,"Pyrrhocorax_graculus","Pyrrhocorax_graculus"
"Pyrrhocorax pyrrhocorax","Aves","PASSERIFORMES","Corvidae","Pyrrhocorax","Pyrrhocorax pyrrhocorax","Passeriformes","Corvidae","Pyrrhocorax",2,1,0,0,276.68,39,"Rock",3,"2","Carnivore","Invertivore",12981520.53,40.2,85.68,"否","杂食性","3-6","R",16,4.5,"Non_endemic","Partial_migrant","Invertebrate","Non_forest",2.44197776700664,3.68887945411394,2.83321334405622,1.70474809223843,0.693147180559945,"Pyrrhocorax_pyrrhocorax","Pyrrhocorax_pyrrhocorax"
"Temnurus temnurus","Aves","PASSERIFORMES","Corvidae","Temnurus","Temnurus temnurus","Passeriformes","Corvidae","Temnurus",1,0,1,1,138,12.7,"Forest",1,"1","Carnivore","Invertivore",266868.95,19.1,106.26,"否","食虫，食肉","2","R",2,2,"Non_endemic","Resident_low","Invertebrate","Forest_primary",2.13987908640124,2.61739583283408,1.09861228866811,1.09861228866811,0,"Temnurus_temnurus","Temnurus_temnurus"
"Dicaeum agile","Aves","PASSERIFORMES","Dicaeidae","Dicaeum","Dicaeum agile","Passeriformes","Dicaeidae","Dicaeum",6,5,0,0,9,25.1,"Forest",2,"1","Herbivore","Frugivore",4429303.46,16.87,91.52,"否","杂食性","2-4","R",2,3,"Non_endemic","Resident_low","Fruit_nectar","Forest_primary",0.954242509439325,3.26193531432865,1.09861228866811,1.38629436111989,1.79175946922805,"Dicaeum_agile","Dicaeum_agile"
"Dicaeum chrysorrheum","Aves","PASSERIFORMES","Dicaeidae","Dicaeum","Dicaeum chrysorrheum","Passeriformes","Dicaeidae","Dicaeum",6,5,0,0,9,24.4,"Forest",1,"1","Herbivore","Frugivore",3155552.17,10.78,103.76,"否","杂食性","2-3","R",2,2.5,"Non_endemic","Resident_low","Fruit_nectar","Forest_primary",0.954242509439325,3.23474917402449,1.09861228866811,1.25276296849537,1.79175946922805,"Dicaeum_chrysorrheum","Dicaeum_chrysorrheum"
"Dicaeum cruentatum","Aves","PASSERIFORMES","Dicaeidae","Dicaeum","Dicaeum cruentatum","Passeriformes","Dicaeidae","Dicaeum",6,5,1,1,5.6,21.3,"Forest",1,"1","Herbivore","Omnivore",4479690.76,14.78,104.8,"否","杂食性","2-3","R",9,2.5,"Non_endemic","Resident_low","Omnivore","Forest_primary",0.7481880270062,3.10458667846607,2.30258509299405,1.25276296849537,1.79175946922805,"Dicaeum_cruentatum","Dicaeum_cruentatum"
"Dicaeum ignipectus","Aves","PASSERIFORMES","Dicaeidae","Dicaeum","Dicaeum ignipectus","Passeriformes","Dicaeidae","Dicaeum",6,5,1,1,5.72,23.3,"Forest",1,"1","Herbivore","Omnivore",4029931.67,24.88,103.67,"否","杂食性","2-3","R",18,2.5,"Non_endemic","Resident_low","Omnivore","Forest_primary",0.757396028793024,3.1904763503465,2.94443897916644,1.25276296849537,1.79175946922805,"Dicaeum_ignipectus","Dicaeum_ignipectus"
"Dicrurus aeneus","Aves","PASSERIFORMES","Dicruridae","Dicrurus","Dicrurus aeneus","Passeriformes","Dicruridae","Dicrurus",7,6,0,0,26,29.4,"Forest",1,"1","Carnivore","Invertivore",4639369.76,14.77,98.92,"否","食虫","3-4","R",8,3.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.41497334797082,3.41444260841218,2.19722457733622,1.50407739677627,1.94591014905531,"Dicrurus_aeneus","Dicrurus_aeneus"
"Dicrurus hottentottus","Aves","PASSERIFORMES","Dicruridae","Dicrurus","Dicrurus hottentottus","Passeriformes","Dicruridae","Dicrurus",7,6,3,1,79.19,24.5,"Forest",1,"1","Carnivore","Invertivore",7425702.56,21.4,103.03,"否","食虫","3-4","RSP",31,3.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.89867034296553,3.23867845216438,3.46573590279973,1.50407739677627,1.94591014905531,"Dicrurus_hottentottus","Dicrurus_hottentottus"
"Dicrurus leucophaeus","Aves","PASSERIFORMES","Dicruridae","Dicrurus","Dicrurus leucophaeus","Passeriformes","Dicruridae","Dicrurus",7,6,0,0,37.6,31.5,"Forest",1,"1","Carnivore","Invertivore",6692531.66,25.68,107.28,"否","食虫","3-4","RSWP",25,3.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.57518784492766,3.48124008933569,3.25809653802148,1.50407739677627,1.94591014905531,"Dicrurus_leucophaeus","Dicrurus_leucophaeus"
"Dicrurus macrocercus","Aves","PASSERIFORMES","Dicruridae","Dicrurus","Dicrurus macrocercus","Passeriformes","Dicruridae","Dicrurus",7,6,0,0,48.3,27.8,"Shrubland",2,"1","Carnivore","Invertivore",9351037.98,25.16,96.34,"否","食虫","3-4","RS",33,3.5,"Non_endemic","Resident_low","Invertebrate","Non_forest",1.68394713075151,3.3603753871419,3.52636052461616,1.50407739677627,1.94591014905531,"Dicrurus_macrocercus","Dicrurus_macrocercus"
"Dicrurus paradiseus","Aves","PASSERIFORMES","Dicruridae","Dicrurus","Dicrurus paradiseus","Passeriformes","Dicruridae","Dicrurus",7,6,0,0,85.82,21.8,"Forest",1,"1","Carnivore","Invertivore",5998619.7,14.98,94.83,"否","食虫","3-4","R",2,3.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.93358851019665,3.1267605359604,1.09861228866811,1.50407739677627,1.94591014905531,"Dicrurus_paradiseus","Dicrurus_paradiseus"
"Dicrurus remifer","Aves","PASSERIFORMES","Dicruridae","Dicrurus","Dicrurus remifer","Passeriformes","Dicruridae","Dicrurus",7,6,1,1,43.1,25.4,"Forest",1,"1","Carnivore","Invertivore",2417911.23,18.91,99.14,"否","食虫","3-4","SP",2,3.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.63447727016073,3.27336401015227,1.09861228866811,1.50407739677627,1.94591014905531,"Dicrurus_remifer","Dicrurus_remifer"
"Emberiza aureola","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza aureola","Passeriformes","Emberizidae","Emberiza",31,30,0,0,19.6,25.8,"Shrubland",2,"3","Omnivore","Omnivore",14850268.01,58.85,103.13,"否","杂食性","4-5","SWP",33,4.5,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",1.29225607135648,3.28840188751681,3.52636052461616,1.70474809223843,3.43398720448515,"Emberiza_aureola","Emberiza_aureola"
"Emberiza bruniceps","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza bruniceps","Passeriformes","Emberizidae","Emberiza",31,30,0,0,24.8,27.1,"Grassland",3,"3","Omnivore","Omnivore",4074558.12,43.78,67.02,"否","杂食性","4-5","S",1,4.5,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",1.39445168082622,3.3357695763397,0.693147180559945,1.70474809223843,3.43398720448515,"Emberiza_bruniceps","Emberiza_bruniceps"
"Emberiza buchanani","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza buchanani","Passeriformes","Emberizidae","Emberiza",31,30,1,1,21.2,24.8,"Rock",3,"3","Omnivore","Granivore",2911334.78,42.43,74.82,"否","杂食性","4-5","S",1,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",1.32633586092875,3.25037449192757,0.693147180559945,1.70474809223843,3.43398720448515,"Emberiza_buchanani","Emberiza_buchanani"
"Emberiza chrysophrys","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza chrysophrys","Passeriformes","Emberizidae","Emberiza",31,30,2,1,17.97,21.6,"Forest",2,"3","Omnivore","Omnivore",2478480.52,59.19,114.08,"否","杂食性","4","WP",27,4,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",1.25454807710897,3.11794990627824,3.3322045101752,1.6094379124341,3.43398720448515,"Emberiza_chrysophrys","Emberiza_chrysophrys"
"Emberiza cia","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza cia","Passeriformes","Emberizidae","Emberiza",31,30,0,0,23.43,19.6,"Rock",3,"2","Omnivore","Omnivore",4412208.21,39.73,43.32,"否","杂食性","4","R",2,4,"Non_endemic","Partial_migrant","Omnivore","Non_forest",1.36977228859696,3.02529107579554,1.09861228866811,1.6094379124341,3.43398720448515,"Emberiza_cia","Emberiza_cia"
"Emberiza cioides","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza cioides","Passeriformes","Emberizidae","Emberiza",31,30,0,0,21.02,22.1,"Grassland",3,"2","Herbivore","Granivore",10532097.13,43.23,110.38,"否","杂食性","4-5","RSWV",29,4.5,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",1.32263271169222,3.13983261752775,3.40119738166216,1.70474809223843,3.43398720448515,"Emberiza_cioides","Emberiza_cioides"
"Emberiza citrinella","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza citrinella","Passeriformes","Emberizidae","Emberiza",31,30,1,1,29.7,25.7,"Shrubland",3,"2","Herbivore","Granivore",12899942.03,56.2,51.75,"否","杂食性","4-5","SWV",4,4.5,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",1.47275644931721,3.2846635654062,1.6094379124341,1.70474809223843,3.43398720448515,"Emberiza_citrinella","Emberiza_citrinella"
"Emberiza elegans","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza elegans","Passeriformes","Emberizidae","Emberiza",31,30,3,1,16.84,17.7,"Woodland",3,"2","Omnivore","Omnivore",3012325.14,39.44,120.22,"否","杂食性","6","SWP",30,6,"Non_endemic","Partial_migrant","Omnivore","Forest_primary",1.22634208716363,2.92852352386054,3.43398720448515,1.94591014905531,3.43398720448515,"Emberiza_elegans","Emberiza_elegans"
"Emberiza fucata","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza fucata","Passeriformes","Emberizidae","Emberiza",31,30,0,0,19.8,19.5,"Shrubland",2,"3","Herbivore","Granivore",3876445.61,44.35,121.8,"否","杂食性","5","RSWP",32,5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",1.29666519026153,3.02042488614436,3.49650756146648,1.79175946922805,3.43398720448515,"Emberiza_fucata","Emberiza_fucata"
"Emberiza godlewskii","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza godlewskii","Passeriformes","Emberizidae","Emberiza",31,30,2,1,19,21.4,"Shrubland",2,"2","Omnivore","Granivore",5814242.22,41.64,102.92,"否","杂食性","4","RSW",21,4,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",1.27875360095283,3.10906095886099,3.09104245335832,1.6094379124341,3.43398720448515,"Emberiza_godlewskii","Emberiza_godlewskii"
"Emberiza hortulana","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza hortulana","Passeriformes","Emberizidae","Emberiza",31,30,1,1,19.9,28.8,"Shrubland",2,"3","Omnivore","Omnivore",9881195.68,52.13,47.51,"否","杂食性","4-5","SP",1,4.5,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",1.29885307640971,3.39450839351136,0.693147180559945,1.70474809223843,3.43398720448515,"Emberiza_hortulana","Emberiza_hortulana"
"Emberiza jankowskii","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza jankowskii","Passeriformes","Emberizidae","Emberiza",31,30,0,0,22.5,23.9,"Grassland",3,"2","Omnivore","Granivore",13036.49,44.76,121.08,"否","杂食性","4-6","SWP",6,5,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",1.35218251811136,3.21486780347066,1.94591014905531,1.79175946922805,3.43398720448515,"Emberiza_jankowskii","Emberiza_jankowskii"
"Emberiza leucocephalos","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza leucocephalos","Passeriformes","Emberizidae","Emberiza",31,30,1,1,28.5,26.7,"Forest",2,"3","Omnivore","Omnivore",9867084.71,56.37,101.24,"否","杂食性","4-5","RSWV",18,4.5,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",1.45484486000851,3.32143241319329,2.94443897916644,1.70474809223843,3.43398720448515,"Emberiza_leucocephalos","Emberiza_leucocephalos"
"Emberiza melanocephala","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza melanocephala","Passeriformes","Emberizidae","Emberiza",31,30,1,1,28.31,29.6,"Shrubland",2,"3","Omnivore","Omnivore",2122285.8,38.73,39.34,"否","杂食性","4-5","PV",5,4.5,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",1.4519398693651,3.42100000895834,1.79175946922805,1.70474809223843,3.43398720448515,"Emberiza_melanocephala","Emberiza_melanocephala"
"Emberiza pallasi","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza pallasi","Passeriformes","Emberizidae","Emberiza",31,30,1,1,13.96,22.3,"Shrubland",3,"3","Omnivore","Omnivore",6843352.03,61.71,119.82,"否","杂食性","4-5","SWP",25,4.5,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",1.14488541828714,3.14845336057165,3.25809653802148,1.70474809223843,3.43398720448515,"Emberiza_pallasi","Emberiza_pallasi"
"Emberiza pusilla","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza pusilla","Passeriformes","Emberizidae","Emberiza",31,30,1,1,14.57,24.5,"Forest",2,"3","Herbivore","Granivore",10268381.21,62.69,104.75,"否","杂食性","4-6","WP",34,5,"Non_endemic","Long_distance_migrant","Plant_seed","Forest_primary",1.16345955176999,3.23867845216438,3.55534806148941,1.79175946922805,3.43398720448515,"Emberiza_pusilla","Emberiza_pusilla"
"Emberiza rustica","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza rustica","Passeriformes","Emberizidae","Emberiza",31,30,1,1,20.54,25.2,"Forest",2,"3","Herbivore","Granivore",11090010.05,61.42,100.29,"否","杂食性","4-5","WP",30,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Forest_primary",1.31260043926126,3.26575941076705,3.43398720448515,1.70474809223843,3.43398720448515,"Emberiza_rustica","Emberiza_rustica"
"Emberiza rutila","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza rutila","Passeriformes","Emberizidae","Emberiza",31,30,0,0,17.5,28.4,"Forest",2,"3","Carnivore","Invertivore",4625666.61,55.34,110.52,"否","杂食性","4-5","SWP",31,4.5,"Non_endemic","Long_distance_migrant","Invertebrate","Forest_primary",1.24303804868629,3.38099467434464,3.46573590279973,1.70474809223843,3.43398720448515,"Emberiza_rutila","Emberiza_rutila"
"Emberiza schoeniclus","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza schoeniclus","Passeriformes","Emberizidae","Emberiza",31,30,0,0,18.4,21.1,"Wetland",2,"2","Herbivore","Omnivore",23743379.81,55.24,72.59,"否","杂食性","4-6","SWPV",25,5,"Non_endemic","Partial_migrant","Omnivore","Non_forest",1.26481782300954,3.09557760852371,3.25809653802148,1.79175946922805,3.43398720448515,"Emberiza_schoeniclus","Emberiza_schoeniclus"
"Emberiza spodocephala","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza spodocephala","Passeriformes","Emberizidae","Emberiza",31,30,0,0,18.45,19.4,"Shrubland",2,"3","Carnivore","Invertivore",4863864.08,52.61,118.31,"否","杂食性","4-5","SWPV",33,4.5,"Non_endemic","Long_distance_migrant","Invertebrate","Non_forest",1.26599637049508,3.01553490085017,3.52636052461616,1.70474809223843,3.43398720448515,"Emberiza_spodocephala","Emberiza_spodocephala"
"Emberiza stewarti","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza stewarti","Passeriformes","Emberizidae","Emberiza",31,30,1,1,15.96,17.3,"Grassland",3,"3","Herbivore","Granivore",679158,38.62,71.82,"否","NA","NA","V",1,NA,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",1.20303288701471,2.90690105984738,0.693147180559945,NA,3.43398720448515,"Emberiza_stewarti","Emberiza_stewarti"
"Emberiza sulphurata","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza sulphurata","Passeriformes","Emberizidae","Emberiza",31,30,1,1,14.89,26.9,"Forest",1,"3","Omnivore","Omnivore",111789.59,37.92,139.48,"否","杂食性","3-5","WP",10,4,"Non_endemic","Long_distance_migrant","Omnivore","Forest_primary",1.17289469775218,3.32862668882732,2.39789527279837,1.6094379124341,3.43398720448515,"Emberiza_sulphurata","Emberiza_sulphurata"
"Emberiza tristrami","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza tristrami","Passeriformes","Emberizidae","Emberiza",31,30,0,0,18,22.5,"Forest",1,"3","Omnivore","Granivore",423016.56,47.92,134.74,"否","杂食性","5-6","SWP",29,5.5,"Non_endemic","Long_distance_migrant","Plant_seed","Forest_primary",1.25527250510331,3.15700042115011,3.40119738166216,1.87180217690159,3.43398720448515,"Emberiza_tristrami","Emberiza_tristrami"
"Emberiza variabilis","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza variabilis","Passeriformes","Emberizidae","Emberiza",31,30,0,0,23.8,23.8,"Shrubland",1,"3","Herbivore","Omnivore",222168.05,46.58,148.11,"否","食种子","5","PV",5,5,"Non_endemic","Long_distance_migrant","Omnivore","Non_forest",1.37657695705651,3.21084365317094,1.79175946922805,1.79175946922805,3.43398720448515,"Emberiza_variabilis","Emberiza_variabilis"
"Emberiza yessoensis","Aves","PASSERIFORMES","Emberizidae","Emberiza","Emberiza yessoensis","Passeriformes","Emberizidae","Emberiza",31,30,3,1,13.49,17.5,"Wetland",2,"3","Herbivore","Granivore",52341.69,44.01,132.33,"否","杂食性","5-6","SWP",16,5.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",1.1300119496719,2.91777073208428,2.83321334405622,1.87180217690159,3.43398720448515,"Emberiza_yessoensis","Emberiza_yessoensis"
"Amandava amandava","Aves","PASSERIFORMES","Estrildidae","Amandava","Amandava amandava","Passeriformes","Estrildidae","Amandava",1,0,0,0,8.97,13.5,"Shrubland",2,"1","Herbivore","Granivore",3578715.84,20.6,89.38,"否","杂食性","6-8","R",3,7,"Non_endemic","Resident_low","Plant_seed","Non_forest",0.952792443044092,2.67414864942653,1.38629436111989,2.07944154167984,0,"Amandava_amandava","Amandava_amandava"
"Erythrura prasina","Aves","PASSERIFORMES","Estrildidae","Erythrura","Erythrura prasina","Passeriformes","Estrildidae","Erythrura",1,0,0,0,14.7,24.4,"Forest",2,"1","Herbivore","Granivore",1585424.03,1.64,108.07,"否","杂食性","NA","R",1,NA,"Non_endemic","Resident_low","Plant_seed","Forest_primary",1.16731733474818,3.23474917402449,0.693147180559945,NA,0,"Erythrura_prasina","Erythrura_prasina"
"Estrilda melpoda","Aves","PASSERIFORMES","Estrildidae","Estrilda","Estrilda melpoda","Passeriformes","Estrildidae","Estrilda",1,0,0,0,7.6,17.3,"Grassland",3,"1","Omnivore","Granivore",3732328.98,2.9,9.7,"否","杂食性","2-3","R",1,2.5,"Non_endemic","Resident_low","Plant_seed","Non_forest",0.880813592280791,2.90690105984738,0.693147180559945,1.25276296849537,0,"Estrilda_melpoda","Estrilda_melpoda"
"Lonchura punctulata","Aves","PASSERIFORMES","Estrildidae","Lonchura","Lonchura punctulata","Passeriformes","Estrildidae","Lonchura",4,3,0,0,13.6,22,"Grassland",2,"1","Herbivore","Granivore",7189322.58,18.7,96.89,"否","杂食性","4-8","R",19,6,"Non_endemic","Resident_low","Plant_seed","Non_forest",1.13353890837022,3.13549421592915,2.99573227355399,1.94591014905531,1.38629436111989,"Lonchura_punctulata","Lonchura_punctulata"
"Lonchura striata","Aves","PASSERIFORMES","Estrildidae","Lonchura","Lonchura striata","Passeriformes","Estrildidae","Lonchura",4,3,3,1,12.3,20.9,"Shrubland",3,"1","Herbivore","Granivore",5429668.12,19.24,100.4,"否","杂食性","4-6","R",23,5,"Non_endemic","Resident_low","Plant_seed","Non_forest",1.0899051114394,3.08648663682246,3.17805383034795,1.79175946922805,1.38629436111989,"Lonchura_striata","Lonchura_striata"
"Psarisomus dalhousiae","Aves","PASSERIFORMES","Eurylaimidae","Psarisomus","Psarisomus dalhousiae","Passeriformes","Eurylaimidae","Psarisomus",1,0,1,1,67,17.1,"Forest",1,"1","Carnivore","Invertivore",1318583,18.29,99.95,"否","杂食性","5-6","R",4,5.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.82607480270083,2.89591193827178,1.6094379124341,1.87180217690159,0,"Psarisomus_dalhousiae","Psarisomus_dalhousiae"
"Serilophus lunatus","Aves","PASSERIFORMES","Eurylaimidae","Serilophus","Serilophus lunatus","Passeriformes","Eurylaimidae","Serilophus",1,0,0,0,34,20.9,"Forest",1,"1","Carnivore","Invertivore",1235508.38,17.07,101.68,"否","食虫","4-5","R",4,4.5,"Non_endemic","Resident_low","Invertebrate","Forest_primary",1.53147891704226,3.08648663682246,1.6094379124341,1.70474809223843,0,"Serilophus_lunatus","Serilophus_lunatus"
"Carduelis carduelis","Aves","PASSERIFORMES","Fringillidae","Carduelis","Carduelis carduelis","Passeriformes","Fringillidae","Carduelis",1,0,2,1,16,33.4,"Woodland",2,"1","Herbivore","Granivore",11860717.87,50.13,35.73,"否","杂食性","4","R",3,4,"Non_endemic","Resident_low","Plant_seed","Forest_primary",1.20411998265592,3.53805656437935,1.38629436111989,1.6094379124341,0,"Carduelis_carduelis","Carduelis_carduelis"
"Carpodacus erythrinus","Aves","PASSERIFORMES","Fringillidae","Carpodacus","Carpodacus erythrinus","Passeriformes","Fringillidae","Carpodacus",26,25,0,0,23.97,30.8,"Shrubland",2,"3","Herbivore","Granivore",23264611.24,54.13,89.33,"否","杂食性","4-5","SWP",32,4.5,"Non_endemic","Long_distance_migrant","Plant_seed","Non_forest",1.37966803403365,3.45946628978613,3.49650756146648,1.70474809223843,3.25809653802148,"Carpodacus_erythrinus","Carpodacus_erythrinus"
"Carpodacus pulcherrimus","Aves","PASSERIFORMES","Fringillidae","Carpodacus","Carpodacus pulcherrimus","Passeriformes","Fringillidae","Carpodacus",26,25,0,0,19.2,23.8,"Shrubland",2,"2","Herbivore","Granivore",2405247.9,34.68,101.75,"否","杂食性","3-6","R",7,4.5,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",1.28330122870355,3.21084365317094,2.07944154167984,1.70474809223843,3.25809653802148,"Carpodacus_pulcherrimus","Carpodacus_pulcherrimus"
"Carpodacus rodopeplus","Aves","PASSERIFORMES","Fringillidae","Carpodacus","Carpodacus rodopeplus","Passeriformes","Fringillidae","Carpodacus",26,25,0,0,23,18,"Shrubland",2,"2","Herbivore","Granivore",72468.84,29.79,81.82,"否","杂食性","4","R",1,4,"Non_endemic","Partial_migrant","Plant_seed","Non_forest",1.36172783601759,2.94443897916644,0.693147180559945,1.6094379124341,3.25809653802148,"Carpodacus_rodopeplus","Carpodacus_rodopeplus"
